word,af,as,be,bg,bn,br,cy,da,de,el,en,es,fa,fo,fr,fy,ga,gd,gl,gv,hi,hy,is,it,ku,lb,lt,lv,mk,nl,nn,oc,pl,ps,pt,ro,ru,sa,sk,sl,sq,sv,tg,uk,ur,yi
heavy,,ɡɔ.dʱuɹ,ˈt͡sʲaʂkʲi,ˈtɛʒək,,,trʊm,tɔnɡ,ʃveːɐ̯,,ˈhɛ.vi,peˈsado,sæŋˈɡʲiːn,,luʁ,sviə̯r,t̪ˠɾˠuːmˠ,,,,bʱɑː.ɾɑː,ˈtsɑnəɾ,ˈθuŋkʏr,peˈsante,,ʃwɜɪ̯ɐ,sʊŋˈkʊs,smaks,ˈtɛʒɔk,zʋaːr,tʊŋː,,ˈt͡ɕɛ̃ʂ.kʲi,d̪ruŋd̪,pɨ.ˈza.ðu,ɡrew,tʲɪˈʐolɨj,,ˈcaʃ.kiː,tɛ̀ːʒək,,tɵŋ,,ʋɐˈʒkɪi̯,,
small,,xɔ.ɹu,maˈlʲenʲkʲi,ˈmalək,,,baːχ,lilə,klaɪ̯n,miˈkro̞s,smɔːl,peˈkeɲo,kʰuːtʃʰækʲ,,pə.ti,,bʲɔɡ,pek,peˈkeno̝,,t͡ʃʰoː.ʈɑː,ˈpʰɔkʰəɾ,smauːr,ˈpik.ko.lo,,n,ˈmaːʒɐs,,maɫ,klɛi̯n,,,ˈma.wɨ,waˈɺ̢ukai,pɪ.ˈke.nʊ,mik,ˈmalʲɪnʲkʲɪj,,ˈmaliː,máːjxən,ˈvɔɡəl,ˈliːˌtɛn,,mɐˈlɛnʲkei̯,t͡ʃʰoː.ʈɑː,ˈkleɪn
short,,su.ti,kaˈrotkʲi,ˈkɤs,,,bɨ̞r,kɔrt,kʊʁt͡s,,ʃɔːt,ˈkorto,kʰuːˈt̪ʰɒːh,,kuʁ,,ɟaːɾˠ,ˈkɤɾʲɪtʲ,ˈkuɾt̪ʊ,,kəm,kɑɾt͡ʃ,ˈstʏhtʏr,ˈkorto,,,,îːs,ˈkratɔk,kɔrt,,,ˈkrut.kʲi,,ˈkuɾ.tu,skurt,kɐˈrotkʲɪj,,ˈkraːtki,kràːtək,,kɔrt,,kɔˈrɔtkei̯,t͡ʃʰoː.ʈɑː,
narrow,,,ˈvuskʲi,ˈtɛsɛn,,,kɨːl,snɛvər,ɛŋ,,ˈnæɹoʊ,es̺ˈtɾe.tʃo,,,e.tʁwa,,kuːŋ,kʰɯːɫ̪,,,t̪əŋɡ,nɛʁ,ˈθrøyŋkʏr,ˈstretːo,,,,ʃàuɾs,,nɑu,,,ˈvɔ̃s.kʲi,,iʃ.ˈtɾɐj.tu,strɨmt,ˈuskʲɪj,,ˈuːski,òːzək,,,,wʊˈzʲkɪi̯,,
thin,,,ˈtonkʲi,ˈtɤnək,,,ˈtɛnaɨ̯,,dʏn,,ˈθɪn,ˈfino,,,mɛ̃s,,keːl̪ˠ,,,,pət̪.lɑː,bɑˈɾɑk,ˈθʏnːʏr,sotˈtile,,den,,tiêws,ˈtɛnɔk,,,,ˈt͡ɕɛn.kʲi,,ˈfi.nu,slab,ˈtonkʲɪj,,ˈcɛŋkɔ,tàːnək,,,,,,
woman,,maɪ.ki ma.nuʱ,ʐanˈt͡ʂɨna,ʒɛˈna,,,,ˈkʰvenə,fʁaʊ̯,ʝiˈne̞ka,ʊ,muˈxeɾ,,,fam,,bʲanˠ,b̥ɛn,muˈʎɛɾ,bɛᵈn,ˈɔːɾət̪,kin,ˈkʰɔːna,ˈdɔn.na,,fʀa,ˈmoːtʲɛrʲɪs,,ˈʒɛna,vrɑu̯,²kʋɪnːə,ˈfenno,kɔˈbʲɛ.ta,ʂəˈd͡za,muˈʎɛɾ,feˈmeje,ˈʐɛnʲɕːɪnə,s̪t̪ɽíː,ˈʒe.na,ʒèːnska,ˈɡɾua,ˈkvɪnːˌa,,ˈʒʲinkɐ,,
man,,ma.nuʱ,t͡ʂaɫaˈvʲek,tʃoˈvɛk,manuʃ,,dɨːn,,mɛnʃ,ˈanθɾɔpɔs,mæn,ˈombɾe,,,ɔm,ˈmɪnskə,ˈd̪ˠɪnʲə,t̪ɯɲə,ˈɔmɪ,,məˈnʊ.ʂjə,mɑɾtʰ,ˈmanːɛsca,ˈwɔ.mo,ˈmɯɾov,mənʃ,ʒmoˈɡʊs,tsìlvæ̀ːks,ˈt͡ʃɔvɛk,mɛns,²mɛnːɛʃə,,ˈt͡ʂwɔ.vʲɛk,,ˈɔmẽɪ̯,om,t͡ɕɪlɐˈvʲek,mɐ.n̪uʂ.jɐ́,ˈt͡ʃɫɔvɛk,t͡ʃlɔ̀ːʋɛk,ɲɛˈɽi,mɛnːɪɧa,,,,mɛnt͡ʃ
human,,ma.nuʱ,,,,,dɨːn,,mɛnʃlɪç,,ˈ(h)juːmən,uˈmano,,,y.mɛ̃,,,,,,,mɑɾtʰkɑˈjin,,,,,,,,,,,ˈlut͡s.kʲi,,u.ˈmɐ.nu,o.meˈnesk,t͡ɕɪlɐˈvʲet͡ɕɪskʲɪj,mɑː.n̪ɐ.ʋɐ́,,t͡ʃlɔʋèːʃki,,²mɛnsklɪ(ɡ),,,,
child,kənt,lo.ɹa.sʊa.li,,dɛˈtɛ,,,ˈplɛntɨ̞n,barn,kɪnt,peˈði,t͡ʃaɪld,ˈixo,bætːʃʰe,ˈpatn,ɑ̃.fɑ̃,bɛːn,ˈpˠɑːʃtʲə,,ˈne.na,,bət͡ʃ.t͡ʃɑː,jɛɾɛˈχɑ,ˈpartn,bamˈbi.no,ˈzɑːɾok,kant,ˈvɐɪ̯ˑkɐs̪,bæ̀ːɾns,ˈdɛtɛ,kɪnt,bɑːrn,,ˈd͡ʑɛt͡s.kɔ,,ˈfi.ʎu,fiw,rʲɪˈbʲɵnək,ɕí.ɕu,ˈɟi̯e.ca,ɔtrɔ́k,,bɑːrn,kɵdæk,deˈtɪnɐ,,kɪnd
wife,,ɡʱoɪ.ni,ˈʐonka,ʒɛˈna,,ˈɡwʁɛːk,ɡwrai̯ɡ,,,,waɪf,esˈposa,,,fam,,bʲanˠ,,esˈposa̝,,,kin,ˈeiːjɪn.kʰɔːna,ˈspɔ.za,,,,sīɛ̄va,ˈʒɛna,vrɑu̯,,ˈfenno,ˈʐɔ.na,ʂəˈd͡za,es.ˈpo.za,,ʐɨˈna,pɐ́t̪.n̪iː,,ʒɛ̀ːna,ˈɡɾua,hɵ̄sːtrʉ̂ː,,druˈʐɪnɑ,,
