word,ka,vro,xmf,sv,lzz,de,et,fi,en,da,sva
full,sävsɛ,ˈtːæysː,ɛpʰʃä,fɵl,jɔpʰʃä,fɔl,ˈtæis,ˈtæysi,fʊl,fuld,gwɛʃi
horn,rkʰä,ˈsːɑrv,kʰä,,kʰrä,hɔrn,ˈsɑrʋ,ˈsɑrʋi,hɔːn,,mitʃʼw
new,äχäli,ˈvɑhtːsːɤnɤ,äχäli,ny,äʁäni,nɔʏ̯,ˈuːs,ˈuːsi,njuː,nyː,mäχɛ
blow,bɛrvä,ˈpːuhkːmɑ,bäruä,,bäräpʰä,ˈblaːzn̩,ˈpuhumɑ,ˈpuhɑltɑː,bləʊ,blɛːsə,libɛlɛ
correct,stsʼɔri,ˈɤikɤ,tʰinu,,mtʰini,kɔˈʁɛkt,ˈɤige,ˈoikeɑ,kəˈɹɛkt,,mɛgu
sea,zʁvä,ˈmeri,zʁvä,ɧøː,zuʁä,meːɐ̯,ˈmeri,ˈmeri,siː,hav,dzuʁwä
we,tʃvɛn,ˈmiːʔ,tʃkʰi,viː,tʃkʰin,viːɐ̯,ˈmeie,ˈme,wiː,,næ
seed,tʰɛsli,ˈsːeːmeʔ,tʰäsi,,tʰäsi,ˈzaːmən,ˈseːme,ˈsiemen,siːd,sɛːd,læʃi
leaf,pʰɔtʰɔli,ˈlehtː,pʰurtsɛli,,pʰävri,blat,ˈleht,ˈlehti,liːf,blad,bälɛ
he,is,ˈtːimæ,tʰinä,hanː,ɛjä,ʔeːɐ̯,ˈtemɑ,ˈhæn,ˈhiː,han,ɛdʒi
human,ädämiäni,ˈinemine,kʼɔtʃi,²mɛnsklɪ(ɡ),kʼɔtʃi,mɛnʃlɪç,ˈinimene,ˈihminen,ˈ(h)juːmən,,ämswäld
fear,ʃiʃi,ˈpːelkæmæ,ʃkʰurini,,ʃkʼurinä,ʔaŋst,ˈkɑrtmɑ,ˈpelætæ,fɪə,,mäqʼäl
round,mrgväli,ˈtːsːɤːrikː,rgväli,,mɔrgväli,ʀʊnt,ˈymɑr,ˈpyøreæ,ˈɹaʊnd,,kʼurpʼi
woman,kʰäli,ˈnɑːnɤ,ɔsuri,ˈkvɪnːˌa,ɔχɔrdʒä,fʁaʊ̯,ˈnɑine,ˈnɑinen,ʊ,ˈkʰvenə,zuräl
eye,tʰväli,ˈsːilm,tʰɔli,ˈøːˌɡa,tʰɔli,ˈaʊ̯ɡə,ˈsilm,ˈsilmæ,aɪ,øjə,tʰɛ
drink,smä,ˈjuːmɑ,ʃumä,drɪkːa,ɔʃu,ˈtʁɪŋkən,ˈjoːmɑ,ˈjuodɑ,dɹɪŋk,drekə,litʰrɛ
fog,nisli,ˈuntsːɤʔ,nirsi,,mpʼulä,ˈneːbl̩,ˈudu,ˈsumu,fɒɡ,tɔːɡə,bintʼw
earth,mitsʼä,ˈmɑː,diχä,juːɖ,lɛtʼä,ˈeːɐ̯də,ˈmuld,ˈmɑː,ɜːθ,joːr,gim
fall,dätsɛmä,ˈsːɑtɑmɑ,dɔntʰχäpʰä,falːa,gɛntʰχinu,ˈfaln̩,ˈkukːumɑ,ˈpudotɑ,fɔːl,,liwɛχ
many,bɛvri,ˈpːɑlːʲo,brɛli,,didɔ,ˈfiːlə,ˈpɑlju,ˈmontɑ,ˈmɛni,manɡə,mäsærd
other,sχvä,ˈtːɤːnɤ,ʃχvä,,tʃkʰvä,ˈʔandəʀə,ˈteine,ˈmuː,ˈʌðə(ɹ),andrə,iʃgɛn
smooth,pʼriälä,ˈsːilːe,värkʼälä,,pʰrändɛri,ɡlat,ˈsile,ˈtɑsɑinen,smuːð,,mərkʼənɛ
blood,sisχli,ˈveri,zisχiri,,ditsχiri,bluːt,ˈʋeri,ˈʋeri,blʌd,bloːd,zisχ
