Family,Group,Language,Code,Code2,I,thou,he,we,you,they,this,that,here,there,who,what,where,when,how,not,all,many,some,few,other,one,two,three,four,five,big,long,wide,thick,heavy,small,short,narrow,thin,woman,man,human,child,wife,husband,mother,father,animal,fish,bird,dog,louse,snake,worm,tree,forest,stick,fruit,seed,leaf,root,bark,flower,grass,rope,skin,meat,blood,bone,fat,egg,horn,tail,feather,hair,head,ear,eye,nose,mouth,tooth,tongue,fingernail,foot,leg,knee,hand,wing,belly,guts,neck,back,breast,heart,liver,drink,eat,bite,suck,spit,vomit,blow,breathe,laugh,see,hear,know,think,smell,fear,sleep,live,die,kill,fight,hunt,hit,cut,split,stab,scratch,dig,swim,fly,walk,come,lie,sit,stand,turn,fall,give,hold,squeeze,rub,wash,wipe,pull,push,throw,tie,sew,count,say,sing,play,float,flow,freeze,swell,sun,moon,star,water,rain,river,lake,sea,salt,stone,sand,dust,earth,cloud,fog,sky,wind,snow,ice,smoke,fire,ash,burn,road,mountain,red,green,yellow,white,black,night,day,year,warm,cold,full,new,old,good,bad,rotten,dirty,straight,round,sharp,dull,smooth,wet,dry,correct,near,far,right,left,at,in,with,and,if,because,name
Indo-european,Celtic,Scottish Gaelic,gd,gd,mi,hu,ɛ,ʃiɲ,hu,iət̪,ʃɔ,ʃɪn,,,koː,tʲeː,,,,,,ˈiməɣ,,,ˈelə,ɯːn,,,,koːɡ̊ʲ,,fad̪̊ə,,tʰʲu,,pek,ˈkɤɾʲɪtʲ,kʰɯːɫ̪,,b̥ɛn,t̪ɯɲə,,,,,ˈmaːhəɾʲ,ˈahəɾʲ,,,ian,kuː,,,,,ˈkʰɤʎə,,,,,,,,ˈfiəɾ,,,,,,,u,,,,,,,s̪uːl,s̪t̪ɾɔːn,piaɫ̪,,tʰʲɛŋɡə,,kʰas,kʰas,,ɫ̪ãːv,,,,,kʰuːɫ̪,kʰʲiəx,,,ɔːɫ̪,,,ˈtʲo.al,,,,,,,,,,,,,,,maɾav,,ˈʃaɫ̪ak,ˈbuɪl,kʲaːrˠ,,,,,,,,hikʲ,,,,,t̪uʰtʲ,,kʰuːm,,,,,,,ˈtʃʰilikʲ,,,,ˈapɪɾʲ,,,,,rˠɔː,,,,rˠeːɫ̪,ˈɯʃkʲə,ˈɯʃkʲə,,,,,,,,,ɲiaɫ̪,,,,,,t̪ɔʰtʲ,ˈtʰʲenə,,ɫ̪ɔʃɡ̊ʲ,,,ˈtʲɛrɛk,ˈuəɲə,ˈb̥ujə,kʲaɫ̪,t̪ʊv,,,,,fuəɾ,lɑːn,uːɾ,ʃɛn,maː,ˈt̪ɔnə,,,tʲiːɾʲəx,kʰruɪɲ,,,miːn,flux,ˈtʃʰiɾəm,,dɫ̪uː,,,kʰʲaːrˠ,,,,,,ˈɔir,
Indo-european,Celtic,Cornish,kw,kw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mæm,taːz,,,,kiː,,,,,,,,,,,,,,,,,,,,ɔˑɪ,,,,,pɛnː,ˈskɔvarn,ˈlaɡas,,,,,,troːz,ɡarː,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ˈhɛrðja,,,,,lɛˈvɛrɛl,,,,,,,,,,doʊɹ,,,,mɔːr,,,,,,,,,,,,,,,,,,ryːð,ɡlaːz,ˈmɛlɪn,ɡwɪnː,dyː,,diːð,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Celtic,Manx,gv,gv,miː,,,,u,,,,,,,,,,,,,,,,,nɛːn,d̪eː,t̪riː,kʲeːə(r),kwɛɡ,,,,,,,,,,bɛᵈn,,,,,,maːɹ,ˈeːar,,jiːst,ˈoʒaɡ,ˈmɔːðə,,,beˈʃtʲeːɡ,ˈbilʲə,kiːlʲ,,meːs,,ˈd̪olʲaɡ,,ruːs,,feːə,,ˈkraːɣən,feːlʲ,folʲ,kreːw,,au,,,,,caun,kleːʃ,suːlʲ,st̪rudʲnʲ,ˈbiəl,,ˈtʃɛnʲə,,,,ɡlʲuːnʲ,,ˈskiːən,,,,d̪riːm,,kriː,eːn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɡriːn,eːs,,ˈuʃtʲə,flʲaː,aunʲ,laːx,,ˈsolan,klaːx,ˈɡʲanʲax,dʒaun,,,kʲeː,,ɡiː,ˈʃnʲaxt̪ə,,ˈd͡ʒeːax,,,,reːd̪,slʲuː,,,,,,ɛi,,blʲeːnʲ,,,lɛdn,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Celtic,Lepontic,xlp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Celtic,Celtiberian,xce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Celtic,Gallaecian,cel-gal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Celtic,Galatian,xga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Celtic,Noric,nrc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Celtic,Cumbric,xcb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Celtic,Pictish,xpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Celtic,Gaulish,xel-gau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Albanian,Albanian,sq,sq,ˈun,,,nɛ,ti,aˈta,ky,,,,kuʃ,tʃfaɹ(ə),,,si,nʊk,ɡjiθ(ə),,,,,ɲə,dy,tɾɛ,ˈkatəɾ,pɛs(ə),,,ˈɟ͡ʝɛ.ɾə,,,ˈvɔɡəl,,,,ˈɡɾua,ɲɛˈɽi,,,ˈɡɾua,bur,,baba,,pɛʃk,zɔɡ,cɕɛn,mɔr,ˈɟ͡ʝaɾpəɹ,kɾimb,,pyɫ,,,ˈfaːɾ,,rəːɲ,,ˈlulɛ,baɾ,liˈtaɾ,ləkuɹə,miʃ,ɟ͡ʝak,,,,,,,ˈcimɛ,kɔkə,,sɒj,,ˈɡɔjə,,ˈɟʑuhə,,kəm.bə,kəm.bə,,dɔɹ,kɾa,,,ˈcafə,ʃpiːn,,ˈzɛməɾ,,pi,,kafˈʃɔj,θiθ,,,,,cɛʃ,,,di,mɛnˈdɔj,ɛːɹ,ˈfɾik(ə),,jɛˈtɔj,vdɛs,,,,,,,,,,nɔˈtɔj,,ˈɛtsi,,,ulɛm,ri,,ˈbiɛ,,mbaj,,fəɾˈkɔj,,,,,,,,,θɛm,kənˈdɔj,,,,,,,hənə,yɫ,ˈujə,ʃiː,,liˈcɛn,dɛt,ˈkɹi.pə,ɡuɾ,,,ðɛ,,ˈmjɛɡuɫ,,ɛːɹ,,,,zjaɾm,,,ˈruɡə,mal,kuc,ˈɟɛlbəɾ,,baːɾð,zi,ˈnaːt,,,,,,ɾi,,majɾ,,,,,,,,,,,,,,,,ˈnə,ˈnə,mɛ,ðɛ,,,ɛməɾ
Indo-european,Armenian,Armenian,hy,hy,jɛs,du,nɑ,mɛŋkʰ,du,nəˈɾɑŋkʰ,ɑjs,ɑjd,ɑjsˈtɛʁ,ɑjnˈtɛʁ,ɔv,int͡ʃʰ,vɔɾˈtɛʁ,jɛɾpʰ,int͡ʃʰˈpɛs,t͡ʃʰ,bɔˈlɔɾ,ʃɑt,,kʰitʃʰ,ɑjl,mɛk,jɛɾˈku,jɛˈɾɛkʰ,t͡ʃʰɔɾs,hiŋɡ,mɛt͡s,jɛɾˈkɑɾ,lɑjn,hɑst,ˈtsɑnəɾ,ˈpʰɔkʰəɾ,kɑɾt͡ʃ,nɛʁ,bɑˈɾɑk,kin,mɑɾtʰ,mɑɾtʰkɑˈjin,jɛɾɛˈχɑ,kin,ɑmuˈsin,mɑjɾ,hɑjɾ,kɛntʰɑˈni,d͡zuk,tʰərˈtʃʰun,ʃun,vɔˈt͡ʃʰil,ɔt͡sʰ,vɔɾtʰ,t͡sɑr,ɑnˈtɑr,pʰɑjt,pəˈtuʁ,sɛɾm,tɛˈɾɛv,ɑɾˈmɑt,kɛˈʁɛv,t͡sɑˈʁik,χɔt,pɑˈɾɑn,mɑʃk,mis,ɑɾˈjun,vɔsˈkɔɾ,t͡ʃɑɾp,d͡zu,jɛʁd͡ʒˈjuɾ,pɔt͡ʃʰ,pʰɛˈtuɾ,,ɡəˈluχ,ɑˈkɑnd͡ʒ,ɑt͡ʃʰkʰ,kʰitʰ,bɛˈɾɑn,ɑˈtɑm,lɛˈzu,jɛˈʁunɡ,vɔtkʰ,vɔtkʰ,t͡suŋk,d͡zɛrkʰ,tʰɛv,pʰɔɾ,pʰoɾoˈtikʰ,viz,mɛt͡ʃʰkʰ,kuɾt͡skʰ,siɾt,ljɑɾtʰ,χəˈmɛl,uˈtɛl,kəˈtsɛl,t͡səˈt͡sɛl,tʰəˈkʰɛl,,pʰəˈt͡ʃʰɛl,ʃənˈt͡ʃʰɛl,t͡sit͡sɑˈʁɛl,tɛsˈnɛl,ləˈsɛl,ɡitɛˈnɑl,mətɑˈt͡sɛl,hɔt,vɑχ,kʰəˈnɛl,ɑpˈɾɛl,mɛrˈnɛl,spɑˈnɛl,kərˈvɛl,vɔɾˈsɑl,χəˈpʰɛl,kətˈɾɛl,,χoˈtsʰɛl,kʰɛɾˈtsɛl,pʰɔˈɾɛl,lɔˈʁɑl,t͡ʃɑnt͡ʃ,kʰɑjˈlɛl,ɡɑl,sut,nəsˈtɛl,kɑŋɡˈnɛl,ʃəɾdʒˈvɛl,əŋkˈnɛl,tɑl,bərˈnɛl,sɛʁˈmɛl,,ləˈvɑl,səɾˈpʰɛl,kʰɑˈʃɛl,həˈɾɛl,nɛˈtɛl,kɑˈpɛl,kɑˈɾɛl,,ɑˈsɛl,jɛɾˈkʰɛl,χɑˈʁɑl,,hoˈsɛl,,uˈrɛl,ɑˈɾɛv,luˈsin,ˈɑstəʁ,d͡ʒuɾ,ɑnd͡zˈɾɛv,ɡɛt,lit͡ʃ,t͡sɔv,ɑʁ,kʰɑɾ,ɑˈvɑz,pʰoˈʃi,hɔʁ,ɑmp,mɑrɑˈχuʁ,jɛɾˈkiŋkʰ,kʰɑˈmi,d͡zjun,sɑˈrujt͡sʰ,t͡suχ,kəˈɾɑk,moˈχiɾ,ajɾˈvɛl,t͡ʃɑnɑˈpɑɾ,lɛr,kɑɾˈmiɾ,kɑˈnɑt͡ʃʰ,dɛˈʁin,əspiˈtɑk,sɛv,ɡiˈʃɛɾ,ɔɾ,tɑˈɾi,d͡ʒɛɾm,ˈsɑrə,ˈlikʰə,nɔɾ,hin,lɑv,vɑt,pʰəˈtɑt͡s,kɛχˈtɔt,uˈʁiʁ,,suɾ,butʰ,hɑɾtʰ,tʰɑt͡sʰ,t͡ʃʰoɾ,t͡ʃiʃt,mɔt,hɛˈru,iɾɑˈvuŋkʰ,d͡zɑχ,,mɛt͡ʃʰ,hɛt,ɛv,jɛˈtʰɛ,vɔɾɔfhɛˈtɛv,ɑˈnun
Indo-european,Hellenic,Greek,el,el,eˈɣo,,aˈftos,e̞ˈmis,e̞ˈsi,,aˈftos,,,e̞ˈci,,,,ˈpote,ˈpos,ðe̞,,,,ˈliɣos,,ˈe̞na,ˈðiˌo̞,ˈtri.a,ˈte̞se̞ˌra,ˈpe̞(n)de̞,,,,,,miˈkro̞s,,,,ʝiˈne̞ka,ˈanθɾɔpɔs,,peˈði,,,miˈtera,paˈteras,ˈzo.o,ˈp͡sari,puˈli,ˈscilos,,ˈfiði,sku.ˈli.ci,ˈðe̞n.dro̞,ˈðasɔs,,,ˈspo̞ro̞s,ˈfilo̞,,,ˈanθɔs,,,ˈðɛɾma,ˈkre̞as,ˈema,o̞ˈsto̞,ˈli.pos,ta.oˈa,,,,,ce̞ˈfali,aˈfti,ˈmati,ˈmiti,,ˈðɔndi,ˈɣlosa,ˈniçi,ˈpoði,ˈpoði,ˈɣɔnatɔ,ˈçeɾi,,,,,,ˈstiθos,karˈðʝa,,ˈpi.no,ˈtro̞o̞,ðaŋˈɡono,,ˈfti.nɔ,,,a.naˈpne.o,,ˈvlepo,aˈkuo,ˈksɛ.ɾɔ,ˈsceftome,miɾoˈðʝa,,ciˈmame,ˈzo,peˈθeno,skoˈtono,,,,,,,ˈksino,,,ˈmiɣa,,ˈeɾxome,,ˈkaθome,ˈstekome,,,,,,triˈvo,,,,,,,,,,,,,ˈre.o,,ˈpɾizome,ˈi.ʎos,,,neˈro,vɾoˈçi,,,ˈθalasa,aˈlati,,,,,ˈsinɛfɔ,,,,,ˈpaɣos,kaˈpno̞s,foˈtça,,,ˈðromos,ˈo̞ro̞s,ˈkocinos,ˈpɾasinos,,ˈaspro̞s,ˈmavros,ˈnixta,,ˈxɾonos,ze̞ˈsto̞s,,ˈpliris,ˈne̞o̞s,,kaˈlos,kaˈkos,ˈsapços,,,,kofteˈros,,,,,so̞ˈsto̞s,,makriˈa,ðiˈceoma,,ˈston,en,me̞,ce̞,,,ˈo̞no̞ˌma
Indo-european,Anatolian,Hittite,hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Anatolian,Palaic,plq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Anatolian,Luwian,xlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Anatolian,Lycian,xlc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Anatolian,Milyan,imy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Anatolian,Carian,xcr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Anatolian,Sidetic,xsd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Anatolian,Pisidian,xps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Anatolian,Lydian,xld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Tocharian,Tocharian A,xto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Tocharian,Tocharian B,txb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Indo-Iranian,Kashmiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Indo-Iranian,Shina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Indo-Iranian,Brokskat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Indo-Iranian,Domaaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Indo-Iranian,Kundal Shahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Indo-Iranian,Kalkoti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Indo-Iranian,Ushoji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Indo-Iranian,Palula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Indo-Iranian,Savi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Indo-Iranian,Dameli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Indo-Iranian,Gewar-Bati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Indo-Iranian,Nangalami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Indo-Iranian,Shumashti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Indo-Iranian,Kalasha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Indo-Iranian,Khowar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
