word,xmf,ka,lzz,sva
know,rtʃkʰinä,tsɔdnä,ɔtʃkʰinu,mäχäl
bird,kʼvintʃä,tʃitʼi,kʼintʃi,næpʼr
short,kʼuntʼä,mɔkʼlɛ,mkʼulɛ,kʼudæ
eye,tʰɔli,tʰväli,tʰɔli,tʰɛ
eat,tʃʼkʼɔmuä,tʃʼämä,ɔtʃʼkʼɔmu,lizwɛb
cut,tʃʼkʼiruä,tʃʼrä,ɔtʃʼkʼiru,likʰtʃɛ
name,säχɛli,säχɛli,dʒɔχɔ,ʒäχɛ
kill,ʔviluä,kʼvlä,ɔqʼvilu,lidgæri
drink,ʃumä,smä,ɔʃu,litʰrɛ
that,tʰinä,is,ɛjä,ɛdʒi
new,äχäli,äχäli,äʁäni,mäχɛ
neck,kʼisɛri,kʼisɛri,dʒinikʰi,kʼintʃχ
head,dudi,tʰävi,dudi,tʰχwim
play,mɛgämä,däkʼvrä,gɛlätʃämu,liʃmɛ
cold,ʔini,tsivi,qʼini,mətsχi
because,räχäns,rädgän,ɔkʰi,läχä
fat,gägäbi,tsχimi,jäʁi,mətʃχim
see,rtsʼqʼɛbä,χɛdvä,ɔtsʼkʼɔmilu,lisgdi
say,tʰkʰuälä,tʰkʰmä,ɔtʰkʰu,likʰwisg
father,mumä,mämä,bäbä,mu
breast,kʼidiri,mkʼɛrdi,gjɔnkʰsi,mutʃʼwɛd
red,tʃʼitʰä,tsʼitʰɛli,mtʃʼitʰä,tsʼərni
breathe,,suntʰkʰvä,ɔʃvänu,liχwäntʼɛ
thick,ʃχu,skʰɛli,pʼɛdʒi,sgɛl
mouth,pʼidʒi,pʼiri,pʼidʒi,pʼil
think,gurtʃämä,pʰikʰri,ɔsimädu,liskʼɔrɛ
come,mɔulä,mɔsvlä,mɔlvä,liqʰɛd
hair,tʰumä,tʰmä,tʰɔmä,pʰätʰw
dig,ntʰχɔruä,tʰχrä,ɔntʰχɔru,libərdʒɛ
when,muʒäms,rɔdis,mundɛs,ʃɔmä
earth,diχä,mitsʼä,lɛtʼä,gim
in,,ʃi,,sgä
split,rtʰuälä,qʼɔpʰä,ɔrtʰu,lirdɛ
back,ɔtʃʼiʃi,zurgi,kʼäpʼulä,tʃʼätʃʼær
thin,tʰχitʰχu,tʰχɛli,tʰitʰχu,dətʰχɛl
snow,tʰiri,tʰɔvli,mtʰviri,musw
swell,mbäruä,ʃɛʃupʼɛbä,ɔbäru,liʃiɛ
hear,rtʃkʰilä,smɛnä,ɔʃkʼinu,səmæn
salt,dʒimu,märili,dʒumu,dʒim
moon,tʰutʰä,mtʰvärɛ,tʰutʰä,dɔʃdul
full,ɛpʰʃä,sävsɛ,jɔpʰʃä,gwɛʃi
two,ʒiri,ɔri,ʒur,jɔri
bone,dzväli,dzväli,qʼvili,dʒidʒw
seed,tʰäsi,tʰɛsli,tʰäsi,læʃi
day,dʁä,dʁɛ,dʁä,lädɛʁ
smooth,värkʼälä,pʼriälä,pʰrändɛri,mərkʼənɛ
here,tʰäkʰ,äkʰ,äkʰ,ämɛtʃu
smell,ʃuräpʰä,qʼnɔsvä,ɔʃuru,likʰwni
rain,tʃʼvɛmä,tsʼvimä,mtʃʼimä,utʃχɛ
stand,gɛrinä,dgɔmä,dɔdginu,lignɛ
narrow,intsʼrɔ,vitsʼrɔ,ndäri,näχwtsʼi
lie,dɔndʒirä,tsʼɔlä,dɔndʒiru,liqʼwrɛ
ash,nätʃʼvi,pʰɛrpʰli,nɔmtʃkʰä,kʰæm
rub,tʃirkʰɔli,χäχuni,ɔkʰurtʃɔlu,liχdʒənɛ
all,ärdzä,qʼvɛlä,iri,mæg
egg,märkʰväli,kʼvɛrtsχi,mäkʰväli,ləgrɛ
