word,uk,et,lt,vot,bo,ba,vro,tl,hi,te,km,sk,mjt,fy,gv,kfe,gdb,as,xmf,ru,gd,bfq,mt,da,kfa,ml,lo,ta,cs,ku,kru,la,ca,bn,ko,xub,ro,th,krl,brh,mk,sv,ug,vi,vep,be,tcx,zu,yi,kxv,nn,en,az,fr,kff,kn,el,ps,nl,hu,he,pt,it,fa,yea,tcy,fo,ka,mn,ny,oc,sl,bg,se,fi,pci,id,tg,lv,cy,lb,ga,br,sq,hy,pl,sva,my,liv,de,ms,ja,gl,sa,za,gon,ar,is,tr,af,lzz,kfb,ur,es
lie,,ˈlɑmɑmɑ,ˈmʲæːɫas,ˈleʃeæ,,jɑɫ.ˈʁɑn,ˈvɤlsːmɑ,maɡ.si.nu.ŋa.ˈliŋ,d͡ʒʱuːʈʰ,paɖukonu,kuhk,ˈkɫamstvɔ,ko:ɖpo,,,bʰulo:gam,tukud,,dɔndʒirä,loʂ,,haɖaʋə,,løɡn,budda,kiɖakkuga,,keɖə,lɛʃ,,paiha,menˈdaː.ki.um,mənˈti.də,,ˈkɘːd͡ʑinma̠ɭ,ba:ɖ,,,ˈmuɑtɑ,dɾogʰ taɖing,,lœŋn,jɑlʁɑn,nɔj˧˦ zoj˧˦,ˈmɑgɑtɑ,,poaʈtʃi:,,,,,laɪ̯,jaˈɫan,mɑ̃.sɔ̃ʒ,undʒa,malagu,,,ˈløː.ɣə(n),ˈhɒzukʃaːɡ,,mẽ.ˈti.ɾɐ,buˈd͡ʒi.a,doˈɾuːɣ,bi:ndo,buɾo:naɾa,,tsʼɔlä,xʊtəɮ,ˈɓó.d͡za,,ˈláːʃ,ɫəˈʒa,,ˈmɑːtɑ,maḍ,,,,,ˈliʑən,bʲɾʲeːɡ,,,sut,ˈkwam.stfɔ,liqʼwrɛ,mṵðá,ˈmɑgːɨ,ˈlyːɡə,,ɯ̟ᵝso̞,,,,miɳɖsi,,ˈlɪːjɪ,jaɫan,,dɔndʒiru,laba:ɖ muɖsati,,menˈtiɾa
breast,,ˈrind,,ˈrintɑ,,im.ˈsæk,ˈrɤnt,,,gunde,ṭoḥ,ˈpr̩sɲiːk,daibuku,,,me:l,palgil,,kʼidiri,ɡrutʲ,kʰʲiəx,ma:ɾə,,brøst,mele,māṟu,tuː˥˦,ma:ɾbə,pr̩s,,jeʋakʰ,ˈmam.ma,ˈpit,,juba̠ŋ,kujndigi,pjept,taː˥˩.nom˧,ˈrintɑ,xad,ˈɡrada,,,vu˧˦,ˈrind,,nidʒikuɖi,îːɓéːle,,sipadaki,,bɹɛst,,sɛ̃,eddam,ede,ˈstiθos,,bɔrst,ˈmɛlː,ʃad,ˈsɐj.u,ˈse.no,pʰesˈt̪ʰɒːn,mele,tigala,brœst,mkʼɛrdi,,ˈɓé.ɽe,,,ɡərˈda,ˈt͡ʃidːd͡ʒiː,ˈrintɑ,edram,,,,brɔn,,,,,kuɾt͡skʰ,pʲɛrɕ,mutʃʼwɛd,no̰,ˈriːnd̪ɑ,bʁʊst,,mɯ̟ᵝna̠,,,,dudo,,prjoust,,bɔ(ː)rs,gjɔnkʰsi,sa:tti,pɪst̪an,ˈpet͡ʃo
wet,,ˈmærg,,ˈmærtʃæ,,jɪ̞ˈwɪ̞ʃ,ˈlikːɤ,,ɡiːlaː,,,ˈmokriː,,,,,,ti.ta,ʃɔliri,ˈmokrɨj,flux,,,vɔːd,,,,,ˈmokriː,,,ˈuː.dus,ˈmɔʎ,,,,ud,pia̯k̚˨˩,ˈmærgæ,,,voːt,,ʔɨət̚˧˦,ˈmærg,ˈmokrɨ,,,,,,wɛt,,mu.je,,,,lund̪,nɑt,ˈnɛdvɛʃ,,muˈʎaðu,baɲˈɲato,xiːs,,,,svɛli,t͡ɕʰiːɡ,,,ˈmòːkər,,,ˈmærkæ,,,,slapʲʃ,ɡwlɨːb,naːs,fʲlʲʊx,,,tʰɑt͡sʰ,ˈmɔ.krɨ,məʒir,sò,ˈkɑʒːi,nas,basah,nɯ̟ᵝɾe̞ɾɯ̟ᵝ,,,,,,ˈvɔːtʏr,,,ʃu,,ɡiːlaː,moˈxado
fruit,,ˈʋili,ˈvai̯sʲʊs,ˈviʎːɑ,*ɕiŋ.tok,jɪ̞ˈmɪ̞ʃ,ˈvili,,pʰəl,,p̥ʰlaejʰoe,ˈɔvɔt͡si̯ɛ,,,meːs,,,,χili,plot,,,,frɔɡt,,,,,ˈovot͡sɛ,,,ˈfruːk.tus,,pʰɔl,ˈkwa̠ːiɭ,,,luːk̚˥˩,ˈfrukt,,,ˈfrɵkt,,kwaː˧˩,ˈplod,,,isítʰeːlo,fʁʊχt,,,fɹuːt,mɛjvæ,fʁɥi,,,,,vrʏxt,ˈɟymølt͡ʃ,pʁi,ˈfɾu.ta,ˈfru.tːo,miːve,,,,χili,ur,t͡ʃiˈpá.t͡so,,ˈsáːdɛʃ,plɔt,,ˈhedelmæ,,,mevæ,âwɡlis,fruːɨ̯θ,,ˈt̪ˠɔɾˠə,fʁwɛs,,pəˈtuʁ,ˈɔ.vɔt͡s,χil,ʔəθí,ˈviːʎɑ,fʁʊxt,buah,,ˈfɾojta̝,pʰɐ́.l̪ɐ,maːk˧˥,,faː.ki.ha,ˈauːvœxstʏr,,,χilä,,pʰəl,ˈfɾuta
head,ɦɔlɔˈu̯ɑ,ˈpeɑ,,ˈpæː,*mɡo,ˈbɑʂ,ˈpːæː,,sɪɾ,tala,k̥pāl,ɦɫava,kukudu,ˈholə,caun,manɖə,ta:l,muɹ,dudi,ɡəlɐˈva,,manɖe,ˈrɐːs,hoːvəd,maɳɖe,tala,hua˩˨,talə,ˈɦlava,,kuk,ˈka.put,ˈkap,mat̪ʰa,mʌ̹ɾi,maɳɖi,kap,hua̯˩˩˦,ˈpiæ,ka:ʈum,,ˈhʉːˌvɵd,,ʔɗəw˨˩,ˈpæ,ɣaɫaˈva,maʈʈə,îːkʰâːnda,,tɾajun,,hɛd,bɑʃ,tɛt,talaka:j,tale,ce̞ˈfali,,ɦoːft,ˈfɛj,ʁɔʃ,kɐ.ˈβe.sɐ,ˈtɛs.ta,sæɾ,tile,manɖa,hœtː,tʰävi,tʰɔɮɢɔi,ˈmu.tú,kap,ˈɡlàːʋa,ɡləˈva,ˈoɑ̯jːviː,ˈpæː,tel,kə.pa.la,sær,ɡâlva,pɛn,,caun̪ˠ,pɛ̃n,kɔkə,ɡəˈluχ,ˈɡwɔ.va,tʰχwim,ɡáʊɴ,ˈpæː,kɔpf,kəpalə,a̠ta̠ma̠,ˈtɛsta̝,,kʲau˥,talla,ra.ʔa.sa,hœːvʏθ,ˈbɑʃ,,dudi,tal,,kaˈbeθa
dry,,ˈkuiʋ,,ˈkuivɑ,*skam.po,qʊ̞ˈrʊ̞,ˈkːuiv,,suː.kʰɑː,eɳɖu,s̥ṅuat,ˈsuxiː,a:ika:,,,kanʈiko,tukud,xu.kan,skʰiru,sʊˈxoj,ˈtʃʰiɾəm,oɳikiladə,,tœːr,oɳangina,varaṇṭa,,ularnta,ˈsuxiː,,kʰajka,ˈsik.kus,əˈʃut,,ma̠ɾɯda̠,ajngənu ipədə,usˈkat,hɛːŋ˥˩,ˈkuivɑ,ba:ɾun,,,,xo˧˧,ˈkuiv,suˈxʲi,oɳikisi,,,,,dɹaɪ,,sɛk,aɾta:d,battida,,,droːx,ˈsaːrɒz,,ˈse.ku,ˈsekko,xoʃk,unaku,nunguduna,,mʃräli,,,,ˈsúːx,,,ˈkuiʋɑ,tūk,,,sàws,sɨːχ,ˈdʀeχen,ˈtʲɪɾʲəmʲ,ˈsɛːχ,,t͡ʃʰoɾ,ˈsu.xɨ,pʰikʼwi,t͡ɕʰaʊʔ,ˈkuːjɑ,ˈtʁɔkən,,ka̠ɰᵝa̠kɯ̟ᵝ,,ɕúʂ.kɐ,ɣeːŋ˦˨,ʋaʈʈa,d͡ʒaːff,θʏrː,,,χɔmulä,a:tiɾ,suːkʰa,ˈseko
neck,ˈʃɪjɐ,ˈkɑel,ˈkä̌ːklɐs̪,ˈkɑglɑ,,mu.ˈjɯ̞n,ˈkːɑːl,,,meɖa,k,kr̩k,asaɾdu,,,kaɖate:l,kanɖ,di.ŋi,kʼisɛri,ˈʂɛjə,,katə,,hals,bo:ɭe,kaɻutə,,kaɭuttə,kr̩k,,kʰesir,ˈkol.lum,ˈkɔʎ,,mo̞k̚,kp:ma:ɭi,ɡɨt,kʰɔː˧,ˈkɑklɑ,lex,vrat,,,ko˧˩,ˈkɑgl,,maɾ,íntaːmo,haldz,,hɑls,nɛk,,ku,meɖaka:ja,kuthige,,,,ˈɲɒk,,pɨʃ.ˈko.su,ˈkɔl.lo,ɡærdæn,bo:ɭe,kekkilə,,kʼisɛri,xut͡su,ˈkʰo.si,,ˈʋráːt,ˈʃijə,,ˈkɑulɑ,tūk,,ɡærdæn,,ɡʊðv,,ˈmˠɪnɑːl,,ˈcafə,viz,ˈʂɨ.ja,kʼintʃχ,lɛ̀bɪ́ɴ,ˈkɑgːɨl,hals,lehe(r),kɯ̟ᵝbʲi,pesˈkoθo̝,ɡɽiː.ʋɑ́ː,ho˧˩,guɖunga,,hauls,,,dʒinikʰi,mak,,ˈkweʎo
sharp,,ˈterɑʋ,ɐʃt̪ˈrʊs̪,ˈterævæ,,ʏtˈkɪ̞r,ˈtːerːæv,,,,mut,,,,,,,,kʼväntʰiri,ˈostrɨj,,,,,,,,,ˈostriː,,,ˈaː.ker,əz.moˈlat,,,,as.kuˈt͡sit,kʰom˧,ˈterævæ,,,,,sak̚˧˦,ˈterɑv,ˈvostrɨ,,,,,,ʃɑːp,,a.fi.le,,,kofteˈros,,sxɛrp,ˈeːlɛʃ,,a.fi.ˈa.du,affiˈlato,teːz,,,ˈkvasːʊr,bäsri,,,,ˈòːstər,osˈtɤr,,ˈteræʋæ,,,,as,,,ɟeːɾˠ,,,suɾ,ˈɔ.strɨ,bæsr,t͡ɕʰʊ̀ɴ,ˈvɑimi,ʃarf,,,,,,,ħaːdd,xʷasː,,,mtʃʼkʼirulä,,,aˈɡudo
year,,ˈɑːstɑ,,ˈvoːsi,*lo,jɯ̞ɫ,ˈɑːsːtːɑkː,,saːl,,c̥ʰnāṃ,ˈrɔk,,iə̯r,blʲeːnʲ,,,bɔ.sɔɹ,tsʼänä,ɡot,,,ˈsɛnɐ,,,,piː˩˨,,rok,ˈsɑːl,,ˈan.nus,ˈaɲ,,ɲjʌ̹n,,an,piː˧,ˈvuozi,,,,jil,nam˧˧,ˈvozʲ,ɣot,,úɲâːɠa,jɔʁ,,oːr,jɪə,,a.ne,,,ˈxɾonos,kɑl,jaːr,ˈeːv,ʃaˈna,ˈɐ.nu,ˈan.no,sɒːl,,,ɔaːɹ,tsʼɛli,,ˈt͡ʃa.ká,,ˈlèːtɔ,ɡɔˈdinə,ˈjahkiː,ˈʋuosi,,,,,,joː(e)ʀ,bʲlʲiənʲ,ˈblwaː,,tɑˈɾi,rɔk,zæ,n̥ɪʔ,ˈɑːigɑst̪,jaː(ɐ̯),tahon,nẽ̞ɴ,,,pi˨˦,,ʕaːm,auːr,ˈjɯɫ,jɑːr,tsʼänä,,,ˈaɲo
in,,ˈs,,ˈsːɑ,,,ˈhn,sa,ən.d̪əɾ,,,,,,,,,bʱi.tɔɹ,,vɛ,,,,,,,naɯ˦˥,,v,,,in,ən,,,,ɨn,naj˧,ˈsːɑ,,vɔ,iː,,t͡ɕawŋ͡m˧˧,ˈs,,,,,,iː,ɪn,,dɑ̃,,,en,,ɪn,bɒn,,ẽj̃,ˈin,dæɾ,,,ʊiː,ʃi,tɔtʰər,,,ʋ,vɤ,,ˈsːɑ,,,dær,,ən,,ɪ,,ˈnə,mɛt͡ʃʰ,f,sgä,m̥à,ˈs,ʔɪn,,ɲ̟i,,,,,fiː,,,,,,,en
drink,,ˈjoːmɑ,ˈɡʲɛrʲ.tʲɪ,ˈʝuvːɑ,*ⁿtʰuŋ,,ˈjuːmɑ,,piːn̪ɑː,ta:gu,pʰẏk,ˈpic,ho:na:,ˈdrɪŋkə,,unatukə,un,,ʃumä,pʲitʲ,ɔːɫ̪,kuɖapə,ˈʃɔrɔp,drekə,kuɖipa,kuṭi,dɯːm˦˦,kuɖi,piːt,ˈvɛxwɑːɾɯn,onna,ˈbi.boː,ˈbəw.ɾə,,ma̠ɕʰida̠,kuɖi,be̯a,dɯːm˨˩,ˈjuːvːɑ,kuning,ˈpi.ɛ,drɪkːa,,ʔuəŋ˧˦,ˈjodɑ,,uʈʈudi,,,,,dɹɪŋk,itʃmæc,bwaʁ,unnu,kuḍi,ˈpi.no,,ˈdrɪŋkə(n),ˈisik,ʃaˈta,be.ˈbeɾ,ˈbe.re,nuːʃiːˈdæn,kuɖipə,paɾijaɾa,ˈtɾɛʰkːa,smä,,,ˈbewre,ˈpiːti,ˈpijə,ˈjuhkah(t),ˈjuodɑ,un,,nɵʃidæn,dzɛɾ̂t,ˈəvɛd,ˈdʀeŋken,oːl̪ˠ,ˈe.vɑ̃,pi,χəˈmɛl,pʲit͡ɕ,litʰrɛ,θaʊʔ,ˈjuːod̪ɨ,ˈtʁɪŋkən,minom,no̞mɯ̟ᵝ,,pí.bɐ.t̪i,,un,ʃa.ri.ba,ˈtrɛhka,it͡ʃˈmɛ́c,,ɔʃu,aniɾusa:t,,beˈβeɾ
bone,,ˈluː,ˈkä̂ˑʊ̯ɫɐs̪,ˈluː,,hʏ̞.ˈjæk,ˈluː,,ɦəɖ.ɖiː,jemuka,c̥ʰʾẏṅ,ˈkɔsc,o:tʃuldi:,,kreːw,jeluʋə,tukud,,dzväli,kosʲtʲ,,ilə,ˈaˁːdmɐ,knɔɡlə,mu:ɭe,ellə,,elumbə,kost,,kʰotʃol,oːs,ˈɔs,,,jaləʋə,os,kra˨˩.duːk̚˨˩,ˈluː,aɖɖə,,ˈbeːn,,sɨəŋ˧˧,ˈlu,kosʲt͡sʲ,elf,îːtʰâːmbo,,,bæɪn,boʊn,syˈmyk,ɔs,bu:la:,jelubu,o̞ˈsto̞,,beːn,ˈt͡ʃont,ˈʕɛsˀɛm,ˈo.su,ˈɔsso,ostoxɒn,mu:ɭe,ellə,bain,dzväli,,ˈfú.pa,ˈɔs,ˈkóːst,kɔst,ˈtaːkːtiː,ˈluː,būla,,ustuxɔːn,,,ʃɑŋk,knɑːvʲ,ˈas.kɔrn,,vɔsˈkɔɾ,kɔɕt͡ɕ,dʒidʒw,ʔəjó,ˈluː,ˈknɔχn,tulaŋ,pone,ˈɔso̝,ɐ́s̪.t̪ʰi,,bokka,ʕaðˁm,ˈpeiːn,ceˈmic,,qʼvili,bokka,,ˈweso
ice,,ˈjæː,,ˈʝæː,,bʊ̞ð,ˈijæ,ˈje.lo,,,dẏkkk,ˈʎat,,iːs,,,,,ʔini,lʲɵt,,,θ,iːs,,,,,lɛt,,,ˈɡla.ki.eːs,ˈʒɛl,bɔrɔf,ʌ̹ɾɯm,,,nam˦˥.kʰɛŋ˩˩˦,ˈjæː,,mras,,,ʔɓaŋ˧˧,ˈjæ,lʲot,,íːǃʰwa,,,iːs,aɪs,,ɡlas,,,ˈpaɣos,,ɛi̯s,ˈjeːɡ,,ˈʒe.lu,ˈɡjat.t͡ʃo,jæx,,,ˈʊiːsʊɹ,qʼinuli,mos,,,ˈléːt,lɛt,ˈjie̯tɲa,ˈjæː,,,,lædus,jaː,æi̯s,əiɾʲ,,,sɑˈrujt͡sʰ,lut,kʼwärɛm,jèɡɛ́,ˈje̞i,aɪ̯s,aes,⟨ko2pori⟩,ˈʃe.ʊ,,,,d͡ʒa.liːd,iːs,ˈbuz,ə̟i̯s,buzi,,,ˈɟ͡ʝelo
what,ʃtʃɔ,ˈmis,,ˈmikæ,*ɡa.re,,ˈmiæ,aˈno,kjɑː,ēmi,ʾī,ˈt͡ʃɔ,indiɾdu,,,eta:nə,enna:ʈ,ki,mu,ʂto,tʲeː,e:nə,,vad,jentə,endə,ɲaŋ˩˨,enne,t͡so,,je:ndra,kʷid,ˈkə,,muʌ̹t̚,ajindi,t͡ʃe,ʔa˨˩.raj˧,ˈmi,antə,,vɑː(d),nemɛ,zi˨˩,ˈmi,ʂto,inno,,vɔs,ena,kʋɑː,wɔt,næ,kwa,ba:ta,je:nu,,,ʋɑt,ˈmi,,u ˌki,,tʃʰe,entai,entʃina,kvɛaːʰt,rä,,t͡ʃiˈjá.ni,,ˈkàːj,kɐkˈvɔ,,ˈmikæ,nāto,,,,beːθ,,kad̪ˠ,ˈpe.tʁa,tʃfaɹ(ə),int͡ʃʰ,t͡sɔ,mæ,bà,ˈmis,vas,apə,na̠ɲ̟i,,,,baʈʈal,maː.ðaː,xʷaːð,,vat,mu,em,kjaː,ˈke
meat,ˈmjɑsɔ,ˈlihɑ,,ˈlihɑ,*ɕa,it,ˈlihɑ,,ɡoːʃt̪,ma:msamu,sāc´,ˈmæso,ma:kɖu,flai̯s,feːlʲ,podu,tukud,maŋxɔ,χɔrtsi,ˈmʲasə,,pa:ɖə,,,eɾatʃi,iɾatʃi,,iṟaicci,ˈmaso,,ahɖa:,ˈka.roː,ˈkaɾn,maŋʃo,ko̞ɡi,əɾsi,ˈkarne,nɯa̯˦˥,ˈlihɑ,su:,,ɕœtː,,tʰit̚˧˨ʔ,ˈlihɑ,ˈmʲasa,pi:t,íɲaːma,flɛɪʃ,,çøːt,miːt,,vjɑ̃d,angi:,bāḍu,ˈkre̞as,ɣwaˈ.ʂa,vleːs,ˈhuːʃ,bɔˈsɔr,ˈkaɻ.ne,ˈkar.ne,ɡoːʃt,iɾatʃi,ma:sa,t͡ʃʰøːʰt,χɔrtsi,max,ˈɲa.ma,,mɛˈsóː,mɛˈsɔ,ˈpie̯rːkuː,ˈlihɑ,tūk,,ɡɵːʃt,ɡaʎa,kiːɡ,fleːʃ,fʲoːlʲ,,miʃ,mis,ˈmʲɛ̃.sɔ,lɛʁw,ʔəθá,ˈle̞jɑː,flaɪ̯ʃ,daɡeŋ,ɕiɕi,,mɑ̃ː.s̪ɐ́,no˧,haʋʋi,laħm,kʰjœːt,ɛt,fləis,χɔrtsi,muɾija,,ˈkarne
throw,,ˈʋiskɑmɑ,ˈmʲɛsʲtʲɪ,ˈviskɑː,,,ˈhiːtːmæ,,pʰeːŋk.nɑː,,poḥ,,,,,,,dɔ.liʊa,ʔɔtʰämä,brɐˈsatʲ,ˈtʃʰilikʲ,,,,,,,,,,,ˈjak.toː,ʎənˈsa,,tʌ̹nd͡ʑida̠,,,joːn˧,ˈheitːiæ,,,,,nɛm˧˦,ˈtɑtstɑ,,,,,,,θɹəʊ,ɑtˈmɑχ,ʒə.te,,,,,ˈʋɛrpə(n),ˈdob,,lɐ̃.ˈsaɾ,,ændɒːxtæn,,,kʰasta,srɔlä,xajəx,,,,,,ˈheitːæː,,,ændɔːxtæn,mest,ˈtavlɨ̞,ɡeˈhai̯en,kɑh,,,nɛˈtɛl,ˈʐu.t͡sat͡ɕ,likʼwänɛ,pjɪʔ,ˈe̞it̪ɨ,ˈvɛʁfən,,,,,,,,ˈkʰasta,,,ɔstʰɔmilu,,,
warm,,ˈsoe,ˈʃʲɪltɐs,ˈlæmːiː,,jɯ̞.ˈɫɯ̞,ˈlæmːi,,,ʋetʃtʃa,k̥ṭau,ˈcɛpliː,kuɖni,vaːrm,,bʰulo:gam,ʋeʈal,,tʼibu,ˈtʲɵplɨj,,uppekke,,,bekke,uṣṇa,,ʋedəʋedəppə,ˈtɛpliː,,udum,ˈka.li.dus,kəˈlent,,t͈a̠t͈ɯtʰa̠da̠,su:ɖə,kald,ʔun˨˩,ˈlæmːin,ba:sun,,varm,,ʔəm˧˦,ˈlæm,ˈt͡sʲopɫɨ,kortilije,,,,,wɔːm,iɫɯχ,ʃo,ʋe:ɖ,betʃtʃage,ze̞ˈsto̞s,,ʋɑr(ə)m,ˈmɛlɛɡ,,,ˈkaldo,ɡʲæːɾm,bekki,betʃtʃa,,tʰbili,,,,ˈtɔ̀ːpəw,ˈtɔpəl,,ˈlæmːin,tūk,,,sīlts,,vaːʀm,tʲɛ,,,d͡ʒɛɾm,ˈt͡ɕɛ.pwɨ,tʼɛbdi,pù,ˈle̞m,vaʁm,haŋat,a̠ta̠ta̠ka̠i,ˈkɛnt̪ɪ,,,ka:sta,daː.fiʔ,,ɯˈɫɯk,,tʼibu,ʋekka,,kaˈljente
feather,peˈrɔ,ˈsulg,,ˈsulkɑ,,qɑ.wɯ̞r.ˈhɯ̞n,ˈsːulk,,,i:ka,s̥lāp,,paki:,,,ɾe:kə,tukud,pakʰi,burdʁä,pʲɪˈro,,ɾakke,ˈriːʃ,fjeːr,topaʈa,tu:ʋalə,,ɾekke,ˈpɛːro,,pentʃo,ˈpluː.ma,,,kit̚,tiʋija,fulɡ,kʰon˩˩˦.nok̚˦˥,ˈsulgɑ,paɾɾɛ,,,,ləwŋ͡m˧˧ vu˦ˀ˥,ˈhøuneh,,iɾakke,úːpʰaːpʰé,,,fjøːr,ˈfɛð.ə(ɹ),,plym,geɾk,gari,,,veːr,ˈtolː,,,ˈpjuma,por,to:pəʈa:,huʋi,ˈfjøːvʊɹ,bumbuli,,ˈⁿtʰe.ᵑɡa,,pɛˈróː,,,ˈsulkɑ,tūk,,pær,spālva,plɨː,ˈfie̯deʀ,ˈclʲɛtʲə,,,pʰɛˈtuɾ,ˈpʲu.rɔ,pʼintʼqʼil,ʔətàʊɴ,ˈt̪uːrgɨz,ˈfeːdəʁ,,ha̠ne̞,ˈplumɐ,,,buɾa,,fjœːðʏr,tyj,,bundʁä,bull,,ˈpluma
hunt,,ˈkytːimɑ,mʲɛˈdʲʒʲotʲɪ,ˈpyːtæː,,,ˈjɑhtːmɑ,,,,prpāñ´,,,,,,,si.kaɹ kɔ.ɹa,nädiruä,ɐˈxotʲɪt͡sə,ˈʃaɫ̪ak,,,ˈjaːɡə,,,,,ˈlovɪt,,,ˈweː.nor,kəˈsa,,sʰa̠ɲja̠ŋɦa̠da̠,,,,ˈmetʃːæstyæ,,,ˈjɑːˌɡa,,san˧˧ ʔɓan˧˦,ˈmetsɑtɑ,palʲaˈvat͡sʲ,,,,,,hʌnt,,ʃa.se,,,,,ˈjaːɣə(n),ˈvɒdaːsik,,kɐ.ˈsaɾ,katˈtʃare,,,,,nädirɔbä,,,,lɔˈʋiːti,,,ˈmetsæstæː,,,,,,ˈjo.en,ˈʃɛlʲɪɟ,,,vɔɾˈsɑl,pɔˈlɔ.vat͡ɕ,litʰχwær,ʔəmɛ́laɪʔ,ˈjɑkt̪ɨ,ˈjaːɡən,,ka̠ɾɯ̟ᵝ,,,,,isˁ.tˁaː.da,ˈveiːða,,,äbdʒɔbä,,,kaˈθaɾ
live,,ˈelɑmɑ,ɡiˈʋæntɪ,ˈelæː,,,ˈelæmæ,ma.ˈbu.hay,d͡ʒina,,nau,ˈʒic,,ˈlɪbjə,,,,,rinä,ʐɨtʲ,,,ɛˁːʃ,leːvə,,,,,ʒiːt,,,ˈwiː.woː,ˈviw.ɾə,,ˈsʰa̠ːɭda̠,,trəˈi,miː˧.t͡ɕʰiː˧.wit̚˦˥,ˈelie,,,leːva,,səwŋ͡m˧˦,ˈelædɑ,,,,,,,lɪv,,vivʁ,,,ˈzo,,ˈleːvə(n),ˈeːl,,viˈveɾ,ˈvi.ve.re,,,,,tsχɔvrɛbä,,,,ʒiˈʋeːti,ʒiˈvɛjə,ˈea̯lliːh(t),ˈelæː,,hi.dup,,dzîːvuôt,bɪu̯,ˈliə̯vən,mˠaɾʲ,,jɛˈtɔj,ɑpˈɾɛl,ʐɨt͡ɕ,lidrɛ,,ˈje̞lːɨ,ˈleːbən,hidop,ikʲiɾɯ̟ᵝ,,d͡ʑíː.ʋɐ.t̪i,,,ʕaː.ʃa,ˈlɪːva,,,skʰidälä,,,biˈbiɾ
hold,,ˈhoidmɑ,tʊˈɾʲeːtʲɪ,ˈpitæː,,,ˈpːitæmæ,,pə.kəɽ.nɑː,,kān´,ˈdr̩ʒac,,hɔːdə,,,,,däkʼinɛbä,dʲɪrˈʐatʲ,kʰuːm,,,,,,tʰɯː˩˨,,dr̩ʒɛt,,,ˈte.ne.oː,ə.ɡwənˈta,,tɯɭda̠,,ˈt͡si.ne,tʰɯː˩˩˦,ˈpityæ,,,,,zɨ˦ˀ˥,ˈpidɑdɑ,trɨˈmat͡sʲ,,,,,,həʊld,tutˈmɑχ,tə.niʁ,,,,,ˈɦɑu̯də(n),ˈtɒrt,,ˌse.ɡu.ˈɾa(ɹ),teˈne.re,,,,,dätʃʼɛrä,,,,,,,ˈpitæː,,,,tuɾɛ̂ːt,dal,ˈhaːlen,ˈkɪn̠ʲə,,mbaj,bərˈnɛl,ˈtʂɨ.mat͡ɕ,lirmi,kàɪɴ,ˈpid̪ːɨ,ˈhaltn̩,,,,,,,,ˈhalta,,ɦœu,ɔkʰätʃu,,,aɡwanˈtaɾ
mother,ˈmɑte,ˈemɑ,,ˈemæ,,æˈsæj,ˈimæ,,,,m̥ṭāy,ˈmatka,,,maːɹ,,,ma,didä,matʲ,ˈmaːhəɾʲ,,ɔmː,,,,mɛː˧˧,,ˈmatka,,,,ˈma.ɾə,,ʌ̹mma̠,,ˈma.mə,mɛː˥˩,ˈmuɑmo,,,muːr,ɑnɑ,mɛ˧˨ʔ,ˈmɑmoi,,,úmʱáːma,ˈmʊtəʁ,,,ˈmʌðə(ɹ),,mɛʁ,,,miˈtera,mor,ˈmu.dər,ˈɒɲɒ,ˈ(ʔ)em,mɐ̃j̃,ˈma.dre,mɒːˈd̪æɾ,,,ˈmɔuwɪr,dɛdä,ix,ˈmá.ji,ˈmajɾe,ˈmàːti,ˈmajkə,ˈea̯dːniː,ˈæiti,,,mɔːdær,māːtɛ,mam,mɑm,ˈmˠɑːhəɾʲ,ˈmãmː,,mɑjɾ,ˈmat.ka,di,,ˈje̞mɑː,ˈmʊtɐ,ibu,okakasama,ˈnaj,ɐm.bɑ́ː,ma˨˦,,ʔam.ma,ˈmamːa,anne,,nänä,,,ˈmadɾe
two,ˈdʋɑ,ˈkɑks,,ˈkɑhsi,*gȵis,iˈkɪ̞,ˈkːɑtːsː,da.laˈwa,,ɾeɳɖu,bīr,ˈdva.ja,pa:nɖa,,d̪eː,eɖu,iɾuɖu,dui,ʒiri,dva,,eɾaɖə,,toː,daɳɖə,ɾendə,sɔːŋ˩˧,ɾenɖə,dva,,i:rəb,ˈdu.o,ˈdos,,tuːɭ,əddu,doj,sɔːŋ˩˩˦,ˈkɑksi,iɾat,,tvoː,iˈkːi,haːj˧˧,ˈkɑks,dva,e:ɖə,,tsvɛj,rinɖa,,tuː,iki,dø,ɾeɳɖ,jeɾaɖu,ˈðiˌo̞,dwa,tʋeː,ˈkɛtːøː,,ˈdojʃ,ˈdu.e,duː,iɾandə,ɾaɖɖu,,ɔri,xɔjər,,,ˈdʋáː,,ˈku̯okːte,ˈkɑksi,ir(ḍu),,,,daɨ̯,t͡sweː,d̪ˠoː,,dy,jɛɾˈku,dva,jɔri,n̥ɪʔ,ˈkɑkʃ,t͡svaɪ̯,duə,ɲ̟i,,,ŋei˧,ɾeɳɖu,(ʔi)θnaːn,tʰveiːr,iki,tvɪə̯,ʒur,duɖə,,dos
