word,krl,sk,yi,lo,et,kru,ba,kff,lt,tg,pci,liv,bg,vep,el,ja,tr,za,nl,ta,cy,xub,lv,te,as,fy,hy,be,se,xmf,uk,oc,pl,sva,tcy,kxv,tl,tcx,fi,gd,en,id,la,hu,mk,zu,fr,sl,brh,lb,vot,he,kfe,sv,vro,pt,de,kfa,hi,ar,mn,kn,gl,br,kfb,th,af,my,bn,ml,ru,km,mt,ms,ku,fo,ca,yea,lzz,bfq,is,mjt,ug,ko,fa,ny,es,gv,ps,nn,cs,az,sa,ur,da,it,bo,gon,vi,ga,ro,ka,sq,gdb
know,ˈtietyæ,ˈvɛɟi̯ɛc,vɪsn̩,huː˥˧,ˈteɑdmɑ,akʰna,,teluse:,ʒɪˈnoː.tʲɪ,dɔːnistæn,pun,ˈt̪iːe̞d̪ɨ,,ˈtetɑ,ˈksɛ.ɾɔ,,bilˈmɛ́c,ɣo˦˨,ˈʋeːtə(n),aṟi,ˈmɛdrɨ̞,gott(ə) uɳɖi,zinâːt,eṟāgu,,,ɡitɛˈnɑl,ˈvʲedat͡sʲ,,rtʃkʰinä,ˈznɑte,,ˈvʲɛ.d͡ʑɛt͡ɕ,mäχäl,teɾijaɾa,,,aɾspini,ˈtietæː,,nəʊ,ta.hu,ˈski.oː,ˈtud,,,savwaʁ,,tʃa:ing,,ˈtæːtæː,ˈjeda,asu:bej,veːta,ˈtːiːtmæ,sɐ.ˈbeɾ,ˈvɪsn̩,aɾi,ˈd͡ʒɑːn̪.n̪ɑː,ʕa.li.ma,mitəx,ari,,,uɾtanɖa:t,ruː˦˥,vɪət,θḭʃḭ,,aɾajuga,znatʲ,cer,,tahu,ˈzɑːniːn,,səˈbə,aɾiʋo,ɔtʃkʰinu,aɾaʋə,ˈvɪːta,ha:hpo,,ˈa̠ːɭda̠,d̪ɒːnesˈt̪ʰæn,,saˈbeɾ,,poˈheˈdəl,,ˈvjɛɟɛt,bilˈmæk,,dʒanːa,,saˈpeː.re,*ɕes,jeɾpaʈ,ʔɓiət̚˧˦,,ʃti,tsɔdnä,di,sun
swell,ˈpɑisuo,,,,ˈpɑisumɑ,,,,,,,ˈpɑist̪ɨ,,ˈpuhlotɑ,ˈpɾizome,,,,ˈzʋɛlə(n),,,,,,pʰu.la,,uˈrɛl,,,mbäruä,,,ˈpux.nɔɲt͡ɕ,liʃiɛ,,,,,ˈpɑisuɑ,,swɛl,,in.tuˈmeːs.koː,ˈdɒɡɒd,,,ɡɔ̃.fle,,,,ˈpɑisːuɑ,,,,ˈpːɑisːtːumɑ,ĩ.ˈʃa(ɹ),ˈʃvɛlən,,,,,,,,,bua̯m˧,,,,,rəzdʊˈvat͡sːə,,,,,ˈpœlna,imˈflaɾ.sə,,ɔbäru,,,,,pupʰuɭda̠,,,,,,,,,,,,,,,sɨŋ˧˧,,,ʃɛʃupʼɛbä,,
fingernail,ˈkynsi,ˈɲɛxt,,,ˈkiːs,,tɯ̞rˈnɑq,,,nɔːxun,,ˈkiːɲt̪ʃ,ˈnɔkət,ˈkynzʲ,ˈniçi,t͡sɨᵝme̞,,,,,,,,,,,jɛˈʁunɡ,paˈznoɣat͡sʲ,,birtsχä,,,pazˈnɔ.kʲɛt͡ɕ,tsχä,,,,,ˈkynsi,,ˈfɪŋɡɚˌneɪl,,ˈun.ɡʷis,ˈkørøm,nɔkt,úːziːpʰo,ɔ̃ɡl,ˈnóːxt,,ˈfaŋeʀˌnoːl,ˈtʃynsi,,,,ˈkːɨːtsː,ˈu.ɲɐ,ˈfɪŋɐnaːɡl̩,,,ðˁufr,xʊms,,,,,lep̚˦˥.mɯː˧,,lɛʔθɛ́,nɔːkʰ,,ˈnoɡətʲ,,,kuku,,,ˈuŋ.ɡlə,,butsχä,,nœkl,,,sʰo̞ntʰo̞p̚,nɒːxon,kʰáˈɗa.ɓo,ˈu.ɲa,,,,,dɯrˈnɑχ,n̪ɐ.kʰɐ́,,najl,ˈun.ɡja,,,mawŋ͡m˧˦,,,pʰrtʃχili,,
sharp,ˈterævæ,,,,ˈterɑʋ,,ʏtˈkɪ̞r,,ɐʃt̪ˈrʊs̪,,,ˈvɑimi,osˈtɤr,ˈterɑv,kofteˈros,,,,sxɛrp,,,,as,,,,suɾ,ˈvostrɨ,,kʼväntʰiri,,,ˈɔ.strɨ,bæsr,,,,,ˈteræʋæ,,ʃɑːp,,ˈaː.ker,ˈeːlɛʃ,,,a.fi.le,ˈòːstər,,,ˈterævæ,,,,ˈtːerːæv,a.fi.ˈa.du,ʃarf,,,ħaːdd,,,,,,kʰom˧,,t͡ɕʰʊ̀ɴ,,,ˈostrɨj,mut,,,,ˈkvasːʊr,əz.moˈlat,,mtʃʼkʼirulä,,xʷasː,,,,teːz,,aˈɡudo,,,,ˈostriː,,,,,affiˈlato,,,sak̚˧˦,ɟeːɾˠ,as.kuˈt͡sit,bäsri,,
snake,ˈkiærmis,ˈɦat,ʃlaŋ(ɡ),ŋuː˦˥,ˈmɑdu,,jɯ̞.ˈɫɑn,,ɡʲiːˈʋaːtʲeː,mɔːr,,ˈuːʃkɑ,zmiˈja,ˈgɑd,ˈfiði,pemi,jɯ.ˈɫɑn,ŋɯ˧˩,slɑŋ,,nei̯dr,,tʃūska,,xap,,ɔt͡sʰ,zʲmʲaˈja,ˈkea̯rpmaʃ,gvɛri,,,vɔŋʂ,hwidʒ,,,,,ˈkæːrme,,ˈsneɪk,,ˈan.ɡʷis,ˈkiːɟoː,,íɲôːɠa,sɛʁ.pɑ̃,ˈkàːtʃa,,ʃlaːŋ,ˈmɑto,naˈχaʃ,,ˈʊrm,ˈhusː,ˈkɔ.bɾa,ˈʃlaŋə,,sɑ̃ːp,θuʕ.baːn,mɔɢɔi,,ˈsɛɾpe̝,ˈnaɛr,,ŋuː˧,slɑŋ,mwè,ʃɑp,,zmʲɪˈja,bs´,,ula(r),,,ˈseɾp,,tsʼitsʼilä,,ˈstnauːkʏr,,jilɑn,pe̞ːm,mɒːɾ,ˈⁿd͡ʒó.ka,serˈpjente,,,,ɦat,,s̪ɐɽ.pɐ́,sãp,,serˈpɛn.te,*zbrul,,zan˧˦,ˈn̪ˠæhəɾʲ,ˈʃarpe,gvɛli,ˈɟ͡ʝaɾpəɹ,
bird,ˈlintu,ˈftaːk,fɔjɡl,nok˦,ˈlind,oɖa,qʊ̞ʂ,piʈʈe:ku,ˈpɒʊk.ʃtʲɪs,paɾːanˈda,tūk,ˈlind̪,ˈptitsə,ˈlind,puˈli,⟨to2ri⟩,,ɣok˧,ˈvoːɣəl,paɾaʋai,aˈdɛrɨ̞n,pikki,,pakʂi,sɔɹaɪ,,tʰərˈtʃʰun,,ˈlodːdiː,kʼvintʃä,ˈptɑx,awˈsɛl,ptak,næpʼr,pakki,minu,,paɾaʋai,ˈlintu,ian,bɜːd,,ˈa.wis,ˈmɒdaːr,ˈpti.t͡sa,íɲoːni,wa.zo,ˈptítʃ,tʃok,ˈfuʁəl,ˈlintu,t͡siˈpoʁ,pakkigaɭ,foːɡəl,ˈtːsːirkː,ˈpa.sa.ɾu,ˈfoːɡəl,pakʂi,t͡ʃɪ.ɽiː.jɑː,tˁaːʔir,ʃʊwʊ,hakki,,,piʈʈa,nok̚˦˥,,ŋ̊ɛʔ,,pakʂi,ˈptʲit͡sə,pk̥sī,asˈfuːr,buroŋ,,,ˈaw,paktʃi,kʼintʃi,,fʏkl,pudʒudu,quʃ,sʰe̞ː,pʰæɾænˈde,ᵐbáˈɽa.me,ˈpaxaɾo,ˈoʒaɡ,marˈɣa,fʉɡl,ptaːk,ɡuʃ,ʋí,,fuːl,uˈt͡ːʃɛlːo,*bʲa,piʈʈə,t͡ɕim˧˧,eːnˠ,,tʃitʼi,zɔɡ,titə
say,ˈsɑnuo,ˈɦɔvɔric,ˈzɔ.ɡŋ̩,waw˥˦,ˈytlemɑ,bakʰna,,kella,sɐˈkʲiːtʲɪ,ɡuftæn,en,ˈkiːt̪ɨ,ˈkazvəm,ˈsɑnudɑ,,ipu,søjlɛmɛc,kaːŋ˥,ˈzɛɣə(n),tʃollə,,pə:ɭ,satsîːt,tʃeppu,,,ɑˈsɛl,ɣavaˈrɨt͡sʲ,,tʰkʰuälä,,,ˈmu.vʲit͡ɕ,likʰwisg,paɳaɾa,,,a:ʋaɖə,ˈsɑnoɑ,ˈapɪɾʲ,seɪ,,ˈdiː.koː,ˈmond,,,diʁ,ˈrɛtʃi,pa:ning,,ˈʝutɤlːɑː,,paidu,ˈsɛjːa,ˈytːlemæ,di.ˈzeɾ,zaːɡən,annə,kɛːʱ.nɑː,qaː.la,xiɮəx,heɭu,diˈθiɾ,,bʰu:mi,klaːw˨˩,sɛː,sʰò,ˈbɔla,paɾajuga,ɡəvɐˈrʲitʲ,tʰā,,,,siːja,ˈdi,paɾe,ɔtʰkʰu,egəʋə,ˈseiːja,hauɖpo,,ˈma̠ːɾɦa̠da̠,ɡofˈt̪ʰæn,,deˈθiɾ,,,²sæɪɑ,r̝iːt͡st,,ʋɐ́.d̪ɐ.t̪i,kɛɦna,,ˈdi.re,,in,nɔj˧˦,ˈabˠəɾʲ,ˈzitʃe,tʰkʰmä,θɛm,tukud
salt,ˈsuolɑ,ˈsɔʎ,,kɯa˩˨,ˈsoːl,,tʊ̞ð,,,næmæk,,ˈsuːolɨ,,ˈsol,aˈlati,ɕio̞,ˈtuz,kʲu˨˦,zɑu̯t,,ˈhalɛn,,sàːls,,lʊn,,ɑʁ,,ˈsaːlːtiː,dʒimu,ˈsʲilʲ,,sul,dʒim,,,,,ˈsuolɑ,,sɔːlt,,,ˈʃoː,,íːtswaːjí,sɛl,ˈsóːw,,zɑlt͡s,ˈsoːlɑ,,,salt,ˈsːuːl,ˈsaɫ,zal(t)s,,,milħ,taws,,s̺al,,,klɯa̯˧,,sʰá,,,solʲ,ʾṃpil,,,,sal̥t,ˈsal,,dʒumu,,sal̥t,,,sʰo̞ɡɯm,næmæk,mˈt͡ʃé.ɽe,sal,ˈsolan,ˈmɑlɡa,,suːl,,l̪ɐ.ʋɐ.ɳɐ́,,salt,ˈsale,*t͡sʰʷa,,muəj˧˦,ˈsalˠən̪ˠ,ˈsa.re,märili,ˈkɹi.pə,
cut,ˈleikɑtɑ,ˈrɛzac,,,ˈlɤikɑmɑ,,,,,,,ˈiːe̞d̪ɨ,,ˈtʃɑptɑ,,kʲiɾɯ̟ᵝ,cesmec,,ˈsnɛi̯də(n),,ˈtɔrɪ,,ɡrīɛ̄st,,kɔ.ta,,kətˈɾɛl,,,tʃʼkʼiruä,,,t͡ɕɔɲt͡ɕ,likʰtʃɛ,,,,,ˈleikɑtɑ,kʲaːrˠ,kʌt,,ˈin.se.koː,ˈvaːɡ,,,ku.pe,rézati,,,ˈlɤikɑtɑ,,,ˈɧæːˌra,ˈlɤikːɑmɑ,kuɾˈtaɾ,,,kɑːʈ.nɑː,,,,,,,tat̚˨˩,,kaɪʔ,kɑʈɑ,,ˈrʲezətʲ,kāt´,,,,,təˈʎa,,ɔtʃʼkʼiru,,ˈscɛːra,,,k͈ɯntʰa̠,boɾiːˈdæn,,,,,,ˈr̝ɛzat,kæsˈmæk,,,skɛːrə,taʎˈʎare,,,kat̚˧˦,ɟaːɾˠ,,tʃʼrä,,
see,ˈnæhæ,ˈviɟi̯ɛc,,hen˩˧,ˈnægemɑ,je:ɾna,,u:ɖa,mɐˈtʲîːtʲɪ,diˈdan,tūk,ˈnæːd̪ɨ,ˈviʒdəm,ˈnæhtɑ,ˈvlepo,mʲiɾɯ̟ᵝ,ɟœɾmɛc,,zin,kāṇ,ɡwɛld,no:ɖ,ɾɛdzɛ̂ːt,tʃu:ɖu,dɛkʰa,,tɛsˈnɛl,ˈbat͡ʂɨt͡sʲ,ˈoɑ̯jːtniːh(t),rtsʼqʼɛbä,ˈbɑt͡ʃete,,ˈvʲi.d͡ʑɛt͡ɕ,lisgdi,tuʋa:ɾa,,kiˈta,nu:ʈ,ˈnæhdæ,,siː,,ˈwi.de.oː,ˈlaːt,ˈɡlɛda,ɓoːná,vwaʁ,ˈʋiːdɛti,unning,ɡeˈzin,ˈnæhæ,,no:ʈə,seː,ˈnækemæ,veɾ,ˈzeː.ən,no:ʈə,d̪eːkʰ.nɑː,ra.ʔaː,ut͡səx,no:ɖu,,,ta:na,hen˩˩˦,,twḛ,ˈd̪ækʰa,ka:ɳuka,ˈvʲidʲɪtʲ,gʰoeñ,,lihat,ˈdiːtɯn,ˈsʊt͡ʃːa,ˈvəw.ɾə,no:ku,ɔtsʼkʼɔmilu,no:ɖə,ˈsjauː,ʈunɖpo,,po̞da̠,d̪iːˈd̪æn,,ˈbeɾ,,,ʃoː,ˈvɪɟɛt,ɡœrˈmæk,pɐ́ɕ.jɐ.t̪i,d̪ekʰnaː,seː,veˈde.re,*mtʰoŋ,huɖa,ɲin˨˩ tʰəj˧˦,fʲɛc,veˈde̯a,χɛdvä,,tʃu
hair,ˈhivus,,hɔʁ,,ˈkɑrʋ,tʃuʈʈi,sæs,dʒuʈʈul,,,tūk,ˈkoːrɑ,koˈsa,ˈibus,,,sat͡ʃ,,ɦaːr,muɖi,ɡwaːɬd,ta:kəɾə,mats,veɳʈɾukalu,suli,,,ˈvoɫas,,tʰumä,wɔˈlɔsʲːɐ,,ˈvwɔ.sɨ,pʰätʰw,ku:dʒal,bana,bu.ˈhok,mi:ɾs,ˈkɑrʋɑ,,hɛə,,ˈko.ma,ˈhɒj,ˈkɔsa,ûːnwéːle,ʃə.vø,ˈláːs,puʒʒɛ,hoː(e)ʀ,ˈivuz,sa.ʔaˈʁa,manɖə mi:ɾə,hoːr,ˈkːɑrv,kɐ.ˈβe.lu,haːɐ̯,telami,bɑːl,ʃa.ʕa.ra,,kūdalu,kaˈβ̞elʊ,,ti:ɾu,pʰom˩˩˦,,zəbɪ̀ɴ,tʃul,muɖi,ˈvoləsɨ,sk´,ʃaˁːr,rambot,,hɔaːɹ,kəˈbəʎ,tilami,tʰɔmä,oɾame,hauːr,ta:li,,mʌ̹ɾikʰa̠ɭ,mo,,kaˈbeʎo,,,hoːr,ˈvlasɪ,sɑt͡ʃ,kɐ́j.ɕɐ,bɒːl,,,,kel,tawk͡p̚˧˦,ɡɾˠuəɟ,,tʰmä,ˈcimɛ,tʃendi
if,ˈgu,ak,,,ˈkui,,æˈɡær,,jæj,,,ˈɑʒ,,ˈku,,mo̞ɕi,,,ɑ(l)s,,ɔs,,,,,ɔs,jɛˈtʰɛ,,ˈjos,vär,,,ˈjɛɕ.lʲi,läχ,,,,,ˈjos,,ɪf,,siː,ˈhɒ,ˈakɔ,,si,tʃɛ,,,ˈkui,,,ɔm,ˈkːu,sɨ,vɛn,,ə.ɡəɾ,ʔin,,,,,,tʰaː˥˩,,ka̰/,,,ˈjes⁽ʲ⁾lʲɪ,poe,ˈjɛkː,ka.lau̯,,,ˈsi,,vänä,,ɛːv,,,,ˈæɡʲæɾ,,si,,,,ˈjɛstlɪʒɛ,ˈæɡʲæɾ,,,ves,se,*na,,new˧˦,mˠɑː,ˈda.kə,tʰu,,
blood,ˈveri,ˈkr̩w,blʊt,,ˈʋeri,kʰe:ns,qɑn,nettuɾ,krɒ͜úˑjæs,xun,netir,ˈve̞r,krɤf,ˈtʃɑk,ˈema,,ˈkɑn,lɯːt˧,blut,ɾattam,ˈɡwaːi̯d,nəttəɾə,asinis,ɾaktamu,,bluə̯t,ɑɾˈjun,,ˈvarra,zisχiri,ˈkrɔu̯,,krɛf,zisχ,nettarə,nettir,,po:kʰə,ˈʋeri,,blʌd,,ˈsan.ɡʷis,ˈveːr,kr̩f,íːɡaːzí,sɑ̃,ˈkríː,ditaɾ,blut,ˈveri,,ne:tuɾu,,ˈveri,ˈsɐ̃.ɡɨ,bluːt,tʃo:ɾə,kʰuːn,,t͡sʰʊs,ɾakta,,ˈɡwaːt,nettuɾ,lɯa̯t̚˥˩,blut,θwé,,ɾektam,krofʲ,jʰām,dɛmː,darah,,plɔuːw,ˈsaŋk,tʃo:ɾe,ditsχiri,rattə,plouːð,ɾasadu,,pʰi,xuːn,maˈɡa.zi,ˈsanɡɾe,folʲ,,bluː,krɛv,ɡɑn,ɐ́.s̪r̩d͡ʑ,,bloːd,ˈsan.ɡwe,*kʰrak,nettuɾ,maw˧˦,fˠɪlʲ,ˈsɨn.d͡ʒe,sisχli,ɟ͡ʝak,nettiɾ
eat,ˈsyːvːæ,,,kin˩˧ kʰau˨˩,ˈsøːmɑ,mokʰna,,tinnu,,,tin,ˈsiːe̞d̪ɨ,,ˈsødɑ,ˈtro̞o̞,,,,,sa:pədə,,tinn,,tinu,,,uˈtɛl,,,tʃʼkʼɔmuä,,,,lizwɛb,uɳa:ɾa,tinu,,toɾtin,ˈsyødæ,,iːt,,,,ˈjadɛ,ɮá,mɑ̃.ʒe,,kuning,ˈie̯sen,ˈsyvːæ,,tin atej,ˈɛːˌta,ˈsːɨːmæ,ko.ˈme(ʁ),ˈʔɛsn̩,tinə,,,,tinnu,,,a:ntisatun,kin˧.kʰaːw˥˩,,,,tinnuga,jesʲtʲ,,,,ˈxwɑːɾɯn,,məɲˈʒa,tinno:,ɔtʃʼkʼɔmu,timbə,,dʒa:go:lpah,,ɕʰiks͈a̠ɦa̠da̠,,,koˈmeɾ,,,,jiːst,jeˈmæk,,,spiːsə,manˈdʒa.re,,dʒeʋi,ʔan˧˧ kəːm˧˧,ɪ,luˈa,tʃʼämä,,tin
vomit,ˈoksenduɑ,,,,ˈoksendɑmɑ,,,,,,,ˈoksnɨ,,ˈoksetɑ,,,,,,,,,,,bɔ.mi kɔ.ɹa,,,,,rtsʼqʼiälä,,,vɨ.mʲɔˈtɔ.vat͡ɕ,litʼχunɛ,,,,,ˈoksentɑː,,ˈvɒmɪt,,ˈwo.moː,ˈhaːɲ,ˈpɔvraca,,vɔ.miʁ,,,ˈkɑtsən,ˈɤhsɤnɤɑ,,,,ˈosːsːɤntɑmɑ,vu.mi.ˈtaɾ,ˌyːbɐˈɡeːbən,,,ta.qaj.ja.ʔa,,,,,,ʔaː˧.t͡ɕia̯n˧,,ʔàɴ,,,blʲɪˈvatʲ,k̥ʾuat,,muntah,,,vo.miˈta,,ɔntʰχɔru,,ˈaiːla,,,ke̞uda̠,,,,,,,,ɡusˈmɑχ,,,,vomiˈtare,,,non˧˧,ˈaʃɪɟ,,rtsʼqʼɛvä,,
breast,ˈrintɑ,ˈpr̩sɲiːk,,tuː˥˦,ˈrind,jeʋakʰ,im.ˈsæk,eddam,,,edram,ˈriːnd̪ɑ,ɡərˈda,ˈrind,ˈstiθos,mɯ̟ᵝna̠,,,bɔrst,ma:ɾbə,brɔn,kujndigi,,gunde,,,kuɾt͡skʰ,,ˈt͡ʃidːd͡ʒiː,kʼidiri,,,pʲɛrɕ,mutʃʼwɛd,tigala,sipadaki,,nidʒikuɖi,ˈrintɑ,kʰʲiəx,bɹɛst,,ˈmam.ma,ˈmɛlː,ˈɡrada,îːɓéːle,sɛ̃,,xad,,ˈrintɑ,ʃad,me:l,,ˈrɤnt,ˈsɐj.u,bʁʊst,mele,,,,ede,,,sa:tti,taː˥˩.nom˧,bɔ(ː)rs,no̰,,māṟu,ɡrutʲ,ṭoḥ,,,,brœst,ˈpit,mele,gjɔnkʰsi,ma:ɾə,prjoust,daibuku,,juba̠ŋ,pʰesˈt̪ʰɒːn,ˈɓé.ɽe,ˈpet͡ʃo,,,,pr̩s,,,pɪst̪an,brøst,ˈse.no,,dudo,vu˧˦,,pjept,mkʼɛrdi,,palgil
swim,ˈuijɑ,ˈpɫaːvac,,,ˈujumɑ,o:gna,,i:ta,ˈpɫɒʊ̯ˑkʲtʲɪ,,tūk,ˈvʊigɨ,,ˈujudɑ,,ɡ,,,ˈzʋɛ.mə(n),neentə,ˈnɔvjɔ,ni:nɖʒu,pɛ̄ldɛ̂ːt,i:du,,ˈsvɪm.mə,lɔˈʁɑl,,ˈvuo̯ɟɟah(t),ntʃuruä,,,ˈpwɨ.vat͡ɕ,likʰni,mi:ndaɾa,,,ni:tʃal,ˈuidɑ,,swɪm,,ˈna.toː,ˈuːsik,,,na.ʒe,ˈplaːʋati,beʂoling,ˈʃwɑmən,ˈuʝuɑ,,ni:tʃal,,ˈoitmɑ,nɐˈðaɾ,ˈʃvɪmən,mi:ɾodu,,,seɮəx,i:dʒo,,,po:nim,waːj˥˩.naːm˦˥,,jèkú,,neentuga,ˈplavətʲ,hael,,,,,nəˈda,maɳa,ɔntʃviru,ni:ndə,ˈsɪnta,ho:gpo,,sʰujʌ̹ŋɦa̠da̠,,,naˈdaɾ,,lɑmbəl,²sʏmjɑ,ˈplavat,,,,svœmə,nwoˈtare,,pohem,ʔɓəːj˧˧,sˠn̪ˠɑːvˠ,,tsurvä,nɔˈtɔj,tukud
right,ˈoikie,,,,ˈpɑrem,,χʊ̞.ˈquq,,,,,ˈjɨvɑː,,ˈoiged,ðiˈceoma,,hɑk,keːn˧˩ li˧˥,rɛxt,,hau̯l,,,,,,iɾɑˈvuŋkʰ,ˈprava,,märdzgväni,,,ˈpra.vɔ,lɛrsgwɛn,,,ka.ɾa.pa.ˈtan,,ˈoikeɑ,,ˈɹaɪt,haʔ,,ˈjoɡ,,,dʁwɑ,praˈʋìːtsa,,,ˈɤikɤɑ,,,,ˈhyæ,d͡ʒiˈɾejtu,ʁɛçt,,ə.d̪ʱɪ.kɑːɾ,ħaq.qa,irx,,,,,sit̚˨˩.tʰiʔ˦˥,,ʔəkʰwɪ̰ɴ,,,ˈpravə,,,,,,ˈdɾət,,mädzgväni,,ˈrjɛhtɪntɪ,,,kwʌ̹ɭʎi,,,deˈɾet͡ʃo,,,rɛtː,ˈpraːvo,hyˈɡuɡ,,,rɛt,,,,kwiən˨˩ ləːj˧˨ʔ,,drept,märdʒvɛnä,,
there,ˈsielæ,ˈtam,,nan˥˦,ˈseɑl,,unˈdɑ,,,,,ˈsæːl,,ˈsigæ,e̞ˈci,,,,daːr,,ˈəna,,tùɾ,,tat,,ɑjnˈtɛʁ,,ˈtoppe,tʰɛkʰ,ˈtɑm,,tam,ɛtʃɛtʃu,,,,,ˈtuolːɑ,,ðɛə(ɹ),,ˈi.bi,ˈotː,ˈtamu,,la,ˈtám,,do,ˈsiːnæ,,,dɛːr,ˈsːæːl,ɐ.ˈi,dɔrt,,,hu.naː.ka,,,,,,tʰiː˥˩.nan˥˩,dɑːr,hòm̥à,,,tam,,ɛːmː,,,,əˈʎa,,ɛkʰ,,ˈθartna,,,kʌ̹ɡi,ɒːnˈdʒɒː,,aˈʎi,,ˈhalta,,tam,,,,dar,,,,,ənʲˈʃɪnʲ,aˈko.lo,ikʰ,,
ear,ˈkorvɑ,ˈu.xɔ,ˈɔɪ.əʁ,,ˈkɤrʋ,kʰebda,qʊ̞ˈɫɑq,keʋ,ɐʊˈsʲɪs,ɡɵʃ,kekol,ˈkuːorɑ,uˈxɔ,ˈkorv,aˈfti,mʲimʲi,ku.ˈɫɑk,ɣɯ˧˩,oːr,ka:də,klɨːst,kiʋija,àws,tʃeʋi,kan,,ɑˈkɑnd͡ʒ,ˈvuxa,ˈpea̯ʎːʎiː,ʔudʒi,ˈwuxɔ,awˈɾeʎo,ˈu.xɔ,ʃdim,kebi,kiɾiju,,kili,ˈkorʋɑ,,ɪə̯,,ˈau̯.ris,ˈfyl,ˈuvɔ,ínɮeːɓé,ɔ.ʁɛj,uˈxóː,xaf,ˈəʊ̯ɐ,ˈkɤrvɑ,,keʋə,øːra,ˈkːɤrv,o(w).ˈvi.ðu,oːr,kemi,kɑːn,ʔu.ðun,t͡ɕʰix,kiʋi,,skwaʁn,keʋ,huː˩˩˦,ʊər,ná,,tʃeʋi,ˈuxə,t̥rciak,ˈwɪdnɐ,təliŋə,,ˈɔira,oˈɾə.ʎə,kemi,qʼudʒi,kiʋi,ˈeira,daɾti:,,kɥi,ɡoːʃ,ˈkʰu.tú,oˈido,kleːʃ,ɣwaɡ,,ˈuxo,,,,øːrə,ɔˈrekkjo,*rna.ba,keʋu,taːj˧˧,klˠuəsˠ,uˈre.ke,qʼuri,,kekal
good,ˈhyvæ,ˈdɔbriː,ɡʊt,,ˈheɑ,da:ʋ,jɑqˈʂɯ̞,mantʃid,ˈɡʲæɾɐs,,tūk,ˈjɨvɑː,doˈbɤr,ˈhyvæ,kaˈlos,joɕi,,ɗei˨˦,ɣut,nalla,daː,nall,,mantʃi,bʱal,,lɑv,ˈdobrɨ,,dʒgiri,ˈdɔbrɪj,,ˈdɔ.brɨ,χɔtʃä,eɖɖedana,nejun,maˈbu.ti,ulti,ˈhyʋæ,maː,ɡʊd,,ˈbo.nus,ˈjoː,,,bɔ̃,ˈdòːbər,dʒua:n,,ˈyvæ,,oludə,ɡuːd,ˈhæː,bõ,ɡuːt,nalla,ət͡ʃ.t͡ʃʰɑː,,sɛ̃ːŋ,oɭɭijadu,ˈbo,,sobhatan,diː˧,χut,káʊɴ,bʱɑlo,nalla,xɐˈroʂɨj,l̥ʾ,ˈtɐjːɛp,baeʔ,,ˈkɔuːwʊɹ,ˈbɔ,nallə,kʼäi,oɭɭajadə,ˈkouːðʏr,he:ɖu,jɑχʃi,ˈt͡ɕo̞ːtʰa̠,xuːb,,ˈbweno,,xə,,ˈdobriː,jɑχˈʃɯ,s̪ɑː.d̪ʱú,əˈtːʃʰaː,ɡoð,ˈbwɔː.no,,assal,tot̚˧˦,mˠa,bun,kʼärgi,majɾ,tukud
play,ˈkiʒɑtɑ,ˈɦrac,,,ˈmængimɑ,,,,ˈʒɐjsʲtʲɪ,,,ˈmængɨ,iˈɡrajə,ˈvætæ,,a̠so̞bɯ̟ᵝ,,,ˈspeːlə(n),,ˈχwaraɨ̯,,,,,,χɑˈʁɑl,,,mɛgämä,ˈɦrɑte,,ɡrat͡ɕ,liʃmɛ,,,maɡ.la.ˈɾoʔ,,ˈleikːiæ,,pleɪ,,ˈluː.doː,ˈjaːt͡sːik,,,ʒwe,iˈɡraːti,,,ˈmæntʃiæ,,,,ˈmænkmæ,ʒu.ˈɣaɾ,ˈʃpiːlən,,kʰeːl.nɑː,,,,,,,len˥˩,,sʰɔ̰,,,ɪˈɡratʲ,leṅ,,,,,ʒuˈɡa,,gɛlätʃämu,,ˈleiːka,,,ˈno̞ːɭda̠,,,xuˈɡaɾ,,ˈlobe kawəl,,ɦraːt,ojnɑˈmɑχ,,kʰeln̪aː,lajə,d͡ʒoˈkä.re,,,t͡ɕəːj˧˧,ˈɪmʲəɾʲ,,däkʼvrä,,
