word,bg,gon,ml,et,yea,vi,zu,ur,sl,en,gl,sq,kxv,he,gv,fa,kru,ko,my,ny,fi,ca,ta,tg,fy,az,krl,za,lzz,kfa,fr,is,vot,lb,kfe,as,nl,pl,ug,uk,cs,oc,nn,ru,la,th,mn,sv,mk,bfq,ba,mt,tr,pci,hy,pt,vep,br,xmf,hu,sk,ka,tl,ar,ps,bo,lo,kn,lv,cy,da,mjt,gdb,xub,brh,es,lt,hi,ku,af,ms,gd,tcy,id,kff,liv,tcx,de,ja,se,it,sa,km,fo,vro,be,ga,yi,ro,el,sva,kfb,bn,te
name,ˈimɛ,poɾol,peɾə,ˈnimi,pe:ɾu,ten˧˧,îːɡâːma,,iˈméː,neɪm,,ɛməɾ,doru,,,nɒːm,na:me,iɾɯm,ʔəmjì/,ˈd͡zí.na,ˈnimi,ˈnɔm,pe:ɾə,nɔːm,,ɑd,ˈnimi,,dʒɔχɔ,peda,nɔ̃,napn,ˈnimi,num,pe:ɾ,,naːm,ˈi.mʲɛ,ɑt,iˈmjɑ,ˈjmɛːno,,,ˈimʲə,,t͡ɕʰɯː˥˩,nir,namn,,esaɾə,iˈsɪ̞m,ˈiːsɛm,ɑt̪,pidir,ɑˈnun,ˈno.mɨ,ˈnimi,,säχɛli,ˈneːv,ˈmɛnɔ,säχɛli,,ism,,*miŋ,sɯː˦˦,hesaru,vàːɾds,ˈɛnʊ,,na:mi,tukud,pja:ɾə,pin,ˈnom.bɾe,ˈvɐrːdɐs,naːm,ˈnɑːv,,namə,,pudaɾə,,pedeɾ,ˈnim,pe:ɾ,ˈnaːmə,na̠ma̠e̞,ˈnamma,ˈno.me,n̪ɑ́ː.mɐn̪,j̥ʰmoḥ,naun,ˈnimi,jiˈmʲa,ˈanʲəmʲ,nɔmɛn,ˈnu.me,ˈo̞no̞ˌma,ʒäχɛ,pe:ɾ,nam,pe:ɾu
who,kɔj,boɾ,a:ɾə,ˈkes,ja:ɾu,ʔaːj˧˧,úɓaːní,,ˈɡdòː,hw,,kuʃ,daat,,,kʰej,ne,nuɡu,bəθù,ˈⁿda.ní,ˈkukɑ,ˈki,jaarə,,,kim,ˈken,,min,da:ɾə,ki,xʷɛːr,ˈtʃen,,da:ɾə,,ʋi,ktɔ,,ˈxtɔ,ɡdo,,,kto,kʷis,kʰraj˧,,,kɔj,ta:ɾa,kɪ̞m,,cim,ed,ɔv,kẽ(j̃),ˈken,piv,mi,ˈki,kto̞,vin,,mann,,*su,,ja:ɾu,,puːɨ̯,vɛm,ne:du,tukud,da:ɾə,de:ɾ,ˈkjen,,kɔːn,,,siapə,koː,je:ɾu,,be:nonɖu,ˈkis,oɾi,veːɐ̯,tare,,k̟i,kɐ,ʾ̥nkṇā,kvøːr,ˈkːiæ,xto,ceː,,,,jær,bʰu:mi,,evaru
bone,kɔst,bokka,ellə,ˈluː,mu:ɭe,sɨəŋ˧˧,îːtʰâːmbo,,ˈkóːst,boʊn,ˈɔso̝,,,ˈʕɛsˀɛm,kreːw,ostoxɒn,kʰotʃol,,ʔəjó,ˈfú.pa,ˈluː,ˈɔs,elumbə,ustuxɔːn,,syˈmyk,ˈluː,,qʼvili,mu:ɭe,ɔs,ˈpeiːn,ˈluː,ʃɑŋk,jeluʋə,,beːn,kɔɕt͡ɕ,,,kost,ˈɔs,bæɪn,kosʲtʲ,oːs,kra˨˩.duːk̚˨˩,,ˈbeːn,,ilə,hʏ̞.ˈjæk,ˈaˁːdmɐ,ceˈmic,būla,vɔsˈkɔɾ,ˈo.su,ˈlu,ˈas.kɔrn,dzväli,ˈt͡ʃont,ˈkɔsc,dzväli,,ʕaðˁm,,,,jelubu,,,knɔɡlə,o:tʃuldi:,tukud,jaləʋə,aɖɖə,ˈweso,ˈkä̂ˑʊ̯ɫɐs̪,ɦəɖ.ɖiː,,,tulaŋ,,ellə,,bu:la:,ˈluː,elf,ˈknɔχn,pone,ˈtaːkːtiː,ˈɔsso,ɐ́s̪.t̪ʰi,c̥ʰʾẏṅ,bain,ˈluː,kosʲt͡sʲ,knɑːvʲ,,os,o̞ˈsto̞,dʒidʒw,bokka,,jemuka
die,oˈmiɾəm,ha:,maɾikkuga,ˈsuremɑ,tʃa:ɭa,t͡ɕet̚˧˦,fá,mərna,,daɪ,,vdɛs,,,,moɾˈd̪æn,kʰena,t͡ɕuk̚t͈a̠,θè,,ˈkuolːɑ,muˈɾi,tʃa:,murdæn,,œlˈmæk,ˈkuolːɑ,taːi˨˦,ʁurä,tʃ:ɭa,mu.ʁiʁ,ˈteiːja,ˈkoːlːɑ,,ta:ʋə,mɔɹ,ˈdoːtxaːn,uˈmʲɛ.rat͡ɕ,,,ˈumr̝iːt,,,ʊmʲɪˈratʲ,ˈmo.ri.or,taːj˧,,,,sa:ʋadə,,mɪːt,œlˈmɛc,cay,mɛrˈnɛl,mu.ˈʁeɾ,ˈkoldɑ,,ʁurä,ˈmɛkhɒl,ˈumri̯ɛc,sikʼvdili,,ˈmaːta,,,taːj˩˧,sa:ji,mīɾt,,dø,keəa:na:keəida:h,tukud,maɾdo:g,kahing,,ˈmʲɪrʲ.tʲɪ,məɾ.nɑː,,,mati,,sajjaɾa,,ɖollatam,ˈkuːolɨ,keɖuoisi,ˈʃtɛʁbən,ɕinɯ̟ᵝ,ˈjaːpmiːh(t),moˈrire,mɐ́.ɽɐ.t̪i,tāy,,ˈkːuːlmɑ,,,,muˈri,peˈθeno,dägrä,tigte:n,,tʃatʃtʃipo:ʋu
play,iˈɡrajə,,,ˈmængimɑ,,t͡ɕəːj˧˧,,kʰeln̪aː,iˈɡraːti,pleɪ,,,,,,,,ˈno̞ːɭda̠,sʰɔ̰,,ˈleikːiæ,ʒuˈɡa,,,,ojnɑˈmɑχ,ˈkiʒɑtɑ,,gɛlätʃämu,,ʒwe,ˈleiːka,ˈmæntʃiæ,,,,ˈspeːlə(n),ɡrat͡ɕ,,ˈɦrɑte,ɦraːt,,,ɪˈɡratʲ,ˈluː.doː,len˥˩,,,,,,,,,χɑˈʁɑl,ʒu.ˈɣaɾ,ˈvætæ,,mɛgämä,ˈjaːt͡sːik,ˈɦrac,däkʼvrä,maɡ.la.ˈɾoʔ,,ˈlobe kawəl,,,,,ˈχwaraɨ̯,lajə,,,,,xuˈɡaɾ,ˈʒɐjsʲtʲɪ,kʰeːl.nɑː,,,,,,,,ˈmængɨ,,ˈʃpiːlən,a̠so̞bɯ̟ᵝ,,d͡ʒoˈkä.re,,leṅ,,ˈmænkmæ,,ˈɪmʲəɾʲ,,,,liʃmɛ,,,
many,,dʒa:sta,pala,ˈpɑlju,tumba,ɲiaw³³,,,ʋɛˈlìːkɔ,ˈmɛni,,,,,,zɪˈjɒːd,bagge,ˈma̠ːnɯn,mjá,,ˈmontɑ,ˈmolt,palə,,,t͡ʃɔχ,ˈæijæ,,didɔ,dumba,bo.ku,ˈmarkʏr,ˈmitːomɑ,,i:dʒo:ɖ,,veːl,ˈvʲɛ.lɛ,,bɐˈɦɑtɔ,ˈmnoɦo,,,ˈmnoɡə,ˈmul.tiː,,,,ˈmnɔɡu,appaɾa,kʏp,,tʃɔk,tūk,ʃɑt,ˈmũj̃.tuʃ,ˈæi,,brɛli,ˈʃok,,bɛvri,,ka.θiːr,ɖer,,,halaʋu,dāūdz,,manɡə,di:kehi,tukud,kajɾijə,ba:z,ˈmut͡ʃos,dɐuɡ,bɔˈhɔt̪,ˈɡɛlɛk,bajə,baɲak,ˈiməɣ,ba:ɾi,baɲak,tʃa:la,ˈpæːgiɲ,uppu:m,ˈfiːlə,,,,bɐ.ɦú,c̥roen,ˈmɛŋkʊɹ,ˈpːɑlːʲo,,əˈl̪ˠɑːnˠ,aˈsax,mult͡sʲ,,mäsærd,peɾe,,nānā
see,ˈviʒdəm,huɖa,ka:ɳuka,ˈnægemɑ,no:ku,ɲin˨˩ tʰəj˧˦,ɓoːná,d̪ekʰnaː,ˈʋiːdɛti,siː,,,,,,d̪iːˈd̪æn,je:ɾna,po̞da̠,twḛ,,ˈnæhdæ,ˈvəw.ɾə,kāṇ,diˈdan,,ɡœrˈmæk,ˈnæhæ,,ɔtsʼkʼɔmilu,no:ʈə,vwaʁ,ˈsjauː,ˈnæhæ,ɡeˈzin,no:ʈə,dɛkʰa,zin,ˈvʲi.d͡ʑɛt͡ɕ,,ˈbɑt͡ʃete,ˈvɪɟɛt,,ʃoː,ˈvʲidʲɪtʲ,ˈwi.de.oː,hen˩˩˦,ut͡səx,seː,ˈɡlɛda,no:ɖə,,,ɟœɾmɛc,tūk,tɛsˈnɛl,veɾ,ˈnæhtɑ,,rtsʼqʼɛbä,ˈlaːt,ˈviɟi̯ɛc,χɛdvä,kiˈta,ra.ʔaː,,*mtʰoŋ,hen˩˧,no:ɖu,ɾɛdzɛ̂ːt,ɡwɛld,seː,ʈunɖpo,tʃu,no:ɖ,unning,ˈbeɾ,mɐˈtʲîːtʲɪ,d̪eːkʰ.nɑː,ˈdiːtɯn,,lihat,,tuʋa:ɾa,,u:ɖa,ˈnæːd̪ɨ,nu:ʈ,ˈzeː.ən,mʲiɾɯ̟ᵝ,ˈoɑ̯jːtniːh(t),veˈde.re,pɐ́ɕ.jɐ.t̪i,gʰoeñ,ˈsʊt͡ʃːa,ˈnækemæ,ˈbat͡ʂɨt͡sʲ,fʲɛc,,veˈde̯a,ˈvlepo,lisgdi,ta:na,ˈd̪ækʰa,tʃu:ɖu
split,,,,ˈlɤhestɑmɑ,,t͡ɕɛ˧˩,,,,splɪt,,,,,,,,,kʰwɛ́,,ˈhɑlkɑistɑ,pəɾˈti,,,,,ˈhɑlːɑtɑ,,ɔrtʰu,,fɑ̃dʁ,ˈkʰlɔpna,ˈhɑlkɤɑ,,,pʰal,,ˈd͡ʑɛ.lʲit͡ɕ,,,,,,rəɕːɪˈplʲætʲ,ˈskin.doː,,,deːla,,,,,,,,pɐɾ.ˈtiɾ,ˈhɑugoidɑ,,rtʰuälä,ˈhɒʃiːt,,qʼɔpʰä,,qa.sa.ma,,,,,,,,,,,,parˈtiɾ,,,,,,,,,,ˈloːgst̪ɨ,,ˈʃpaltn̩,ɰᵝa̠ɾɯ̟ᵝ,,ˈfɛndere,,,,ˈlɑhkːi ɑjɑmɑ,,,,,,lirdɛ,,,
leg,krak,,,ˈsæːr,,t͡ɕən˧˧,uḿ̩leːnze,,nɔ̀ːɡa,lɛɡ,,kəm.bə,,ˈʁɛɡɛl,,pɒː,,ta̠ɾi,t͡ɕʰèdaʊʔ,ˈmʷe.ⁿdo,ˈsæːri,ˈka.mə,,,skoŋk,,ˈsiæri,ka˨˦,kʼutʃχɛ,,ʒɑ̃b,ˈfouːtʏr,ˈrihi,,,bʱɔ.ɹi,beːn,ˈnɔ.ɡa,,,ˈnoɦa,ˈkambo,bæɪn,nɐˈɡa,kruːs,kʰaː˩˩˦,,ˈbeːn,,,ɑˈjɑq,ˈrɪd͡ʒɛl,badʒak,,vɔtkʰ,ˈpɛɾ.nɐ,ˈjɑug,ˈɡɑːr,kʼutʃχi,ˈlaːb,ˈnɔɦa,pʰɛχi,,ra.d͡ʒi.la,,*rkaŋ.pa,kʰaː˩˨,,kāːja,koːɨ̯s,beːn,,,,,ˈpjerna,,,,,kaki,kʰas,,,,ˈjɑːlgɑ,,baɪ̯n,kʲa̠kɯ̟ᵝ,,ˈɡamba,,joeṅ,,ˈsːiːr,naˈɣa,kɔsˠ,fʊs,,ˈpoði,tʃʼiʃχ,,pa,
he,t̪ɔj,,,ˈtemɑ,,ʔajŋ̟˧˧ ʔəj˧˦,jeːná,,ˈɔ́n,ˈhiː,ˈel,,,(h)u,,ʔoː,,kɯ,θù,ˈi.jé,ˈhæn,ˈeʎ,,ɵ,hɛi̯,ɔ,ˈhæi,te˨˦,ɛjä,,il,ˈhanː,ˈtæmæ,,,xi,ɦɛi̯,ɔn,u,ˈʋʲin,on,,,on,is,kʰaw˩˩˦,,hanː,tɔj,,uɫ,uː,o,,nɑ,ˈe.li,ˈhæn,,tʰinä,ˈøː,ɔn,is,niˈja,hu.wa,haɣə,,kʰao˩˨,,viɲʃ,eːv,han,,,,,el,jɪs,ʋəʱ,,,diə,ɛ,,dia,,ˈt̪æmɑː,,ʔeːɐ̯,ka̠,,ˈlui,,gāt´,,ˈtːimæ,jon,ʃeː,,,aˈftos,ɛdʒi,,ˈʃe,
kill,oˈbivəm,haʋka,kolluga,ˈtɑpmɑ,kollə,ziət̚˧˦,,marna,uˈbìːti,kɪl,,,,,,kʰoʃˈt̪ʰæn,eɖabna,t͡ɕuɡida̠,θaʔ,,ˈtɑpːɑː,məˈta,kollə,kuʃtæn,,œldyrˈmæk,ˈtɑpːuɑ,,ɔqʼvilu,kollə,ty.e,ˈtrɛːpa,ˈtɑpːɑː,,ta:ʋiɾ,,ˈdoːdə(n),zaˈbʲi.jat͡ɕ,,,ˈzabiːt,,,ʊbʲɪˈvatʲ,ˈok.ki.doː,kʰaː˥˩,,ˈdøːda,ˈubiva,koppə,,ˈʔaːtɛl,,tūk,spɑˈnɛl,ma.ˈta(ʁ),ˈriktɑ,,ʔviluä,ˈøl,ˈzabic,kʼvlä,,qa.ta.la,,*ksot,kʰaː˨˩,kollu,nâːvɛ̂ːt,ɬaːð,,badʒpo,tukud,kenga:ɭ,kasfing,maˈtaɾ,,mɑːɾ‿ɖɑːl.nɑː,,,məmbunoh,maɾav,keɾijaɾa,məmbunʊh,aʋaka:,ˈt̪ɑpːɨ,keɖukisti,ˈtøːtən,ko̞ɾo̞sɨᵝ,ˈkodːdiːh(t),utˈt͡ʃi.de.re,ɦɐ́n̪.t̪i,sm̥lāp´,,ˈtːɑpːmɑ,,ˈmˠaɾˠə,ˈtɛjtn̩,omoˈrɨ,skoˈtono,lidgæri,alangʈa:n,,tʃampu
sea,moˈrɛ,,,ˈmeri,,ʔɓiən˧˩,ûːlwâːnɮe,,ˈmóːrjɛ,siː,,dɛt,,,,dæɾˈjɒː,,pa̠da̠,pɪ̀ɴlɛ̀,,ˈmeri,ˈmar,,bæhr,seː,dæˈniz,ˈmeri,haːi˥,zuʁä,,mɛʁ,haːv,ˈmeri,miːə̯,,xaɡɔɹ,zeː,ˈmɔ.ʐɛ,,,mor̝ɛ,,hɑːʋ,ˈmorʲe,ˈma.re,tʰa˦˥.leː˧,taɮai,ɧøː,,,dʲiŋˈɡɪ̞ð,ˈbaːħɐr,,,t͡sɔv,maɾ,ˈmeri,ˈmoːʁ,zʁvä,ˈtɛŋɡɛr,ˈmɔrɛ,zʁvä,,baħr,,,,,jūːɾa,moːr,hav,,,,,ˈmaɾ,ˈjuːrɐ,,,,laot,,,,,ˈme̞r,,meːɐ̯,⟨umi1⟩,,ˈmaːre,s̪ɐ.mud̪.ɽɐ́,smud̥r,hɛaːv,ˈmeri,,,,ˈma.re,ˈθalasa,dzuʁwä,,,
night,nɔʃt,naɾkaɖ,ɾa:tɾi,ˈøː,andi,ʔɗem˧˧,úɓusûːɠu,raːt̪,noːtʃ,naɪt,ˈnojt̪ɪ,ˈnaːt,la:n,ˈlaj.la,ɛi,ʃæb,ma:ha,pa̠m,ɲa̰,,ˈyø,ˈnit,iɾa:ʋə,,ˈnaxt,,ˈyø,hɯn˧˩,sɛri,bajiʈə,nɥi,nouʰt,ˈøː,ˈnuə̯ɕt,e:lumaɾam,ɹati,nɑxt,nɔt͡s,,ˈnʲit͡ʃ,not͡s,ˈnɥɛtʃ,nɑtː,not͡ɕ,noks,klaːŋ˧.kʰɯːn˧,,natː,nɔc,iɾə,tʏ̞n,lɛjl,ɟe̞ˈdʒɛ,tūk,ɡiˈʃɛɾ,ˈnoj.tɨ,ˈø,,sɛri,ˈeːjsɒkɒ,ˈnɔt͡s,ʁämɛ,ɡɐˈbi,laj.la,,,,ɾa:tɾi,nakts,noːs,nad̥,ɾa:ti,tukud,ədlə,nam,ˈnot͡ʃe,nɐkˈtɪs,ɾɑːt̪,ˈʃɛv,naχ,,,ɾa:tɾe,ˈmalam,mulipe,ˈiːe̞,ekka:ɖə,naxt,⟨yo1ru⟩,ˈiɟɟa,ˈnɔtːe,ɽɑ́ːt̪.ɽi,yp´,nɔʰtː,ˈɨː,not͡ʂ,ˈiːhə,,ˈno̯ap.te,ˈnixta,lɛtʰ,siɾbedin,,ɾa:tɾi
fight,,,,ˈʋɤitlemɑ,,t͡ɕiən˧˦ ʔɗəw˧˦,,,,faɪt,,,,,,,,ta̠tʰuda̠,jàɴpʰjɪʔ,,ˈtɑpelːɑ,ʎujˈta,,,,,ˈtoruɑ,,ɔkʼɔkʼidinu,,batʁ,,ˈtɑpːɤɑ,,,zũza,ˈstrɛi̯də(n),ˈval.t͡ʂɨt͡ɕ,,,ˈbojovat,,,ˈdrat͡sːə,ˈpuɡ.noː,suː˥˩,,,,,,,,,kərˈvɛl,lu.ˈtaɾ,ˈtorɑtɑ,,tʃχupʼi,ˈhɒrt͡sol,ˈbɔjɔvac,tʃχubi,a.ˈwaj.in,qaː.ta.la,,,tɔː˧˧ suː˨˩,,,,,,,,,peleˈaɾ,,ləɽ.nɑː,,,,,,,,ˈt̪ɑplɨ,,kɛm(p)fən,,,lɔt.ˈta.re,,vāytp´,,ˈtːɑpːlɤmɑ,,t̪ˠɾˠɪdʲ,,,,litsuäl,,,
ash,ˈpɛpɛl,ni:ɾ,tʃa:mbal,ˈtuhk,bu:di,t͡ɕɔ˧˧,uḿ̩loːtʰa,rakʰ,pɛˈpéːw,ˈæʃ,,,,,,xɒːkʲesˈt̪ʰæɾ,tʃind,t͡ɕe̞,pjà,t͡ʃiˈpa.ɽa,ˈtuhkɑ,,sa:mbal,,ˈjɪskə,,ˈtuhkɑ,,nɔmtʃkʰä,bu:di,sɑ̃dʁ,ˈaska,ˈtuhkɑ,æʃ,po:du atukə,saɪ,ɑs,ˈpɔ.pʲuw,,ˈpɔpʲil,ˈpopɛl,,,ˈpʲepʲɪl,ˈki.nis,tʰaw˥˩,uns,,,kolabu:di,ˈkʏ̞l,,ˈcʏl,nīd,moˈχiɾ,,ˈtuhk,ˈlyːdy,nätʃʼvi,ˈhɒmu,ˈpɔpɔɫ,pʰɛrpʰli,,ra.maːd,,*ɡo.tʰal,,bu:di,,ˈɬɨ̞dʊ,,bʰumi,niɖ,pi:di,his,θeˈniθa,,rakʰ,ˈxwɛliː,,abu,,tʃu:nja,abu,bu:ɖida,ˈt̪uːgɨ,pu:di,ˈaʃə,,,,,kṃñm,ˈœska,ˈtːuhkː,ˈpopʲeɫ,l̪ˠuə,,,,kʰæm,buggi,,bu:ɖida
cut,,,,ˈlɤikɑmɑ,,kat̚˧˦,,,rézati,kʌt,,,,,,boɾiːˈdæn,,k͈ɯntʰa̠,kaɪʔ,,ˈleikɑtɑ,təˈʎa,,,,kæsˈmæk,ˈleikɑtɑ,,ɔtʃʼkʼiru,,ku.pe,ˈscɛːra,ˈlɤikɑtɑ,,,kɔ.ta,ˈsnɛi̯də(n),t͡ɕɔɲt͡ɕ,,,ˈr̝ɛzat,,,ˈrʲezətʲ,ˈin.se.koː,tat̚˨˩,,ˈɧæːˌra,,,,,cesmec,,kətˈɾɛl,kuɾˈtaɾ,ˈtʃɑptɑ,,tʃʼkʼiruä,ˈvaːɡ,ˈrɛzac,tʃʼrä,,,,,,,ɡrīɛ̄st,ˈtɔrɪ,skɛːrə,,,,,,,kɑːʈ.nɑː,,,,kʲaːrˠ,,,,ˈiːe̞d̪ɨ,,,kʲiɾɯ̟ᵝ,,taʎˈʎare,,kāt´,,ˈlɤikːɑmɑ,,ɟaːɾˠ,,,,likʰtʃɛ,,kɑʈɑ,
hand,rəˈka,kaj,kaj,ˈkæsi,kaj,taj˧˧,isáːnɮa,ɦat̪ʰ,rɔ̀ːka,hænd,,dɔɹ,keju,jad,,dæst,kʰekkʰa,sʰo̞n,lɛʔ,ˈd͡za.ⁿd͡ʒa,ˈkæsi,ˈma,kaj,,,,ˈkæsi,mɯ˧˩,χɛ,kaj,mɛ̃,hœnt,ˈtʃæsi,hant,kaij,,ɦɑnt,ˈrɛŋ.ka,,rʊˈkɑ,ˈruka,ma,hɑnd,rʊˈka,ˈma.nus,mɯː˧,ɢar,hand,,kaj,quɫ,,el,key,d͡zɛrkʰ,ˈmɐ̃w̃,ˈkæzi,ˈdɔʁn,χɛ,ˈkeːz,ˈruka,χɛli,,jad,lɑs,,mɯː˦˥,kaj,ɾùoka,ɬaːu̯,hɔnˀ,ʈeʈu,ki:,ki:ja,ɖu:,ˈmano,ɾɐŋˈkɐ,ɦaːt̪ʰ,,,taŋan,ɫ̪ãːv,kai,taŋan,kaj,ˈpiv,koi,hant,,,ˈmaːno,ɦɐ́s̪.t̪ɐ,ṭai,hɔnt,ˈkːæsːi,,l̪ˠɑːvˠ,hant,ˈmɨ.nə,ˈçeɾi,ʃi,keju,ɦat̪,tʃejji
all,,bottig,ella,ˈkɤik,nanga:ɭə,,,,ˈʋə́s,ɔːl,,ɡjiθ(ə),hara,kol,,hæˈme,majin,ˈmo̞ːdɯn,ʔálóʊɴ,,ˈkɑikːi,ˈtot,ella:m,,,,ˈkɑikːi,,iri,ella,tus,,ˈkɤikːi,,ella:m,xɔ.kɔ.lʊ,ɑl,ˈfʂɨ.stɛk,,,ˈfʃɪxɲɪ,tut,,vʲesʲ,,,,ˈalˌa,ˈsitɛ,ella,ˈbʏ̞.tæ,,byˈtyn,tūk,bɔˈlɔɾ,ˈto.ðu,ˈkɑik,,ärdzä,ˈmindɛn,ˈfʃɛtɔk,qʼvɛlä,,kull,,,,ella,,ɪˈɡɨːd,alə,go:ʈahi:,tukud,o:ʈəja,kull,ˈtodos,ˈvʲɪ.sɐs,səb,,,səmuə,,ma:ta,sə.mu.a,anta:,ˈɑmɑː,oʋʋoɖimo,al,sɨᵝbe̞te̞,,ˈtutto,s̪ɐ́ɽ.ʋɐ,,ˈat.lʊɹ,ˈkːɤikː,,ˈɪlʲə,ˈalə,tot,,mæg,ma:k,,anta
pull,,,,ˈtɤmbɑmɑ,,kɛw˧˦,,,,pʊl,,,,,,kʲeʃiːˈd̪æn,,ˈk͈ɯːɭda̠,sʰwɛ́,,ˈʋetæː,tiˈɾa,,,,t͡ʃækˈmæk,ˈvetyæ,,ɔzdimu,,ti.ʁe,ˈtraːɣa,ˈtɤmpɑː,,,ta.na,ˈtrɛkə(n),ˈt͡ɕɔŋ.ɡnɔɲt͡ɕ,,tʲɐˈɦɑte,ˈtaːɦnou̯t,,,tʲɪˈnutʲ,ˈwel.loː,dɯŋ˧,tʰatʰəx,,,,,,t͡ʃɛcˈmɛc,,kʰɑˈʃɛl,pu.ˈʃa(ɹ),ˈvedɑdɑ,,zindäpʰi,ˈhuːz,ˈci̯aɦnuc,mɔkʰätʃvä,,,,,,,,,trɛkə,,,,,tiˈɾaɾ,,kʰĩː(ɳ).t͡ʃnɑː,,,tareʔ,,,,,ˈvie̞d̪ːɨ,,ˈtsiːən,,,t̪iˈrare,,dāñ,,ˈvitæmæ,t͡sʲaˈɣat͡sʲ,,,,,libid,,ˈʈana,
count,,,,ˈlugemɑ,,ʔɗem˧˦,,,,kaʊnt,,,,,,ʃomordæn,,ˈsʰe̞ːda̠,jè,,ˈlɑskeɑ,komˈta,,ʃumurdæn,,sɑjˈmɑχ,ˈlɑskie,,ɔkʼɔrɔtsχu,,kɔ̃.te,ˈtʰɛlja,ˈlukɤɑ,ˈt͡siələn,,,ˈtɛlə(n),ˈlʲi.t͡ʂɨt͡ɕ,,,ˈpot͡ʃiːtat,,,ɕːɪˈtatʲ,ˈnu.me.roː,nap̚˦˥,,,ˈbrɔi,,,,,,,kõ.ˈtaɾ,ˈlɑʃkɑ,,kʼɔrɔtsχuä,ˈsaːmol,,tʰvlä,,,,,,,skàjtîːt,,,,,,,konˈtaɾ,,ɡɪn.nɑː,,tɛ̞ːl,kirə,,,,,ˈlugːɨ,,ˈt͡sɛːlən,kazuapu,ˈlohkah(t),konˈtare,,rāp´,,ˈlukɤmɑ,,ɾˠiːvˠ,,,,liʃɛldɛ,,,
stand,,nil,nilkuga,ˈseismɑ,nindʒo,ʔɗɨŋ˧˦,,,,stænd,,ri,,(ʕ)amad,,iːstʰɒːˈdæn,idʒdʒna,sʰʌ̹da̠,jaʔ,,ˈseisoɑ,,nil,,ˈsteən,daˈjɑnmɑχ,ˈseisuo,,dɔdginu,nində,ɛ.tʁə d(ə).bu,ˈstanta,ˈsɤizoɑ,ˈʃtoːən,ninnatukə,tʰiɔ ɦʊa,staːn,stat͡ɕ,,,staːt,,,stɐˈjætʲ,stoː,jɯːn˧,t͡sɔɡsəx,,,nippə,,,,nilp,kɑŋɡˈnɛl,pɨɾ.mɐ.nɨ.ˈseɾ,ˈseiʃtɑ,,gɛrinä,ˈaːlː,ˈstaːc,dgɔmä,,wa.qa.fa,,,,nintiko,stāːvɛ̂ːt,ˈsɛvɨ̞ɬ,,hilpo,tukud,ə:ɭ,saling,,,,,,,,untaɾa,,nilla,ˈpiːlɨ,mukkaɖuɾil,ˈʃteː.ən,ta̠t͡sɨᵝ,,,,jʰr,,ˈsːɑisːmɑ,,ʃasˠ,,,ˈstekome,lignɛ,ni:ma:n,d̪aɽano,niltʃonu
horn,,koɾ,kompə,ˈsɑrʋ,kombə,sɨŋ˨˩,úːpʰoːndo,sĩɡ,ˈróːk,hɔːn,ˈkɔɾno̝,,,,,ʃɒx,maɾag,p͈uɭ,d͡ʑò,,ˈsɑrʋi,ˈba.ɲə,kombə,ʃɔːx,,bujnuz,ˈsɑrvi,,kʰrä,kombə,kɔʁn,hɔrtn,ˈsɑrvi,,bʰulo:gam,xiŋ,ɦoːrn,ruk,,,ˈrox,,hʊrn,rok,ˈkor.nuː,kʰaw˩˩˦,ewər,,,kombə,mʏ̞ˈɡʏ̞ð,,,tūk,jɛʁd͡ʒˈjuɾ,ˈʃi.fɾɨ,ˈsɑrv,,kʰä,ˈsɒrv,ˈrɔx,rkʰä,,qarn,,,kʰao˩˨,kombu,ɾaks,kɔrn,,maɾgadu,kaɾ gutʃul,kombbə,maɾgʰ,ˈkwerno,ˈrä̌ːɡɐs̪,siːŋɡ,,,,,kombu,,komm,ˈsorɑ,ku:ɾ,hɔrn,ka̠do̞,ˈt͡ʃoɑ̯rːviː,ˈkɔr.no,ɕr̩ŋ.ɡɐ́,s̥naeṅ,hɔtn,ˈsːɑrv,,əiɾˠk,,korn,,mitʃʼw,kommu,,kommu
big,,pedda,ʋaludə,ˈsuːr,baleji,,,,,bɪɡ,,,be:ɾ,ɡaˈdɔl,,,koha,ˈɘːɾɯn,,,ˈiso,ˈɡɾan,peɾija,,,,ˈsuːri,,didi,baljadə,ɡʁɑ̃,,ˈsuːri,,toɖut,daŋɔɹ,,dɔˈrɔ.swɨ,,ʋeˈlɪkei̯,,,,bɐlʲˈʂoj,,,,ˈvɵkˌsɛn,ˈɡɔlɛm,doɖɖadə,,,,berto,mɛt͡s,mɐjˈɔɾ,ˈsurʲ,,didi,ˈfɛlnøːtː,,didi,,ka.biːr,ɣaʈ,,,doɖɖadu,,,,be:ɖo,muɾe,dappu,ballun,maˈɟ͡ʝoɾ,,,,,,,malla,,beɾɾa,ˈsuːr,ittu:ɖə,ɡʁoːs,o̞to̞na̠,,ˈɡran.de,,,,ˈsːuːr,,,,,,χɔʃä,bʰu:mi,,pedda
