,aa,ab,ae,af,ak,am,an,ar,as,av,ay,az,ba,be,bg,bh,bi,bm,bn,bo,br,bs,ca,ce,ch,co,cr,cs,cu,cv,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,ff,fi,fj,fo,fr,fy,ga,gd,gl,gn,gu,gv,ha,he,hi,ho,hr,ht,hu,hy,hz,ia,id,ie,ig,ii,ik,io,is,it,iu,ja,jv,ka,kg,ki,kj,kk,kl,km,kn,ko,kr,ks,ku,kv,kw,ky,la,lb,lg,li,ln,lo,lt,lu,lv,mg,mh,mi,mk,ml,mn,mr,ms,mt,my,na,nb,nd,ne,ng,nl,nn,no,nr,nv,ny,oc,oj,om,or,os,pa,pi,pl,ps,pt,qu,rm,rn,ro,ru,rw,sa,sc,sd,se,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tl,tn,to,tr,ts,tt,tw,ty,ug,uk,ur,uz,ve,vi,vo,wa,wo,xh,yi,yo,za,zh,zu,Unnamed: 185
ha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
he,-,-,-,22.64142,-,-,-,15.35398,20.88241,-,-,22.49118,23.60265,21.63206,20.66433,-,-,-,21.48375,23.81331,20.92187,-,21.3436,-,-,-,-,21.56408,-,-,21.85442,22.68652,21.62293,-,-,-,21.25243,23.12592,22.57115,21.17357,-,-,22.13563,-,22.9389,-,24.10817,22.80043,21.71826,25.01044,25.01466,22.98634,-,-,24.90604,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hi,-,-,-,22.39849,-,-,-,22.96643,17.34915,-,-,20.57004,23.09504,22.70353,20.98845,-,-,-,15.74619,25.48599,22.17821,-,20.33005,-,-,-,-,22.24138,-,-,22.14905,21.82363,21.94939,-,-,-,22.22546,23.888,21.8162,22.15765,-,-,19.52295,-,22.63231,-,22.57322,22.81433,21.20578,24.83138,24.24736,23.62884,-,-,24.1268,-,22.22792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ht,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hu,-,-,-,21.81018,-,-,-,23.15432,23.45614,-,-,20.42704,21.15038,22.08398,21.88908,-,-,-,22.82026,23.50127,23.8799,-,22.45902,-,-,-,-,22.24463,-,-,22.27696,22.40971,22.31928,-,-,-,23.0659,22.54417,23.08149,23.11767,-,-,21.90204,-,22.03487,-,24.62769,23.23802,22.00831,24.25726,22.44985,23.43929,-,-,24.17451,-,22.94261,23.38313,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy,-,-,-,23.70981,-,-,-,23.1955,23.29917,-,-,22.93265,23.44223,23.86571,21.43436,-,-,-,21.42181,24.90891,22.06666,-,22.49451,-,-,-,-,22.90208,-,-,22.05963,21.91591,21.95356,-,-,-,22.30333,23.29865,23.06783,22.06558,-,-,20.1604,-,23.78218,-,24.1759,23.69522,20.01517,24.23801,23.07821,23.38686,-,-,22.97113,-,22.06633,22.23912,-,-,-,22.92323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hz,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.94139,-,-,-,-,19.83904,-,-,21.8947,-,21.59985,-,-,-,-,21.94571,13.40854,9.33353,-,-,22.4037,-,-,-,-,19.30928,-,22.72089,-,-,-,-,-,-,-,24.23385,-,-,-,25.39691,21.40261,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,-,-,-,-,-,-,-,18.97324,21.4397,-,-,21.52705,23.63481,22.65347,20.19944,-,-,-,-,23.80063,-,-,21.14334,-,-,-,-,22.20472,-,-,21.32117,21.40394,20.61489,-,-,-,19.28734,22.3847,19.56544,19.61223,-,-,21.71604,-,21.24269,-,23.20206,22.45869,21.41704,24.1591,-,-,-,-,-,-,-,21.43649,-,-,-,22.82394,21.81602,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ig,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ik,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
io,-,-,-,21.41806,-,-,-,22.02347,21.0604,-,-,22.22129,23.68414,19.94832,18.45384,-,-,-,20.51295,23.5463,21.53941,-,15.11343,-,-,-,-,19.55312,-,-,20.31871,21.66903,19.18798,-,-,-,18.97637,22.72223,7.66105,11.89257,-,-,20.31425,-,20.48365,-,20.44164,18.05908,21.56724,23.28697,22.94735,14.51677,-,-,22.12691,-,21.20817,21.74935,-,-,-,23.28373,22.70235,-,-,20.79775,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,-,-,-,20.62445,-,-,-,21.65312,22.78939,-,-,23.67482,23.60281,21.6596,20.46465,-,-,-,22.08886,24.87398,23.01869,-,21.44724,-,-,-,-,21.09941,-,-,21.36888,15.38094,17.84189,-,-,-,20.89766,19.61438,20.60486,20.63205,-,-,22.09267,-,20.72108,-,11.11921,23.83086,15.6656,24.26317,23.83554,22.01553,-,-,23.63518,-,22.53333,21.85442,-,-,-,23.96721,22.77237,-,22.05815,21.68319,-,-,-,-,20.08082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it,-,-,-,23.36931,-,-,-,21.34947,22.01161,-,-,22.77372,23.99194,19.91005,18.1587,-,-,-,20.92075,22.71236,22.13342,-,14.58284,-,-,-,-,20.09271,-,-,20.99464,21.40358,21.19914,-,-,-,17.65504,23.84993,13.28085,11.07665,-,-,21.1858,-,20.55404,-,21.63002,19.31859,21.15721,24.50348,24.04593,13.23333,-,-,22.83664,-,22.23067,21.56289,-,-,-,23.41246,22.85072,-,6.41508,19.44382,-,-,-,-,11.92168,21.08732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ja,-,-,-,23.96401,-,-,-,23.30989,23.42241,-,-,24.27417,24.88571,22.54332,21.77074,-,-,-,22.7058,22.97632,24.91304,-,23.77843,-,-,-,-,22.93417,-,-,24.19834,23.98052,23.92038,-,-,-,20.88566,25.25735,21.30738,22.0242,-,-,23.71302,-,21.37847,-,23.22264,25.72033,24.83421,26.27494,25.61091,22.68058,-,-,26.26758,-,23.20916,24.28056,-,-,-,24.67849,25.1699,-,-,21.39855,-,-,-,-,22.71269,23.88405,22.08042,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jv,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ka,-,-,-,25.36752,-,-,-,23.57397,23.50855,-,-,23.76808,25.24997,23.81117,22.90107,-,-,-,23.03229,26.3335,24.51949,-,23.73718,-,-,-,-,23.23848,-,-,24.82018,24.65815,24.9206,-,-,-,21.77179,26.49793,22.68822,22.88764,-,-,24.04343,-,22.84008,-,25.35222,26.44095,24.79439,26.34372,25.64583,22.79644,-,-,25.53695,-,23.61649,23.2584,-,-,-,25.40629,24.92946,-,-,21.89265,-,-,-,-,21.73426,24.59215,21.42084,-,23.38444,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ki,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kj,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kk,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
km,-,-,-,23.98591,-,-,-,25.4256,25.01365,-,-,24.08627,25.66355,25.27339,24.7766,-,-,-,25.88336,24.88787,23.50301,-,24.05029,-,-,-,-,24.26615,-,-,23.4801,23.70686,24.24607,-,-,-,24.20919,24.43335,25.03736,24.94579,-,-,25.2568,-,25.14172,-,25.73559,25.40969,23.95716,25.77878,24.76056,26.68525,-,-,24.40311,-,25.73873,25.07139,-,-,-,24.5558,24.96961,-,27.28677,23.96651,-,-,-,-,25.36815,25.23597,25.39267,-,26.51544,-,27.3546,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kn,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ko,-,-,-,26.09886,-,-,-,23.05376,22.32744,-,-,24.0938,24.58079,23.35987,23.42733,-,-,-,22.30775,24.56403,24.4153,-,22.77207,-,-,-,-,23.40057,-,-,24.54236,24.6803,25.25061,-,-,-,22.65013,25.86927,23.19714,23.74304,-,-,22.84411,-,22.42667,-,25.04596,25.27834,24.71811,26.86414,26.09263,25.28468,-,-,25.44173,-,23.99113,23.03555,-,-,-,24.92375,24.93927,-,24.35332,22.02518,-,-,-,-,23.3025,24.24691,22.94723,-,22.88671,-,24.44283,-,-,-,-,-,27.04775,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ks,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ku,-,-,-,-,-,-,-,21.83898,20.13829,-,-,19.91799,22.57613,20.59704,18.51855,-,-,-,-,-,-,-,19.0379,-,-,-,-,19.92848,-,-,19.59223,19.43937,19.61335,-,-,-,20.10113,22.8265,21.27721,19.82737,-,-,13.12231,-,22.76898,-,23.06662,20.41648,-,23.38904,-,-,-,-,-,-,-,17.44164,-,-,-,20.18688,19.76948,-,-,-,-,-,-,-,-,21.32081,20.1855,-,20.88722,-,22.00025,-,-,-,-,-,24.73766,-,23.19784,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kv,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kw,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ky,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la,-,-,-,22.49294,-,-,-,22.37184,22.5706,-,-,23.41191,23.3485,21.03777,19.24557,-,-,-,21.9301,23.52605,23.08861,-,17.19818,-,-,-,-,21.01258,-,-,20.28583,21.26186,21.26354,-,-,-,17.63878,22.7634,14.48188,15.59103,-,-,21.61571,-,20.85867,-,21.88484,20.41957,20.58567,23.73504,23.76063,16.68996,-,-,22.26008,-,22.78761,22.52353,-,-,-,23.14813,23.17706,-,12.57138,19.98986,-,-,-,-,14.65544,20.60726,14.38525,-,22.65324,-,23.43304,-,-,-,-,-,25.36288,-,23.744,-,-,19.89669,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lb,-,-,-,13.56607,-,-,-,22.95274,22.60943,-,-,23.53104,24.36332,22.86793,20.57552,-,-,-,21.58675,25.69704,20.83057,-,20.90175,-,-,-,-,21.04792,-,-,21.02068,16.28941,10.46498,-,-,-,21.7427,17.13093,21.04587,21.44632,-,-,20.93836,-,22.38422,-,19.12554,21.80631,12.36069,23.35086,24.03851,21.92762,-,-,22.65124,-,21.06146,22.188,-,-,-,22.41596,21.45767,-,23.68622,21.77844,-,-,-,-,19.32525,18.77434,21.56669,-,24.44911,-,25.58737,-,-,-,-,-,23.90195,-,24.52093,-,-,20.30814,-,-,-,21.82096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
li,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ln,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lo,-,-,-,21.68413,-,-,-,24.14298,22.20374,-,-,24.4253,25.61093,25.62063,24.34525,-,-,-,23.99162,23.55294,23.53412,-,23.59403,-,-,-,-,24.09118,-,-,23.70649,21.49644,22.971,-,-,-,24.48708,23.41069,24.88312,25.13164,-,-,24.15979,-,25.08162,-,25.89804,23.85045,22.10806,25.49847,25.1076,24.66385,-,-,23.62768,-,23.34263,24.26318,-,-,-,23.80486,25.06041,-,-,23.7065,-,-,-,-,25.26906,24.80026,25.68581,-,24.3393,-,26.46085,-,-,-,-,-,22.56497,-,25.83019,-,-,-,-,-,-,25.34811,22.00957,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt,-,-,-,24.34231,-,-,-,23.22014,24.19008,-,-,23.88039,22.93375,19.18264,18.10459,-,-,-,22.34504,25.94796,24.05354,-,22.26866,-,-,-,-,20.20427,-,-,22.72709,22.86292,22.45045,-,-,-,19.74768,25.0835,20.57747,21.44605,-,-,21.35538,-,21.70492,-,22.04392,24.40272,20.77954,25.08816,25.32138,22.34648,-,-,25.19326,-,22.69726,22.6278,-,-,-,24.99238,23.44761,-,-,21.10721,-,-,-,-,20.60681,21.18334,19.97029,-,23.71783,-,23.72588,-,-,-,-,-,27.77112,-,24.82838,-,-,-,-,-,-,20.10664,22.95659,-,-,-,28.01897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
