word,bg,it,ca,fy,kff,kxv,sv,brh,uk,gd,fo,ta,fr,pci,tcx,sk,sq,mjt,lzz,xub,ml,cy,pl,sl,lt,br,sva,gv,yea,no,ka,bfq,af,cs,ga,lv,nl,oc,es,xmf,mk,tcy,hy,is,de,ru,gdb,kru,be,ro,yi,pt,gon,gl,te,kfb,kfa,kn,da,el,kfe
water,,,ˈaj.ɡwə,ˈvɛtər,e:ɾu,eju,ˈvatːɛn,di:r,wɔˈdɑ,ˈɯʃkʲə,vaʰtn,taɳɳi,o,nīr,ni:ɾ,ˈvɔda,ˈujə,hamdu,tsʼkʼäri,ni:ɾə,ʋellam,duːr,ˈvɔ.da,,,ˈduːʁ,lits,ˈuʃtʲə,ni:ɾu,ˈʋɑtn̩,tsʼqʼäli,ni:ɾə,ˈvɑːtər,ˈvoda,ˈɪʃcɪ,ûːdɛns,ˈʋaːtər,,ˈaɡwa,tsʼqʼäri,,ni:ɾə,d͡ʒuɾ,vaʰtn,ˈva.sɐ,vɐˈda,ni:r,amm,vaˈda,ˈapə,,,jeɾ,ˈaw.ɡa,ni:ɾu,i:ɾ,ni:ɾə,ni:ɾu,vand,neˈro,ni:ɾ
what,kɐkˈvɔ,,ˈkə,,ba:ta,ena,vɑː(d),antə,ʃtʃɔ,tʲeː,kvɛaːʰt,enne,kwa,nāto,inno,ˈt͡ʃɔ,tʃfaɹ(ə),indiɾdu,mu,ajindi,endə,beːθ,t͡sɔ,ˈkàːj,,ˈpe.tʁa,mæ,,entai,kʋɑː,rä,e:nə,vat,t͡so,kad̪ˠ,,ʋɑt,,ˈke,mu,,entʃina,int͡ʃʰ,xʷaːð,vas,ʂto,enna:ʈ,je:ndra,ʂto,t͡ʃe,vɔs,u ˌki,baʈʈal,,ēmi,em,jentə,je:nu,vad,,eta:nə
hand,rəˈka,ˈmaːno,ˈma,,kaj,keju,hand,ɖu:,rʊˈkɑ,ɫ̪ãːv,hɔnt,kaj,mɛ̃,key,koi,ˈruka,dɔɹ,ʈeʈu,χɛ,ki:ja,kaj,ɬaːu̯,ˈrɛŋ.ka,rɔ̀ːka,ɾɐŋˈkɐ,ˈdɔʁn,ʃi,,kaj,hɑnd,χɛli,kaj,,ˈruka,l̪ˠɑːvˠ,ɾùoka,ɦɑnt,ma,ˈmano,χɛ,,kai,d͡zɛrkʰ,hœnt,hant,rʊˈka,ki:,kʰekkʰa,,ˈmɨ.nə,hant,ˈmɐ̃w̃,kaj,,tʃejji,keju,kaj,kaj,hɔnˀ,ˈçeɾi,kaij
belly,koˈrɛm,ˈpan.t͡ʃa,ˈbuk,,ɖokka,banɖi,²mɑːɡɛ,peɖʰ,,,,vayiṟu,vɑ̃tʁ,poṭṭa,piɾ,ˈbruxɔ,,puɖa:,kʰɔrbä,poʈʈi,ʋajaɾə,,bʐux,ˈtrèːbux,,ˈkofː,qʰæd,,baiɾu,,mutsɛli,oʈʈe,,ˈbr̝ɪxo,ˈbˠɔlˠəɡ,,bœy̯k,,bäˈriɣä,kʰɔrä,mɛf,bandʒi,pʰɔɾ,ˈmaːjɪ,baʊ̯x,ʐɨˈvot,pudug,ku:l,,,bɔɪχ,bɐ.ˈʁi.ɡɐ,pi:ɾ,banˈduʎo̝,poʈʈa,ʈeʈʈe,poʈʈe,hoṭṭe,,,naɖpe:ʈgu
guts,,,,,,,,,,,,,ɑ̃t.ʁaj,,,,,,tʃʼu,,,,,,,,tʃʼintʃʼil,,,,nätsʼlävi,,,,ˈɪn̠ʲiː,,,,,tʃʼi,ˈt͡srɛva,,pʰoɾoˈtikʰ,,ˈaɪ̯nɡəvaɪ̯də,kʲɪʂˈkʲi,,,,,,,,,,,,,,,
sit,sɛˈdʲɤ,seˈdere,ˈsɛw.ɾə,,kudda:,,,tu:ling,seˈdʲite,,,ukka:ɾə,,tūk,eɾakkaɾ,,ulɛm,hokpo,dɔχunu,ku:ɾsu,iɾikkuga,ˈei̯sdɛð,ˈɕɛ.d͡ʑɛt͡ɕ,ˈsɛdèːti,sʲeːˈdʲeːtʲɪ,,lisgwrɛ,,iɾaiku,,dʒdɔmä,kuɭəʋə,,ˈsɛɟɛt,sˠɪɟ,,ˈzɪtə(n),,senˈtaɾ,dɔχunä,,kullaɾa,nəsˈtɛl,ˈsɪːtja,ˈzɪtsn̩,sʲɪˈdʲetʲ,undu,okʰna,,,,iʃ.ˈtaɾ,udda,,ku:ɾtʃo,udə,aɭe,kuɭitiko,seðə,ˈkaθome,bʰulo:gam
head,ɡləˈva,ˈtɛs.ta,ˈkap,ˈholə,talaka:j,tɾajun,ˈhʉːˌvɵd,ka:ʈum,ɦɔlɔˈu̯ɑ,,hœtː,talə,tɛt,tel,maʈʈə,ɦɫava,kɔkə,kukudu,dudi,maɳɖi,tala,pɛn,ˈɡwɔ.va,ˈɡlàːʋa,,pɛ̃n,tʰχwim,caun,tile,,tʰävi,manɖe,,ˈɦlava,caun̪ˠ,ɡâlva,ɦoːft,kap,kaˈbeθa,dudi,,manɖa,ɡəˈluχ,hœːvʏθ,kɔpf,ɡəlɐˈva,ta:l,kuk,ɣaɫaˈva,kap,,kɐ.ˈβe.sɐ,talla,ˈtɛsta̝,tala,tal,maɳɖe,tale,hoːvəd,ce̞ˈfali,manɖə
that,ˈɔnzi,ˈkwello,əˈkəʃ,,addu,et,dɛnː,ae,,ʃɪn,,anta,sə,ā,adə,tɛn,,a:du,ɛjä,adə,a:,ˈhʊnʊ,ˈtam.tɛn,,,,ɛdʒi,,aʋe:,,is,adə,,ˈtamtɛn,ənˠ,tas,dɑt,,ˈese,tʰinä,,aʋu,ɑjd,,ˈjeːnɐ,tot,adə,hu:,toj,aˈt͡ʃela,,ˈe.sɨ,adu,,ā,ad,adə,ā,dən,,adhə
vomit,,vomiˈtare,vo.miˈta,,,,,,,,,,vɔ.miʁ,,,,,,ɔntʰχɔru,,,,vɨ.mʲɔˈtɔ.vat͡ɕ,,,,litʼχunɛ,,,,rtsʼqʼɛvä,,,,ˈaʃɪɟ,,,,,rtsʼqʼiälä,ˈpɔvraca,,,ˈaiːla,ˌyːbɐˈɡeːbən,blʲɪˈvatʲ,,,,,,vu.mi.ˈtaɾ,,,,,,,,,
dog,ˈkutʃɛ,ˈka.ne,ˈɡos,huːn,nej,,hɵnd,kutʃak,,kuː,ˈhʊntʊɹ,na:ji,ʃjɛ̃,netta,noi,ˈpɛs,cɕɛn,kutʃtʃo,dʒɔʁɔri,na:jə,na:ja,kiː,pʲɛs,ˈpə́s,ʂuə,,ʒɛʁ,ˈmɔːðə,na:ji,,dzäʁli,ne,ɦɔnt,pɛs,ˈmˠad̪ˠɾˠə,,ɦɔnt,ˈɡus,ˈpero,dʒɔʁɔri,,na:ji,ʃun,ˈhʏntʏr,hʊnt,sɐˈbakə,ne,alla,,ˈkɨj.ne,hʊnt,ˈkɐ̃w̃,nej,,kukka,a:te,na:ji,na:ji,hun,ˈscilos,na:ji
burn,,,,,maɳɖu,,,xa:xaɾ tinning,,ɫ̪ɔʃɡ̊ʲ,,eɾi,bʁy.le,tūk,ti:kku ka:ttiti,,,me:da,ɔtʃʼu,bja:ɭ,katikkuga,ˈɬɔsɡɪ,ˈpa.lʲit͡ɕ ɕɛ,,,,liʃχi,,tʃu:ɖə,,tsʼvä,kitʃi:kdə,,ˈɦor̝ɛt,d̪ˠoːɟ,dekt,ˈbrɑndə(n),,aɾˈdeɾ,tʃʼuälä,ˈɡɔɾi,pottaʋaɾa,ajɾˈvɛl,ˈprɛnːa,ˈbʀɛnən,ɡɐˈrʲetʲ,tukud,olna,ɣaˈret͡sʲ,,,ɐɾˈdeɾ,niɾus,,ka:lu,gonɖka,tʃu:ɖə,suɖu,,,ka:to
foot,stəˈpalo,ˈpjɛde,ˈpɛw,,aɖugu,pa:dami,fuːt,nat,,kʰas,ˈfɔuːtʊɹ,aɖi,pje,tūk,ko:l,ˈnɔɦa,kəm.bə,ɾaɖadu,tʼäbu,ka:lə,aṭi,troːɨ̯d,ˈstɔ.pa,stɔˈpàːlɔ,,,lägæäm,,ka:lə,fuːt,tʼɛrpʰi,anga:lə,,ˈnoɦa,kɔsˠ,,vut,pɛ,pje,närtʃäkʼutʃχi,,ka:lə,vɔtkʰ,,fuːs,nɐˈɡa,pa:dam,kʰeɖ,naˈɣa,piˈt͡ʃjor,fʊs,ˈpɛ,ka:l,ˈpɛ,aɖugu,dʒeʈʈa,anga:l,aḍi,foːd,ˈpoði,tapaɖ
you,ti,t̪u,ˈtu,doː,,,dʉː,,ˈtɪ,hu,tʰʉuː(w),,ty,,,ˈti,ti,,tʰkʰvän,,,tiː,tɨ,ˈtíː,tʊ,,sgæ,u,,dʉː,tʰkʰvɛn,,jəi,tɪ,t̪ˠuː,tu,jɛi̯,ty,ˈtu,tʰkʰvä,ti,,du,θu,duː,tɨ,,,,tu,,tu,,,,,,,du,e̞ˈsi,
animal,ʒiˈvɔtno,aniˈmale,ə.niˈmal,,,,jʉːr,,tʋɐˈrɪnɐ,,t͡ʃɔuːr,,a.ni.mal,,,ˈʒivɔt͡ʃiːx,,,häjväni,,,aˈnɪvai̯l,ˈzvʲɛ.ʐɛ,ʒiˈʋáːw,ɡʲiːˈʋuːnɐs,ˈlo.ɛ̃n,tsχɔwɛl,,,,tsχɔvɛli,,,ˈʒɪvot͡ʃɪx,anʲəvʲiː,dzîunìɛks,dir,,aniˈmal,tsχɔvɛli,ʒiˈvɔtnɔ,,kɛntʰɑˈni,tiːr,tiːɐ̯,ʐɨˈvotnəjə,,,,a.niˈmal,,ˌɐ.ni.ˈmaw,,,,,,,dyːr,ˈzo.o,
sun,ˈslɤntsɛ,ˈso.le,ˈsɔl,,poɖudu,ʋeda,suːl,de,ˈsɔnt͡sɛ,,sɔuːl,su:ɾjan,sɔ.lɛj,tūk,su:ɾijan,ˈsɫ̩ŋkɔ,,be:ɾdu,mʒɔrä,pottə,su:ɾjan,haɨ̯l,ˈswɔɲ.t͡sɛ,ˈsóːntsɛ,ˈsɑuleː,,miʒ,ɡriːn,tʃu:rja,suːl,mzɛ,ottə,,ˈslunt͡sɛ,ɟɾʲiənˠ,sāūle,,suˈlel,ˈsol,bʒä,ˈsɔnt͡sɛ,su:ɾje,ɑˈɾɛv,souːl,ˈzɔnə,ˈsont͡sə,ʋele,bi:ɖi,ˈsont͡sa,ˈso̯are,zʊn,ˈsɔɫ,poɾə,s̺ol,su:ɾjuɖu,suɾija,su:ɾja,su:rja,soːl,ˈi.ʎos,su:rijan
I,as,ˈi.o,ˈʒɔ,ɪk,nanna,na:nu,ˈjɑː(ɡ),i:,ˈjɑ,mi,eː,na:n,ʒə,ān,o:n,ˈja,ˈun,he:nu,mä,na:ʋə,ɲa:n,miː,ja,,ɐʂ,,mi,miː,na:n,eːɡ,mɛ,na,ɛk,jaː,mʲeː,ɛs,ɪk,ˈjew,ɟ͡ʝo,mä,jas,ja:nu,jɛs,jɛɣ,ɪç,ja,a:n,ae:n,,jew,ɪχ,ˈew,nanna,ˈew,ne:nu,ne:nu,na:nə,na:nu,jaj,eˈɣo,a:n
ear,uˈxɔ,ɔˈrekkjo,oˈɾə.ʎə,,keʋ,kiɾiju,øːra,xaf,ˈwuxɔ,,ˈɔira,ka:də,ɔ.ʁɛj,kekol,kili,ˈu.xɔ,,daɾti:,qʼudʒi,kiʋija,tʃeʋi,klɨːst,ˈu.xɔ,uˈxóː,ɐʊˈsʲɪs,skwaʁn,ʃdim,kleːʃ,kemi,,qʼuri,kiʋi,ʊər,ˈuxo,klˠuəsˠ,àws,oːr,awˈɾeʎo,oˈido,ʔudʒi,ˈuvɔ,kebi,ɑˈkɑnd͡ʒ,ˈeira,oːr,ˈuxə,kekal,kʰebda,ˈvuxa,uˈre.ke,ˈɔɪ.əʁ,o(w).ˈvi.ðu,keʋu,,tʃeʋi,keʋ,kemi,kiʋi,øːrə,aˈfti,keʋə
wind,ˈvʲatər,ˈvɛn.to,,,,,vɪnd,,ˈʋʲiter,,ˈvɪntʊɹ,,vɑ̃,,,ˈvi̯ɛtɔr,ɛːɹ,,iχi,,,,vʲatr,,ˈʋʲeːjɛs,ˈɑːvɛl,bikʰw,ɡiː,,,kʰäri,,,ˈviːtr̩,ɡeː,vɛ̄ːjʃ,ʋɪnt,,ˈbjento,bɔriä,ˈvɛtɛr,,kʰɑˈmi,ˈvɪntʏr,vɪnt,ˈvʲetʲɪr,,,,,,ˈvẽ.tu,,ˈbento̝,,,,,ʋend,,
few,,ˈpɔ.ko,ˈpɔk,,,,foː,,ˈmɑlo,,,,pø,,,ˈmaːlo,,,mtsikʰä,,,əˈχədɨ̞ɡ,ˈma.wɔ,mâlo,,,mɔid,,,,tsɔtʼä,,,ˈmaːlo,bʲɔɡ,,ˈʋɛi̯nəx,,,tʃʼitʃʼɛ,ˈmaɫku,,kʰitʃʰ,,ˈveːnɪç,nʲɪˈmnoɡʲɪj,,,,puˈt͡sin,,ˈpow.kuʃ,,,,,,,fɔː,ˈliɣos,
ice,lɛt,ˈɡjat.t͡ʃo,ˈʒɛl,iːs,,,,,,,ˈʊiːsʊɹ,,ɡlas,,,ˈʎat,,,buzi,,,jaː,lut,ˈléːt,,,kʼwärɛm,,,iːs,qʼinuli,,ə̟i̯s,lɛt,əiɾʲ,lædus,ɛi̯s,,ˈɟ͡ʝelo,ʔini,mras,,sɑˈrujt͡sʰ,iːs,aɪ̯s,lʲɵt,,,lʲot,,,ˈʒe.lu,,ˈʃe.ʊ,,,,,iːs,ˈpaɣos,
night,nɔʃt,ˈnɔtːe,ˈnit,ˈnaxt,mulipe,la:n,natː,nam,ˈnʲit͡ʃ,,nɔʰtː,iɾa:ʋə,nɥi,tūk,ekka:ɖə,ˈnɔt͡s,ˈnaːt,ɾa:ti,sɛri,ədlə,ɾa:tɾi,noːs,nɔt͡s,noːtʃ,nɐkˈtɪs,,lɛtʰ,ɛi,andi,nɑtː,ʁämɛ,iɾə,naχ,not͡s,ˈiːhə,nakts,nɑxt,ˈnɥɛtʃ,ˈnot͡ʃe,sɛri,nɔc,ɾa:tɾe,ɡiˈʃɛɾ,nouʰt,naxt,not͡ɕ,tukud,ma:ha,not͡ʂ,ˈno̯ap.te,,ˈnoj.tɨ,naɾkaɖ,ˈnojt̪ɪ,ɾa:tɾi,siɾbedin,bajiʈə,ɾa:tɾi,nad̥,ˈnixta,e:lumaɾam
tie,,leˈɡare,,,,,,,,,,,lje,,,,,,mɛkʼiru,,,,ˈvʲɔ̃.zat͡ɕ,,ˈrʲɪʃʲtʲɪ,,libɛm,,,,däbmä,,,ˈpr̝̊ɪvaːzat,,,ˈknoːpə(n),,aˈtaɾ,dɔkʼiruä,,,kɑˈpɛl,,ˈbɪndn̩,ˈsvʲazɨvətʲ,,,,,,ɐˈtaɾ,,,,,,,benə,,
leaf,,ˈfɔʎʎa,ˈfu.ʎə,,a:ki:,patɾa,,pann,,,blɛaː,ele,fœj,ev,eɾs,ˈlist,,ha:tʰa,pʰävri,jali,ila,ˈdei̯lɛn,lʲiɕt͡ɕ,ˈlíːst,,ˈde.ljɛ̃n,bälɛ,ˈd̪olʲaɡ,ele,,pʰɔtʰɔli,elə,blɑːr,ˈlɪst,ˈdʲɪloːɡ,,blɑt,ˈfɥɛʎo,ˈoxa,pʰurtsɛli,,iɾa,tɛˈɾɛv,løyːv,blat,lʲist,ʈunɖe,atkʰa,lʲist,ˈfrun.zə,blat,ˈfo.ʎɐ,a:ki,ˈfo.ʎɐ,a:ku,a:k,elakaɳɖa,jele,blad,ˈfilo̞,e:lu
four,,ˈkwat.tro,ˈkwa.tɾə,,,,ˈfyːˌra,,t͡ʃoˈtɪrɪ̞,,ˈfʊiːɹa,,katʁ,,,ˈʃtiri,ˈkatəɾ,,ɔtʰχɔ,,,ˈpɛdwar,ˈt͡ʂtɛ.rɨ,ˈʃtìːrjɛ,kʲɛt̪ʊˈrʲɪ,,wɔʃtʰχw,kʲeːə(r),,,ɔtʰχi,,,ˈt͡ʃtɪr̝ɪ,ˈcahəɾʲ,tsætri,vir,ˈkatre,ˈkwatɾo,ɔtʰχi,,,t͡ʃʰɔɾs,ˈfjouːrir,fiːɐ̯,t͡ɕɪˈtɨrʲe,,,t͡ʂaˈtɨrɨ,ˈpa.tru,fiʀ,ˈkwa.tɾu,,,,,,,fiːrə,ˈte̞se̞ˌra,
die,oˈmiɾəm,moˈrire,muˈɾi,,ɖollatam,,,kahing,,,,tʃa:,mu.ʁiʁ,cay,keɖuoisi,ˈumri̯ɛc,vdɛs,keəa:na:keəida:h,ʁurä,maɾdo:g,maɾikkuga,,uˈmʲɛ.rat͡ɕ,,ˈmʲɪrʲ.tʲɪ,,dägrä,,tʃa:ɭa,,sikʼvdili,sa:ʋadə,,ˈumr̝iːt,,mīɾt,ˈdoːtxaːn,,,ʁurä,,sajjaɾa,mɛrˈnɛl,ˈteiːja,ˈʃtɛʁbən,ʊmʲɪˈratʲ,tukud,kʰena,,muˈri,,mu.ˈʁeɾ,ha:,,tʃatʃtʃipo:ʋu,tigte:n,tʃ:ɭa,sa:ji,dø,peˈθeno,ta:ʋə
here,ˈtuk,kwa,əˈki,,,,hæːr,,,,,,i.si,,,,,,äkʰ,,,,tu,ˈtúːkaj,tʃʲɛ,,ämɛtʃu,,,,äkʰ,,,ˈtoto,,,ɦir,,aˈki,tʰäkʰ,ˈtuka,,ɑjsˈtɛʁ,çɛːr,hiːɐ,zʲdʲesʲ,,,,aˈit͡ʃʲ,,ɐˈki,,,,,,,,,
snake,zmiˈja,serˈpɛn.te,ˈseɾp,,,,ˈʊrm,,,,,,sɛʁ.pɑ̃,,,ˈɦat,ˈɟ͡ʝaɾpəɹ,,tsʼitsʼilä,,,nei̯dr,vɔŋʂ,ˈkàːtʃa,ɡʲiːˈʋaːtʲeː,ˈnaɛr,hwidʒ,,,,gvɛli,,slɑŋ,ɦat,ˈn̪ˠæhəɾʲ,tʃūska,slɑŋ,,serˈpjente,gvɛri,,,ɔt͡sʰ,ˈstnauːkʏr,ˈʃlaŋə,zmʲɪˈja,,,zʲmʲaˈja,ˈʃarpe,ʃlaŋ(ɡ),ˈkɔ.bɾa,,ˈsɛɾpe̝,,,,,,ˈfiði,
walk,ˈxɔdʲə,kammiˈnare,kə.miˈna,,naɖam,,ɡoː,tʃeɾɾing,,,,naɖə,maʁ.ʃe,tūk,naɖaɾɾə,ˈiːsc,ˈɛtsi,he:kpo,gɔlvä,naɖi,naɖakkuga,ˈkɛrðɛd,iɕt͡ɕ,,ˈɛjːtʲɪ,,lizɛläl,,naɖa,,siäruli,naɖəʋadə,lʊəp,jiːt,ʃuːlʲ,iɛ̂t,ˈloːpə(n),,kamiˈnaɾ,gilulä,ˈɔdi,naɖapaɾa,kʰɑjˈlɛl,ˈkauŋka,ˈlaʊ̯fən,xɐˈdʲitʲ,tukud,e:kʰna,,ˈmer.d͡ʒe,,ɐ̃.ˈdaɾ,taka,,naɖutʃu,naɖus,naɖa,naɖə,ɡɔː,,naɖʋu
sew,ˈʃijə,kuˈtʃire,kuˈzi,,,,,,,,,,kudʁ,,,,,,ɔtʃʼu,,,,ʂɨt͡ɕ,,ˈsʲuːtʲɪ,,liʃχbi,,,,kʼɛrvä,,,,,ʃūːt,ˈnaːjə(n),,ko.ˈser,tʃʼälä,,,kɑˈɾɛl,ˈsøyːma,ˈnɛːən,ʂɨtʲ,,,ʂɨt͡sʲ,,,,,,,,,,syː,,
smoke,,,ˈfum,,kumpo:ɖ,,,mo:ʃ,dɪm,t̪ɔʰtʲ,ˈɹɔiːjkʊɹ,pukai,fy.me,tūk,pukuɖti,ˈdim,,mo:ha,kʼɔmä,pəggi,puka,muːɡ,dɨm,ˈdím,,,zinqʰ,ˈd͡ʒeːax,poge,,bɔli,hoge,,diːm,ˈdʲat̪ˠəx,,roːk,,ˈumo,kʼumä,,poga,t͡suχ,ˈreiːkʏr,ʁaʊ̯x,dɨm,poa:g,mosaga,dɨm,,,ˈfu.mu,poja,ˈfume̝,poga,pog,poge,hoge,røj,kaˈpno̞s,pegu
not,nɛ,non,ˈno,ˈnɛt,ille,,ˈɪnˌtɛ,a:xa,ˈnɛ,,ˈɪʰtʃːɪ,ille,nə,tūk,a:ɖudi,,nʊk,mala:,vär,ila,illa,dɪm,ɲɛ,ˈnɛ́,,,dɛmɛ,,ille,²ɪçːə,är,kulle,ni,nɛ,n̠ʲiː,,nit,,no,vär,,a:tu,t͡ʃʰ,ˈɛhcɪ,nɪçt,nʲɪ,tukud,mala,nʲe,nu,nit,nɐ̃w̃,helle,ˈnʊŋ,le:du,ka:du,ille,alla,ekə,ðe̞,illa
push,,ˈspindʒere,əmˈpə.ɲə,ˈtrjoːə,,,²ɧʉːta,,,,,,pu.se,,,ˈtɫat͡ʃic,,,mɛkʼäntʃʼinu,,,,pxat͡ɕ,,,,likʰχɛ,,,,mitsʼɛvä,,,ˈtlat͡ʃɪt,,,ˈdyu̯ə(n),,empuˈxaɾ,ɛkʼɔkʼinä,,,həˈɾɛl,ˈr̥ɪnta,ˈdʁʏkŋ̩,tɐlˈkatʲ,,,,,,ẽ.pu.ˈʁaɾ,,,,,,,skɔbɘ,,
wash,,,rənˈta,,,,,,,,,,la.ve,,,,,,ɔtʃχu,,,ˈɡɔlχɪ,mɨt͡ɕ,,,,liʃqʼwdi,,,,rɛtsχvä,,,miːt,nʲɪɟ,mazɡâːt,ˈʋɑsə(n),,,rtʃχuälä,,,ləˈvɑl,θvɔː,ˈvaʃən,mɨtʲ,,,,,,lɐˈvaɾ,,,,,,,,,
name,ˈimɛ,ˈno.me,ˈnɔm,,pedeɾ,doru,namn,pin,iˈmjɑ,,naun,pe:ɾə,nɔ̃,pidir,pe:ɾ,ˈmɛnɔ,ɛməɾ,na:mi,dʒɔχɔ,pja:ɾə,peɾə,ˈɛnʊ,ˈi.mʲɛ,iˈméː,ˈvɐrːdɐs,,ʒäχɛ,,pe:ɾu,,säχɛli,esaɾə,,ˈjmɛːno,ˈanʲəmʲ,vàːɾds,naːm,,ˈnom.bɾe,säχɛli,,pudaɾə,ɑˈnun,napn,ˈnaːmə,ˈimʲə,tukud,na:me,jiˈmʲa,ˈnu.me,nɔmɛn,ˈno.mɨ,poɾol,,pe:ɾu,pe:ɾ,peda,hesaru,,ˈo̞no̞ˌma,pe:ɾ
thou,ti,t̪u,ˈtu,,nimma,ninu,dʉː,ni:,ˈtɪ,hu,tʰʉuː(w),ni,ty,īn,ni,ˈti,,ni:n,si,ni:jə,ni,tiː,tɨ,ˈtíː,tʊ,,si,,ni,,ʃɛn,ni,,tɪ,t̪ˠuː,,ɣɛi̯,,ˈtu,si,ti,i,du,θu,duː,tɨ,in,ni:n,,tu,,tu,nimme,,ni:ʋu,ni:nu,ni:nə,ni:nu,du,,ni:ja
eye,oˈkɔ,ˈɔk.kjo,ˈuʎ,ɪə̯x,koɳɖ,kanu,ˈøːˌɡa,xan,ˈɔkɔ,s̪uːl,ˈɛiːja,kaɳɳə,œj,kan,kaɳ,ˈɔkɔ,sɒj,a:ndu,tʰɔli,kaɳɳu,kaɳɳə,ˈɬəɡad,ˈɔ.kɔ,ɔˈkóː,ɐˈkʲɪs,ˈla.ɡat,tʰɛ,suːlʲ,kaɳɳə,²æʉɡə,tʰväli,kaɳɳə,oəχ,ˈoko,sˠuːlʲ,ats,oːx,,ˈoxo,tʰɔli,ˈɔkɔ,kaɳɳu,ɑt͡ʃʰkʰ,ˈøyːɣa,ˈaʊ̯ɡə,ɡlas,kaɳul,kʰann,ˈvoka,okʲ,,ˈo.ʎu,kəɖə,ˈoʎʊ,kannu,kan,kaɳɳə,kaɳɳə,øjə,ˈmati,kaɳɳə
wing,kriˈlɔ,ˈala,ˈa.lə,,,,ˈvɪŋˌɛ,,,,ˈvɔŋkʊɹ,,ɛl,,,ˈkriːdɫɔ,kɾa,,msvä,,,ˈadai̯n,ˈskʂɨ.dwɔ,ˈkrìːlɔ,,ˈas.kɛl,kʼäbərdʒ,ˈskiːən,,,pʰrtʰä,,,kr̝̊iːdlo,ˈʃcɪhɑːn,spàːɾns,,,ˈala,suä,,,tʰɛv,ˈvaiŋkʏr,ˈflyːɡl̩,krɨˈlo,,,krɨˈɫo,,,ˈa.zɐ,,aː,,,,,,,
and,i,e,ˈi,ɛn,,,ɔ,,ˈi,,oː,,e,,,,ðɛ,,dɔ,,,,i,in,,,i,,,oː,dä,,ɛn,a,ˈɑɡəsˠ,ùn,ɛn,,ʝ,dɔ,i,,ɛv,ɔːɣ,ʊnt,i,,,i,ʃi,ʊn,ˈɛ,,,,,,,ˈɒw,ce̞,
hair,koˈsa,,kəˈbəʎ,,dʒuʈʈul,bana,hoːr,puʒʒɛ,wɔˈlɔsʲːɐ,,hɔaːɹ,muɖi,ʃə.vø,tūk,mi:ɾs,,ˈcimɛ,ta:li,tʰɔmä,ta:kəɾə,muɖi,ɡwaːɬd,ˈvwɔ.sɨ,ˈláːs,,,pʰätʰw,,tilami,hoːr,tʰmä,oɾame,,ˈvlasɪ,ɡɾˠuəɟ,mats,ɦaːr,,kaˈbeʎo,tʰumä,ˈkɔsa,ku:dʒal,,hauːr,haːɐ̯,ˈvoləsɨ,tʃendi,tʃuʈʈi,ˈvoɫas,,hɔʁ,kɐ.ˈβe.lu,kel,kaˈβ̞elʊ,veɳʈɾukalu,ti:ɾu,telami,kūdalu,,,manɖə mi:ɾə
rope,vəˈʒɛ,ˈkɔrda,ˈkɔɾ.də,,,,,,,,,,kɔʁd,,,ˈɫanɔ,liˈtaɾ,,tʰɔkʼi,,,r̥aːf,ˈlʲi.na,,,kɔrdɛn,tʰækʼw,,,,tʰɔkʼi,,,,tʲiad̪ˠ,àwkla,,,ˈkwerda,tʰɔkʼi,ˈjaʒɛ,,pɑˈɾɑn,ˈreiːpɪ,zaɪ̯l,vʲɪˈrʲɵfkə,,,vʲaˈrou̯ka,,,ˈkɔɾ.dɐ,,,,,,,tɔv,,
stand,,,,ˈsteən,nilla,,,saling,,,,nil,ɛ.tʁə d(ə).bu,nilp,mukkaɖuɾil,ˈstaːc,ri,hilpo,dɔdginu,ə:ɭ,nilkuga,ˈsɛvɨ̞ɬ,stat͡ɕ,,,,lignɛ,,nindʒo,,dgɔmä,nippə,,staːt,ʃasˠ,stāːvɛ̂ːt,staːn,,,gɛrinä,,untaɾa,kɑŋɡˈnɛl,ˈstanta,ˈʃteː.ən,stɐˈjætʲ,tukud,idʒdʒna,,,,pɨɾ.mɐ.nɨ.ˈseɾ,nil,,niltʃonu,ni:ma:n,nində,nintiko,,ˈstekome,ninnatukə
fire,ˈɔɡən,ˈfwɔko,ˈfɔk,fjuə̯r,kis,dankeɾe,ˈɛld,xa:xaɾ,wɔˈɦɔnʲ,ˈtʰʲenə,,neruppu,fø,kic,ti:ttə,ˈɔɦɛɲ,zjaɾm,tʃitʃadu,dätʃχuri,tissə,te:,taːn,ˈɔ.ɡʲɛɲ,ɔ̀ːɡənʲ,ʊɡˈnʲɪs,ˈtɑ̃ːn,lɛmɛsg,,ti:,ɛld,tsɛtsχli,kitʃtʃə,fyːr,ˈoɦɛɲ,ˈtʲɪnʲə,uɡuns,vyr,,ˈfweɡo,dätʃχiri,,tuʋu,kəˈɾɑk,ˈɛltʏr,ˈfɔʏər,ɐˈɡonʲ,tukud,tʃitʃtʃ,aˈɣonʲ,fok,,ˈfo.ɣu,taɖmi,ˈlu.mɪ,nippu,kiss,titta,benki,il,foˈtça,nippu
