word,zu,xub,hy,ar,yea,ml,mk,es,gd,ka,yi,ny,kxv,tg,sv,kff,de,th,ro,cs,ru,za,lt,bfq,hi,gv,cy,te,kfe,liv,he,pt,pl,bg,ur,gdb,vro,hu,ca,brh,mjt,ko,my,ug,ga,sq,bn,lb,ku,kfa,ja,gl,nl,nn,ta,vot,tcy,tr,az,ms,en,br,tcx,et,km,is,as,ps,vep,be,fa,kfb,pci,uk,xmf,sva,sk,fr,fo,el,id,af,oc,krl,vi,la,bo,kru,tl,kn,gon,lo,da,mt,sl,lv,ba,fy,fi,se,mn,lzz,sa,it
burn,,bja:ɭ,ajɾˈvɛl,ħa.ra.qa,tʃu:ɖə,katikkuga,ˈɡɔɾi,aɾˈdeɾ,ɫ̪ɔʃɡ̊ʲ,tsʼvä,,,,,,maɳɖu,ˈbʀɛnən,maj˥˩,,ˈɦor̝ɛt,ɡɐˈrʲetʲ,,,kitʃi:kdə,d͡ʒəl.nɑː,,ˈɬɔsɡɪ,ka:lu,ka:to,ˈpɑlːɨ,,ɐɾˈdeɾ,ˈpa.lʲit͡ɕ ɕɛ,,dʒəlna,tukud,ˈpːɑlɑmɑ,ˈeːɡ,,xa:xaɾ tinning,me:da,,làʊɴ,,d̪ˠoːɟ,,,,,tʃu:ɖə,moju,,ˈbrɑndə(n),,eɾi,ˈpɑlɑː,pottaʋaɾa,,,,bɝn,,ti:kku ka:ttiti,ˈpɤlemɑ,ṭut,ˈprɛnːa,zɔ.la,,ˈpɑlɑdɑ,ɣaˈret͡sʲ,suːxˈtæn,gonɖka,tūk,,tʃʼuälä,liʃχi,,bʁy.le,,,,,,ˈpɑluo,t͡ɕaj˧˦,ˈaːr.de.oː,,olna,,suɖu,niɾus,,,,,dekt,,,ˈpɑlɑː,,,ɔtʃʼu,,
worm,isíɓuːnɡú,,vɔɾtʰ,duː.da,,,,ɡuˈsano,,tʃʼiä,,,,kirm,,,,nɔːn˩˩˦,,ˈt͡ʃɛrf,t͡ɕerfʲ,,,,kiː.ɽɑː,beˈʃtʲeːɡ,,,,ˈborʲ,toˈla(ʔ)at,ˈvɛɾ.mɨ,ˈrɔ.bak,ˈtʃɛrvɛj,kiɽa,,ˈhusː,ˈkukɒt͡s,ˈkuk,,,,tìɡàʊɴ,,pʲeːʃtʲ,kɾimb,,muə̯t,,,d͡zẽ̞ɲ̟t͡ɕɨᵝː,ˈbɛɾme̝,,,,ˈmɑokːɤin,,,,,wɜːm,pʁɛ̃,,ˈusː,ṭṅ̥kūv,ˈmaθkʏr,,,ˈtʃundtʃ,,,,,,tʃʼiä,mətʼ,ˈt͡ʃɛrw,vɛʁ,,sku.ˈli.ci,,,,ˈuotːø,zun˧˧,ˈwer.mis,,,,,,,,,ˈtʃə́rw,,qʊ̞rt,,ˈmɑto,,,tsʼitsʼi,,ˈvɛrme
at,,,,ˈʕind̪æ,,,vɔ,en,,zɛ,,,,,poː,,an,tʰiː˥˩,la,u,vɛ,,pɐs,,pəɾ,,ʊrθ,,,ˈjuːsɨ,,ˈa,u,,,,ˈl,,a,,,,m̥à,,ə,ˈnə,,,,,de̞,,ɔp,poː,,ˈlːɑ,,,,di,æt,,,ˈl,,,,,ˈl,,dæɾ,,,,,ʒi,,a,ʊiː,ˈston,,,,ˈlːɑ,,in,*la,,,,,tʰiː˧˧,,,pri,,,,ˈlːɑ,,,,,a
fight,,,kərˈvɛl,qaː.ta.la,,,,peleˈaɾ,,tʃχubi,,,,,,,kɛm(p)fən,suː˥˩,,ˈbojovat,ˈdrat͡sːə,,,,ləɽ.nɑː,,,,,ˈt̪ɑplɨ,,lu.ˈtaɾ,ˈval.t͡ʂɨt͡ɕ,,,,ˈtːɑpːlɤmɑ,ˈhɒrt͡sol,ʎujˈta,,,ta̠tʰuda̠,jàɴpʰjɪʔ,,t̪ˠɾˠɪdʲ,,,,,,,,ˈstrɛi̯də(n),,,ˈtɑpːɤɑ,,,,,faɪt,,,ˈʋɤitlemɑ,vāytp´,,zũza,,ˈtorɑtɑ,,,,,,tʃχupʼi,litsuäl,ˈbɔjɔvac,batʁ,,,,,,ˈtoruɑ,t͡ɕiən˧˦ ʔɗəw˧˦,ˈpuɡ.noː,,,a.ˈwaj.in,,,tɔː˧˧ suː˨˩,,,,,,,ˈtɑpelːɑ,,,ɔkʼɔkʼidinu,,lɔt.ˈta.re
five,,,hiŋɡ,xam.sa,,,,ˈθinko,koːɡ̊ʲ,χutʰi,fɪnf,,,,fɛm,,fʏnf,haː˥˩,t͡ʃint͡ʃʲ,ˈpjɛt,pʲætʲ,,,,pɑ̃ːt͡ʃ,kwɛɡ,pɨ̞mp,,,ˈviːʒ,,ˈsĩ.ku,pʲɛɲt͡ɕ,,pãtʃ,,ˈviːsː,ˈøt,ˈsiŋk,,,ta̠sʰʌ̹t̚,ŋá,bɛʃ,kuːɟ,pɛs(ə),,ˈfenef,,,it͡sɨᵝ,,vɛi̯f,,,ˈviːz,,beʃ,beʃ,limə,faɪv,ˈpɛmp,,ˈʋiːs,p̥rāṃ,fɪmː,pãs,pinˈdzə,ˈviʒ,,pʰænd͡ʒ,,,ˈpjɑtʲ,χutʰi,wɔχuʃd,ˈpɛc,sɛ̃k,fɪmː,ˈpe̞(n)de̞,,,siŋk,ˈviːsi,nam˧˧,ˈkʷiːn.kʷe,*lŋa,,liˈma,,,haː˨˩,,,péːt,pìɛtsi,bʲiʃ,,ˈʋiːsi,ˈvihːta,tʰaw,χutʰ,pɐ́ɲ.t͡ɕɐn̪,ˈt͡ʃin.kwe
skin,isíkʰuːmba,to:lə,mɑʃk,d͡ʒild,to:lu,toli,,,,kʼäni,heɪt,ˈkʰu.ᵑɡú,,pɵːst,hʉːd,to:l,haʊt,pʰiw˩˩˦.naŋ˩˩˦,ˈpjele,ˈkuːʒɛ,ˈkoʐə,naŋ˨˦,ˈôːd̪ɐ,to:lə,t̪ʋə.t͡ʃɑː,ˈkraːɣən,kroːɨ̯n,to:lu,to:lu,ˈnoːgɨ,ɔʁ,ˈpɛ.lɨ,ˈsku.ra,ˈkɔʒə,t̪ʋətʃaː,tal,ˈnɑhkː,ˈbøːr,ˈpeʎ,sil,tʃa:na,sʰa̠ɭɡa̠t̚,ʔəjè,,ˈkɾˠacən̪ˠ,ləkuɹə,,hæu̯t,ˈt͡ʃɛɾm,to:lə,,,ɦœy̯t,,to:lə,ˈiho,tʃeɾma,,dæˈri,kulet,skɪn,ˈkʁoːχɛn,tu:ɾs,ˈnɑhk,s̥paek,huːð,sal,,ˈnɑhk,ˈskura,poːst,to:l,tōl,,tʼqʼɛbi,kʼæn,ˈkɔʒa,po,,ˈðɛɾma,,,pɛl,ˈnɑhkɑ,zaː˧˧,ˈku.tis,,tʃapʈa,ba.ˈlat,togalu,to:l,,,ˈdʒɪldɐ,ˈkòːʒa,âːda,tʲi.ˈrɪ̞,,ˈiho,ˈlijːkiː,arʲs,tʼkʼɛbi,,ˈpɛlle
sit,,ku:ɾsu,nəsˈtɛl,d͡ʒa.la.sa,iɾaiku,iɾikkuga,,senˈtaɾ,,dʒdɔmä,,,,,,kudda:,ˈzɪtsn̩,naŋ˥˩,,ˈsɛɟɛt,sʲɪˈdʲetʲ,,sʲeːˈdʲeːtʲɪ,kuɭəʋə,bɛʈʰnaː,,ˈei̯sdɛð,ku:ɾtʃo,bʰulo:gam,ˈist̪ɨ,jaˈʃav,iʃ.ˈtaɾ,ˈɕɛ.d͡ʑɛt͡ɕ,sɛˈdʲɤ,,undu,ˈisːtːmɑ,ˈyl,ˈsɛw.ɾə,tu:ling,hokpo,a̠nt͈a̠,tʰàɪɴ,,sˠɪɟ,ulɛm,ˈbɔʃa,,,aɭe,sɨᵝɰᵝa̠ɾɯ̟ᵝ,,ˈzɪtə(n),,ukka:ɾə,ˈisːuɑ,kullaɾa,,oturˈmɑχ,dudoʔ,sɪt,,eɾakkaɾ,ˈistumɑ,ʾṅ̥guy,ˈsɪːtja,bɔɦ,,ˈiʃtːɑ,,neʃæsˈt̪ʰæn,udə,tūk,seˈdʲite,dɔχunä,lisgwrɛ,,,,ˈkaθome,,,,ˈistuo,ŋoj˨˩,ˈse.de.oː,,okʰna,ʔu.mu.ˈpoʔ,kuɭitiko,udda,naŋ˧˧,seðə,ʔaˁːt,ˈsɛdèːti,,,,ˈistuɑ,,sʊːx,dɔχunu,,seˈdere
ash,uḿ̩loːtʰa,pi:di,moˈχiɾ,ra.maːd,bu:di,tʃa:mbal,,θeˈniθa,,pʰɛrpʰli,,t͡ʃiˈpa.ɽa,,,,bu:ɖida,ˈaʃə,tʰaw˥˩,,ˈpopɛl,ˈpʲepʲɪl,,,kolabu:di,rakʰ,,ˈɬɨ̞dʊ,bu:ɖida,po:du atukə,ˈt̪uːgɨ,,,ˈpɔ.pʲuw,ˈpɛpɛl,rakʰ,niɖ,ˈtːuhkː,ˈhɒmu,,his,bʰumi,t͡ɕe̞,pjà,,l̪ˠuə,,,æʃ,ˈxwɛliː,bu:di,,,ɑs,,sa:mbal,ˈtuhkɑ,tʃu:nja,ˈcʏl,,abu,ˈæʃ,ˈlyːdy,pu:di,ˈtuhk,kṃñm,ˈaska,saɪ,,ˈtuhk,ˈpopʲeɫ,xɒːkʲesˈt̪ʰæɾ,buggi,nīd,ˈpɔpʲil,nätʃʼvi,kʰæm,ˈpɔpɔɫ,sɑ̃dʁ,ˈœska,,abu,,,ˈtuhkɑ,t͡ɕɔ˧˧,ˈki.nis,*ɡo.tʰal,tʃind,,bu:di,ni:ɾ,,,,pɛˈpéːw,,ˈkʏ̞l,ˈjɪskə,ˈtuhkɑ,,uns,nɔmtʃkʰä,,
die,fá,maɾdo:g,mɛrˈnɛl,ˈmaːta,tʃa:ɭa,maɾikkuga,,,,sikʼvdili,,,,murdæn,,ɖollatam,ˈʃtɛʁbən,taːj˧,muˈri,ˈumr̝iːt,ʊmʲɪˈratʲ,taːi˨˦,ˈmʲɪrʲ.tʲɪ,sa:ʋadə,məɾ.nɑː,,,tʃatʃtʃipo:ʋu,ta:ʋə,ˈkuːolɨ,,mu.ˈʁeɾ,uˈmʲɛ.rat͡ɕ,oˈmiɾəm,mərna,tukud,ˈkːuːlmɑ,ˈmɛkhɒl,muˈɾi,kahing,keəa:na:keəida:h,t͡ɕuk̚t͈a̠,θè,,,vdɛs,,,,tʃ:ɭa,ɕinɯ̟ᵝ,,ˈdoːtxaːn,,tʃa:,ˈkoːlːɑ,sajjaɾa,œlˈmɛc,œlˈmæk,mati,daɪ,,keɖuoisi,ˈsuremɑ,tāy,ˈteiːja,mɔɹ,,ˈkoldɑ,,moɾˈd̪æn,tigte:n,cay,,ʁurä,dägrä,ˈumri̯ɛc,mu.ʁiʁ,,peˈθeno,,,,ˈkuolːɑ,t͡ɕet̚˧˦,ˈmo.ri.or,,kʰena,,sa:ji,ha:,taːj˩˧,dø,mɪːt,,mīɾt,,,ˈkuolːɑ,ˈjaːpmiːh(t),,ʁurä,mɐ́.ɽɐ.t̪i,moˈrire
yellow,,mandʒəla:ngi,dɛˈʁin,ʔasˁ.far,mandʒe,maɲa,,amaˈɾiʎo,ˈb̥ujə,qʼvitʰɛli,,,hingeɾi,,ɡʉːl,pasap,ɡɛlp,lɯa̯ŋ˩˩˦,ˈɡal.ben,ˈʒlutiː,ˈʐoltɨj,,,mandʒe,piˈla,,ˈmɛlɨ̞n,pasupu,mandʒə,ˈviːri,,ɐ.mɐ.ˈɾɛ.lu,ˈʐuw.tɨ,ʒɤlt,,tukud,ˈkːɤlːɑnɤ,ˈʃaːrɡɒ,ˈɡɾɔk,pu:ʃkun,balke,ˈno̞ːɾa̠tʰa̠,wà,,bˠiː,,,ɡie̯l,ˈzɛɾ,mandʒa,,,ɣeːl,,mandʒaɭ,ˈkɤltɑin,mandʒalu,sɑˈɾɯ,,kuneŋ,ˈjɛl.əʊ,,aɾdʒin,ˈkolːɑne,lẏaṅ,ˈkʏːlʏr,ɦa.lɔ.dʱia,ʒeɻ,ˈpɑkuine,ˈʐou̯tɨ,,pijuda,tūk,ˈʒɔu̯tei̯,ʔvintʰɛli,qʼwitʰɛl,ˈʒɫ̩tiː,ʒon,ˈkuːlʊɹ,,,χɪə̯l,,ˈkeltɑni,vaːŋ˨˩,ˈflaː.wus,,ba:lka,ˈdɪːlaʊ,haladi,piva:ʰd,,ɡuːl,ˈɪsfɐr,ruˈmɛ́n,dzæ̀ltæns,hɑˈrɯ̞,,ˈkeltɑinen,,ʃar,säri,,ˈdʒal.lo
egg,íːǃaːndá,mujɾgi,d͡zu,,muʈʈe,muʈʈa,ˈjajt͡sɛ,ˈwebo,u,kʼvɛrtsχi,,ˈd͡zi.ɽa,tala,tuxm,ɛɡː,gaɾbam,aɪ̯,kʰaj˨˩,ow,ˈvɛjt͡sɛ,(j)ɪjˈt͡so,kʲai˧˥,,moʈʈe,ən.ɖɑː,au,uːɨ̯,guɖɖu,mooʈə,ˈmunɑː,,ˈo.vu,ˈja.jɔ,jəiˈt͡sɛ,,kaɾbə,ˈmunɑ,ˈtojaːʃ,ˈɔw,xuahae,ɾaɾapa:ndu,ta̠ɭɡja̠ɭ,ʔṵ,,uː,,ɖim,e,,muʈʈe,ta̠ma̠ɡo̞,ˈɔ.βʊ,ɛi̯,ɛɡː,muʈʈe,ˈmunɑ,ketti,jumuɾˈta,jumurˈtɑ,təlo(r),ɛɡ,,muʈʈe,ˈmunɑ,s′ut,ˈɛkː,kɔ.ni,həɡəi,ˈmunɑ,ˈjajka,t̪ʰoχm,sanku,tūk,,märkʰväli,ləgrɛ,ˈvajt͡sɛ,œf,ɛkː,ta.oˈa,,ˈəiər,,ˈmunɑ,t͡ɕɨŋ˧˦,ˈoː.wum,*zɡoŋ.ŋa,bi:,ʔitˈloɡ,moʈʈe,mi:ndʒ,kʰāi,ɛːɡ,ˈbɐjdɐ,ˈjàːjtsɛ,uōla,kʏˈkæj,aːi̯,ˈmunɑ,ˈmonniː,,mäkʰväli,,ˈwɔ.vo
tail,úm̩sîːla,ba:lə,pɔt͡ʃʰ,ða.nab,ba:lu,ʋa:lə,ˈɔpaʃka,ˈkola,,kʼudi,,ˈmt͡ʃí.ɽa,,dum,svans,toka:ɾ,ʃvant͡s,haːŋ˩˩˦,ˈkʷadə,ɔtsas,xvost,,,pa:lə,pũːt͡ʃʰ,,ˈkənfɔn,vālamu,ʋa:lə,ˈt̪ɑbɑːr,,ˈʁa.bu,ˈɔ.ɡɔn,,,kindiɾ,ˈhɑnt,ˈfɒrok,ˈku.ə,liʈʈik,oli,k͈o̞ɾi,ʔəmí,,ˈɾˠɨbˠəl̪ˠ,,,,,ba:lə,ɕip̚po̞,ˈraβo̝,staːrt,,ʋa:lə,ˈæntæ,bi:la,kujɾuc,ɡujˈruɣ,eko(r),teɪl,,po:ɾsam,ˈsɑbɑ,kn̥duy,ˈhaːlɪ,nɛz,,ˈhænd,xvost,dæm,to:ka,tōka,,kʼudɛli,hækʼwɛd,ˈxvɔst,kø,,,,,,ˈhæntæ,ʔɗuəj˧˧,ˈkau̯.da,,kʰola,,ba:la,tokoɾ,,haːlə,,ˈrɛ́p,astɛ,qʊ̞j.ˈrʊ̞q,,ˈhæntæ,,,kʼudɛli,,ˈkoda
all,,o:ʈəja,bɔˈlɔɾ,kull,nanga:ɭə,ella,ˈsitɛ,ˈtodos,,qʼvɛlä,ˈalə,,hara,,ˈalˌa,anta:,al,,tot,ˈfʃɪxɲɪ,vʲesʲ,,ˈvʲɪ.sɐs,ella,səb,,ɪˈɡɨːd,anta,ella:m,ˈɑmɑː,kol,ˈto.ðu,ˈfʂɨ.stɛk,,,tukud,ˈkːɤikː,ˈmindɛn,ˈtot,kull,go:ʈahi:,ˈmo̞ːdɯn,ʔálóʊɴ,,ˈɪlʲə,ɡjiθ(ə),,,,ella,sɨᵝbe̞te̞,,ɑl,,ella:m,ˈkɤikːi,ma:ta,byˈtyn,,səmuə,ɔːl,,oʋʋoɖimo,ˈkɤik,,,xɔ.kɔ.lʊ,,ˈkɑik,,hæˈme,ma:k,tūk,,ärdzä,mæg,ˈfʃɛtɔk,tus,ˈat.lʊɹ,,sə.mu.a,,tut,ˈkɑikːi,,,,majin,,ella,bottig,,alə,,ˈʋə́s,,ˈbʏ̞.tæ,,ˈkɑikːi,,,iri,s̪ɐ́ɽ.ʋɐ,ˈtutto
hunt,,,vɔɾˈsɑl,isˁ.tˁaː.da,,,,kaˈθaɾ,ˈʃaɫ̪ak,nädirɔbä,,,,,ˈjɑːˌɡa,,ˈjaːɡən,,,ˈlovɪt,ɐˈxotʲɪt͡sə,,mʲɛˈdʲʒʲotʲɪ,,,,,,,ˈjɑkt̪ɨ,,kɐ.ˈsaɾ,pɔˈlɔ.vat͡ɕ,,,,ˈjɑhtːmɑ,ˈvɒdaːsik,kəˈsa,,,sʰa̠ɲja̠ŋɦa̠da̠,ʔəmɛ́laɪʔ,,ˈʃɛlʲɪɟ,,,ˈjo.en,,,ka̠ɾɯ̟ᵝ,,ˈjaːɣə(n),,,ˈpyːtæː,,,,,hʌnt,,,ˈkytːimɑ,prpāñ´,ˈveiːða,si.kaɹ kɔ.ɹa,,ˈmetsɑtɑ,palʲaˈvat͡sʲ,,,,,nädiruä,litʰχwær,,ʃa.se,,,,,,ˈmetʃːæstyæ,san˧˧ ʔɓan˧˦,ˈweː.nor,,,,,,,ˈjaːɡə,,lɔˈʋiːti,,,,ˈmetsæstæː,,,äbdʒɔbä,,katˈtʃare
wipe,,,səɾˈpʰɛl,ma.sa.ħa,,,ˈbriʃɛ,limˈpjaɾ,,tsʼmɛndä,,,,,,,ˈvɪʃn̩,t͡ɕʰet̚˦˥,,ˈuciːrat,vɨtʲɪˈratʲ,,,,,,,,,ˈpuːst̪ɨ,ˈneɡev,ˌes.fɾe.ˈɡa(ɻ),vɨˈt͡ɕɛ.rat͡ɕ,,mɪʈanaː,,ˈpːyhkːmæ,ˈtørøl,ə.ʃuˈɡa,,,ɕ͈it̚t͈a̠,θoʊʔ,,ˈkɪmʲɪlʲ,,,,,,,,ˈveː.ɣə(n),,,ˈpyhtʃiæ,,,,,waɪp,,,ˈpyhkimɑ,,,mɔ.sa,,ˈpyhktæ,,,,,,tsʼiminduä,likʼwtsæni,,e.sɥi.je,,,,,ejsyˈɣa,ˈpyhkie,law˧˧,ˈter.ɡoː,,,,,,,veskɘ,,,slāwtsîːt,,,ˈpyːhkiæ,,,ɔtsʼimidu,,aʃʃuˈɡare
bark,îːᶢǁʱôːlo,meɾto:lə,kɛˈʁɛv,li.ħaːʔ,to:lu,paṭṭa,,korˈteθa,,kʰɛrkʰi,,,,pɵːst,,beɾaɖu,ˈbɔʁkə,plɯa̯k̚˨˩,,ˈkuːra,kɐˈra,naŋ˨˦,ʒʲɪəˈvʲěː,paʈʈe,tʃʰaːl,ruːs,ˈr̥ɪskl̩,paṭṭa,kollutʃo,ˈkuːor,,,ˈkɔ.ra,koˈra,cʰal,tukud,ˈkːuːrʲ,ˈkeːrɛɡ,əsˈkɔɾ.sə,bund,bʰumi,na̠muk͈ʌ̹p̚t͡ɕ͈iɭ,ʔəkʰaʊʔ,,ɾˠuːsˠk,,,ʃuəl,,aʈʈe,,,sxɔrs,,paʈʈe,ˈkoːri,ketta,,,,bɑːk,,puʈkoɾi,ˈkoːr,,ˈpœr̥kʏr,ba.kɔ.li,,ˈkorʲ,kaˈra,,ɖanɖi maɖɖa,tūk,,tʼqʼɛbi,tʼɛpʰ,ˈku̯o.ra,e.kɔʁs,ˈpœɹ̥kʊɹ,,,bɑs,,ˈkuori,vɔ˧˩,ˈkor.teks,,o:ɖak,,nāru,to:l,,bark,,ˈlùːbjɛ,,qɑˈβɯ̞q,,ˈkuori,,xɔɮtʰəs,tʼkʼɛbi,ʋɐl̪.kɐ́,korˈtettʃa
think,,,mətɑˈt͡sɛl,,,,,penˈsaɾ,,pʰikʰri,,ɡaˈni.za,,,,,ˈdɛŋkən,kʰit̚˦˥,ɡɨnˈdi,ˈpr̝̊ɛmiːʃlɛt,ˈdumətʲ,,,,sotʃn̪aː,,ˈmɛðʊl,,,ˈmɨt̪lɨ,ħaˈʃav,pẽˈsaɾ,ˈmɨɕ.lɛt͡ɕ,,sotʃn̪aː,,ˈmɤtːlɤmɑ,ˈɡondolkodik,pənˈsa,,,sʰe̞ŋɡa̠kʰa̠da̠,twé,,capˠ,mɛnˈdɔj,,,ˈfɯkɯɾiːn,,kamukapu,,ˈdɛŋkə(n),,,ˈduːmɑtɑ,,,dyʃynˈmæk,fike(r),θɪŋk,,,ˈmɤtlemɑ,yl´,ˈhʏxsa,bʱɔ.ba,,ˈmeletɑdɑ,,ˌfekɾ kʲæɾˈd̪æn,,,ˈdumɐte,gurtʃämä,liskʼɔrɛ,ˈmisli̯ɛc,pɑ̃.se,,ˈsceftome,pi.kir,dəŋk,,ˈtuːmɑmɑijɑ,ŋi˦ˀ˥,ˈkoː.ɡi.toː,,,,,,,,ˈħaːsɛp,ˈmiːsliti,,,,ˈɑjɑtelːɑ,ˈjurːttaʃih(t),,ɔsimädu,,
in,,,mɛt͡ʃʰ,fiː,,,vɔ,en,,ʃi,,,,dær,iː,,ʔɪn,naj˧,ɨn,v,vɛ,,,,ən.d̪əɾ,,ən,,,ˈs,,ẽj̃,f,vɤ,,,ˈhn,bɒn,ən,,,,m̥à,,ɪ,ˈnə,,,,,ɲ̟i,,ɪn,iː,,ˈsːɑ,,,,,ɪn,,,ˈs,,,bʱi.tɔɹ,,ˈs,,dæɾ,,,,,sgä,,dɑ̃,ʊiː,en,,,,ˈsːɑ,t͡ɕawŋ͡m˧˧,in,,,sa,,,naɯ˦˥,,,ʋ,,,,ˈsːɑ,,tɔtʰər,,,ˈin
horn,úːpʰoːndo,kombbə,jɛʁd͡ʒˈjuɾ,qarn,kombə,kompə,,ˈkwerno,,rkʰä,,,,ʃɔːx,,komm,hɔrn,kʰaw˩˩˦,korn,ˈrox,rok,,ˈrä̌ːɡɐs̪,kombə,siːŋɡ,,kɔrn,kommu,bʰulo:gam,ˈsorɑ,,ˈʃi.fɾɨ,ruk,,sĩɡ,kaɾ gutʃul,ˈsːɑrv,ˈsɒrv,ˈba.ɲə,maɾgʰ,maɾgadu,p͈uɭ,d͡ʑò,,əiɾˠk,,,,,kombə,ka̠do̞,ˈkɔɾno̝,ɦoːrn,hʊrn,kombə,ˈsɑrvi,kombu,,bujnuz,,hɔːn,,ku:ɾ,ˈsɑrʋ,s̥naeṅ,hɔrtn,xiŋ,,ˈsɑrv,,ʃɒx,kommu,tūk,,kʰä,mitʃʼw,ˈrɔx,kɔʁn,hɔtn,,,,,ˈsɑrvi,sɨŋ˨˩,ˈkor.nuː,,maɾag,,kombu,koɾ,kʰao˩˨,,,ˈróːk,ɾaks,mʏ̞ˈɡʏ̞ð,,ˈsɑrʋi,ˈt͡ʃoɑ̯rːviː,ewər,kʰrä,ɕr̩ŋ.ɡɐ́,ˈkɔr.no
tooth,îːzîːɲo,pallə,ɑˈtɑm,san.na,pallu,pallə,,ˈdjente,,kʼbili,tsɔn,ˈd͡zí.no,palu,dændɔːn,ˈtand,palk,t͡saːn,fan˧,ˈdinte,zup,zup,heːu˥,,hallə,d̪ɑ̃ːt̪,,dant,pannu,pal,ˈɑːmbɑz,,ˈdẽ.tɨ,zɔmp,zɤp,d̪ãt̪,pa:lkill,ˈhɑmːɑsː,ˈfoɡ,ˈdent,danda:n,pa:ldu,i,θwá,t͡ʃiʃ,ˈfʲiəkəlʲ,,d̪ɑt̪,,,pallə,ha̠,,tɑnt,tɑnː,pallə,ˈɑmːɑz,ku:li,diʃ,diʃ,ɡiɡi,tuːθ,,paɾse,ˈhɑmːɑs,d̥ʰmeñ,tʰœnː,dãt,ɣɑʂ,ˈhɑmbɑz,,dændɒːn,palku,pel,,kʼibiri,ʃdikʰ,ˈzup,dɑ̃,tʰɔnː,ˈðɔndi,ɡi.ɡi,,,ˈhɑmːɑs,zaŋ˧˧,dens,*so,pall,,hallu,pal,kʰɛːw˨˩,tan,ˈsɪnːɐ,ˈzóːp,zùops,tɪ̞ʃ,,ˈhɑmːɑs,,ʃud,kʼibiri,d̪ɐ́n̪.t̪ɐ,ˈdɛnte
push,,,həˈɾɛl,,,,,empuˈxaɾ,,mitsʼɛvä,,,,,²ɧʉːta,,ˈdʁʏkŋ̩,dan˧,,ˈtlat͡ʃɪt,tɐlˈkatʲ,,,,d̪ʱə.keːl.nɑː,,,,,ˈlikːɨ,,ẽ.pu.ˈʁaɾ,pxat͡ɕ,,,,ˈtːoukːɑmɑ,ˈtol,əmˈpə.ɲə,,,miɭda̠,tʊ́ɴ,,,,,,,,,,ˈdyu̯ə(n),,,ˈtɤukːɑː,,itmec,,to.laʔ,pʊʃ,,,ˈtɤukɑmɑ,ruñ,ˈr̥ɪnta,,,ˈtunktɑ,,,,,,ɛkʼɔkʼinä,likʰχɛ,ˈtɫat͡ʃic,pu.se,,,doroŋ,,,ˈtungie,so˧˧,ˈpel.loː,,,,,,,skɔbɘ,,,,,ˈtrjoːə,ˈtyøntæː,,tuɮxəx,mɛkʼäntʃʼinu,,ˈspindʒere
tongue,ûːlîːmi,nelgi,lɛˈzu,li.saːn,na:ʋu,na:kə,ˈjazik,ˈlenɡwa,tʰʲɛŋɡə,ɛnä,tsʊŋ(ɡ),ɽiˈɽí.me,ʋenɖa:ɾu,zæˈbɔːn,ˈtɵŋˌa,na:like,ˈtsʊŋə,lin˦˥,ˈlimbə,ˈjazɪk,(j)ɪˈzɨk,lin˦˨,,na:lange,dʒiːbʱ,ˈtʃɛnʲə,ˈtavɔd,na:luka,na:lgə,ˈke̞ːʎ,laˈʃɔn,ˈlĩ.ɡwɐ,ˈjɛ̃.zɨk,ɛˈzik,dʒiːbʱ,na:ng,ˈkːiːl,ˈɲɛlv,ˈʎəŋ.ɡwə,duʋi:,taɖta,çjʌ̹,ʃà,,ˈtʲaŋə,ˈɟʑuhə,,t͡soŋ,ˈzɯmɑːn,na:ʋu,ɕi̥ta̠,,tɔŋ,,na:kkə,ˈtʃeːli,na:la:ji,ˈdil,dil,lidah,tʌŋ,ˈtɛwt,no:f,ˈkeːl,ʾṇ̥ṭāt,ˈtʰuŋka,zi.bʱa,ˈʒəbə,ˈkelʲ,jaˈzɨk,zæˈbɒ(ː)n,na:lka,nevãḍ,jɐˈzɪk,ninä,nin,ˈja.zik,lɑ̃ɡ,ˈtʰʊŋka,ˈɣlosa,,,ˈleŋɡo,ˈkieli,lɨəj˦ˀ˥,ˈlin.ɡʷa,*lt͡ɕe,takkha,ˈdi.laʔ,na:lige,ʋendʒeɾ,,tɔnɡə,,ˈjɛ̀ːzik,mɛ̀ːlɛ,tɪ̞l,,ˈkieli,ˈɲuo̯vtt͡ʃa,xiɮ,nɛnä,d͡ʑiɦ.ʋɑ́ː,ˈliŋ.ɡwa
he,jeːná,,nɑ,hu.wa,,,tɔj,el,ɛ,is,,ˈi.jé,,ɵ,hanː,,ʔeːɐ̯,kʰaw˩˩˦,,on,on,te˨˦,jɪs,,ʋəʱ,,eːv,,,ˈt̪æmɑː,(h)u,ˈe.li,ɔn,t̪ɔj,,,ˈtːimæ,ˈøː,ˈeʎ,,,kɯ,θù,u,ʃeː,,ˈʃe,,,,ka̠,ˈel,ɦɛi̯,,,ˈtæmæ,,o,ɔ,diə,ˈhiː,,,ˈtemɑ,gāt´,ˈhanː,xi,haɣə,ˈhæn,jon,ʔoː,,,ˈʋʲin,tʰinä,ɛdʒi,ɔn,il,,aˈftos,dia,,,ˈhæi,ʔajŋ̟˧˧ ʔəj˧˦,is,,,niˈja,,,kʰao˩˨,han,uː,ˈɔ́n,viɲʃ,uɫ,hɛi̯,ˈhæn,,,ɛjä,,ˈlui
