word,pt,sl,da,lzz,cs,sva,fy,uk,sk,oc,is,lv,br,gl,be,gv,ka,ca,ga,fo,it,cy,te,pl,gd,de,lt,nl,el,es,mk,bg,fr,ro,no,sv,sq,ru,xmf,af,yi,hy
heart,ko.ɾa.ˈsɐ̃w̃,sərˈtséː,jɛrtə,guri,ˈsr̩t͡sɛ,gwi,hɛt,ˈsɛrt͡se,sr̩tsɛ,kɔr,ˈçar̥ta,sîɾts,ˈkalɔ̃n,,ˈsert͡sa,kriː,guli,ˈkɔr,kɾˠiː,ˈjaɹ̥ʈa,ˈkwɔːre,ˈkalɔn,,ˈsɛr.t͡sɛ,,hɛʁts,ʃʲɪrʲˈdʲɪs,ɦɑrt,karˈðʝa,koɾaˈθon,ˈsr̩t͡sɛ,sərˈt͡sɛ,kœʁ,ˈinimə,²jɑrtə,ˈjɛrˌta,ˈzɛməɾ,ˈsʲert͡sə,guri,,,siɾt
many,ˈmũj̃.tuʃ,ʋɛˈlìːkɔ,manɡə,didɔ,ˈmnoɦo,mäsærd,,bɐˈɦɑtɔ,,,ˈmarkʏr,dāūdz,,,,,bɛvri,ˈmolt,əˈl̪ˠɑːnˠ,ˈmɛŋkʊɹ,,,,ˈvʲɛ.lɛ,ˈiməɣ,ˈfiːlə,dɐuɡ,veːl,,ˈmut͡ʃos,ˈmnɔɡu,,bo.ku,mult͡sʲ,,,,ˈmnoɡə,brɛli,bajə,aˈsax,ʃɑt
suck,,,,ɔtsʼu,,litʃigw,,,,,ˈsjuːa,sùːkt,,t͡ʃuˈt͡ʃaɾ,smaktat͡sʲ,,tsʼɔvä,ʃuˈkla,sˠuːɟ,,,,,ssat͡ɕ,ˈtʲo.al,ˈzaʊ̯ɡən,ˈtʲʃʲʊlʲpʲtʲɪ,ˈzœy̯.ɣə(n),,t͡ʃuˈpaɾ,ˈt͡sit͡sa,,sy.se,ˈsu.d͡ʒe,,,θiθ,sɐˈsatʲ,tsʼuälä,,,t͡səˈt͡sɛl
spit,kuʃ.ˈpiɾ,,spøtɘ,ntʃʼkʼväläpʰä,ˈplɪvnou̯t,litʼbənɛ,,,ˈpʎuc,,ˈr̥aiːca,spʎāwt,,kusˈpiɾ,,,pʰurtʰχɛbä,,,,spuˈtare,,,plut͡ɕ,,ˈʃpʊkŋ̩,,,ˈfti.nɔ,eskuˈpiɾ,ˈpɫuka,,kʁa.ʃe,,,,,plʲɪˈvatʲ,pʰurtʼinuä,,,tʰəˈkʰɛl
say,di.ˈzeɾ,ˈrɛtʃi,,ɔtʰkʰu,r̝iːt͡st,likʰwisg,,,ˈɦɔvɔric,,ˈseiːja,satsîːt,,diˈθiɾ,ɣavaˈrɨt͡sʲ,,tʰkʰmä,ˈdi,ˈabˠəɾʲ,siːja,ˈdi.re,,,ˈmu.vʲit͡ɕ,ˈapɪɾʲ,zaːɡən,sɐˈkʲiːtʲɪ,ˈzɛɣə(n),,deˈθiɾ,,ˈkazvəm,diʁ,ˈzitʃe,²sæɪɑ,ˈsɛjːa,θɛm,ɡəvɐˈrʲitʲ,tʰkʰuälä,sɛː,ˈzɔ.ɡŋ̩,ɑˈsɛl
sew,,,syː,ɔtʃʼu,,liʃχbi,,,,,ˈsøyːma,ʃūːt,,,ʂɨt͡sʲ,,kʼɛrvä,kuˈzi,,,kuˈtʃire,,,ʂɨt͡ɕ,,ˈnɛːən,ˈsʲuːtʲɪ,ˈnaːjə(n),,ko.ˈser,,ˈʃijə,kudʁ,,,,,ʂɨtʲ,tʃʼälä,,,kɑˈɾɛl
other,ˈo(w).tɾu,ˈdrùːɡi,andrə,tʃkʰvä,ˈdruɦiː,iʃgɛn,,ˈinʃɪj,ˈdruɦiː,,,,ˈalː,,ˈjinʂɨ,,sχvä,,ˈɛlʲə,,ˈal.tro,ˈaraɬ,,ˈin.nɨ,ˈelə,ˈʔandəʀə,,ˈɑn.dər,,ˈotɾo,,druk,otʁ,alt,,,,drʊˈɡoj,ʃχvä,,,ɑjl
tooth,ˈdẽ.tɨ,ˈzóːp,tan,kʼibiri,zup,ʃdikʰ,,,ˈzup,,tʰœnː,zùops,,,,,kʼbili,ˈdent,ˈfʲiəkəlʲ,tʰɔnː,ˈdɛnte,dant,pan̪ːu,zɔmp,,t͡saːn,,tɑnt,ˈðɔndi,ˈdjente,,zɤp,dɑ̃,ˈdinte,tɑnː,ˈtand,,zup,kʼibiri,,tsɔn,ɑˈtɑm
dog,ˈkɐ̃w̃,ˈpə́s,hun,dʒɔʁɔri,pɛs,ʒɛʁ,huːn,,ˈpɛs,ˈɡus,ˈhʏntʏr,,,,,ˈmɔːðə,dzäʁli,ˈɡos,ˈmˠad̪ˠɾˠə,ˈhʊntʊɹ,ˈka.ne,kiː,kukːa,pʲɛs,kuː,hʊnt,ʂuə,ɦɔnt,ˈscilos,ˈpero,,ˈkutʃɛ,ʃjɛ̃,ˈkɨj.ne,,hɵnd,cɕɛn,sɐˈbakə,dʒɔʁɔri,ɦɔnt,hʊnt,ʃun
in,ẽj̃,ʋ,,,v,sgä,,,,,,,,,,,ʃi,ən,ɪ,ʊiː,ˈin,ən,loː,f,,ʔɪn,,ɪn,en,en,vɔ,vɤ,dɑ̃,ɨn,iː,iː,ˈnə,vɛ,,,,mɛt͡ʃʰ
and,ˈɛ,in,ˈɒw,dɔ,a,i,ɛn,ˈi,,,ɔːɣ,ùn,,,i,,dä,ˈi,ˈɑɡəsˠ,oː,e,,,i,,ʊnt,,ɛn,ce̞,ʝ,i,i,e,ʃi,oː,ɔ,ðɛ,i,dɔ,ɛn,ʊn,ɛv
wash,lɐˈvaɾ,,,ɔtʃχu,miːt,liʃqʼwdi,,,,,θvɔː,mazɡâːt,,,,,rɛtsχvä,rənˈta,nʲɪɟ,,,ˈɡɔlχɪ,,mɨt͡ɕ,,ˈvaʃən,,ˈʋɑsə(n),,,,,la.ve,,,,,mɨtʲ,rtʃχuälä,,,ləˈvɑl
bad,ʁuˈĩ,ˈsláp,dɔːli,pʼätʼi,ˈʃpatniː,χɔlä,,,ˈzɫiː,,ˈvɔntʏr,,,,ˈdrenːɨ,,tsudi,doˈlent,ˈd̪ˠʊnˠə,ˈɪtlʊɹ,kaˈtːiːvo,druːɡ,t͡ʃeɖːa,zwɨ,ˈt̪ɔnə,ʃlɛçt,ˈbloːɡɐs,slɛxt,kaˈkos,ˈmalo,,,mo.vɛ,rəw,,ˈdoː.lɪ(ɡ),,plɐˈxoj,gläχä,,,vɑt
dig,,kɔˈpàːti,ɡraːvə,ɔntʰχɔru,ˈkopat,libərdʒɛ,,,ˈkɔpac,,,ɾakt,,eskaˈβaɾ,,,tʰχrä,kəˈva,ˈt̪ˠɔxəlʲ,,skaˈvare,,,ˈkɔ.pat͡ɕ,,ˈɡʁaːbən,,ˈɣraːvə(n),,ekskaˈbaɾ,,,kʁø.ze,,,,,kɐˈpatʲ,ntʰχɔruä,,,pʰɔˈɾɛl
fruit,ˈfɾu.ta,ˈsáːdɛʃ,frɔɡt,χilä,ˈovot͡sɛ,χil,,,ˈɔvɔt͡si̯ɛ,,ˈauːvœxstʏr,âwɡlis,fʁwɛs,ˈfɾojta̝,,meːs,χili,,ˈt̪ˠɔɾˠə,,ˈfru.tːo,fruːɨ̯θ,paɳɖu,ˈɔ.vɔt͡s,,fʁʊxt,ˈvai̯sʲʊs,vrʏxt,,ˈfɾuta,,plɔt,fʁɥi,,,ˈfrɵkt,,plot,χili,,fʁʊχt,pəˈtuʁ
hunt,kɐ.ˈsaɾ,lɔˈʋiːti,ˈjaːɡə,äbdʒɔbä,ˈlovɪt,litʰχwær,,,,,ˈveiːða,,,,palʲaˈvat͡sʲ,,nädirɔbä,kəˈsa,ˈʃɛlʲɪɟ,,katˈtʃare,,,pɔˈlɔ.vat͡ɕ,ˈʃaɫ̪ak,ˈjaːɡən,mʲɛˈdʲʒʲotʲɪ,ˈjaːɣə(n),,kaˈθaɾ,,,ʃa.se,,,ˈjɑːˌɡa,,ɐˈxotʲɪt͡sə,nädiruä,,,vɔɾˈsɑl
wife,es.ˈpo.za,ˈʒɛ̀ːna,,ɔχɔrdʒä,ˈmanʒɛlka,χɛχw,,druˈʐɪnɑ,,ˈfenno,ˈeiːjɪn.kʰɔːna,sīɛ̄va,ˈɡwʁɛːk,esˈposa̝,ˈʐonka,,tsɔli,ˈdɔ.nə,bʲanˠ,,ˈspɔ.za,ɡuˈrai̯ɡ,,ˈʐɔ.na,,,,vrɑu̯,,esˈposa,ˈʒɛna,ʒɛˈna,fam,,,hɵ̄sːtrʉ̂ː,ˈɡɾua,ʐɨˈna,ɔsuri,,,kin
burn,ɐɾˈdeɾ,,,ɔtʃʼu,ˈɦor̝ɛt,liʃχi,,,,,ˈprɛnːa,dekt,,,ɣaˈret͡sʲ,,tsʼvä,,d̪ˠoːɟ,,,ˈɬɔsɡɪ,kaːlu,ˈpa.lʲit͡ɕ ɕɛ,ɫ̪ɔʃɡ̊ʲ,ˈbʀɛnən,,ˈbrɑndə(n),,aɾˈdeɾ,ˈɡɔɾi,,bʁy.le,,,,,ɡɐˈrʲetʲ,tʃʼuälä,,,ajɾˈvɛl
nose,nɐˈɾiʃ,ˈnóːs,ˈnɛːsə,tʃχindi,nos,nɛpʰχwnä,,,,,nɛːv,,ˈfriː,naˈɾiθ,,st̪rudʲnʲ,tsχviri,ˈnas,sˠɾˠoːnˠ,nøːs,ˈna.zo,truːɨ̯n,,nɔs,s̪t̪ɾɔːn,ˈnaːzə,,nøːs,ˈmiti,naˈɾiθ,,nɔs,ne,,,ˈnɛːsˌa,,nos,tʃχvindi,nɪøs,,kʰitʰ
all,ˈto.ðu,ˈʋə́s,alə,iri,ˈfʃɪxɲɪ,mæg,,,ˈfʃɛtɔk,tut,,,,,,,qʼvɛlä,ˈtot,ˈɪlʲə,ˈat.lʊɹ,ˈtutto,ɪˈɡɨːd,,ˈfʂɨ.stɛk,,al,ˈvʲɪ.sɐs,ɑl,,ˈtodos,ˈsitɛ,,tus,tot,,ˈalˌa,ɡjiθ(ə),vʲesʲ,ärdzä,,ˈalə,bɔˈlɔɾ
worm,ˈvɛɾ.mɨ,ˈtʃə́rw,,tsʼitsʼi,ˈt͡ʃɛrf,mətʼ,,,ˈt͡ʃɛrw,,ˈmaθkʏr,,pʁɛ̃,ˈbɛɾme̝,,beˈʃtʲeːɡ,tʃʼiä,ˈkuk,pʲeːʃtʲ,,ˈvɛrme,,,ˈrɔ.bak,,,,,sku.ˈli.ci,ɡuˈsano,,ˈtʃɛrvɛj,vɛʁ,,,,kɾimb,t͡ɕerfʲ,tʃʼiä,,,vɔɾtʰ
foot,ˈpɛ,stɔˈpàːlɔ,foːd,tʼäbu,ˈnoɦa,lägæäm,,,ˈnɔɦa,pɛ,,,,ˈpɛ,naˈɣa,,tʼɛrpʰi,ˈpɛw,kɔsˠ,ˈfɔuːtʊɹ,ˈpjɛde,troːɨ̯d,,ˈstɔ.pa,kʰas,fuːs,,vut,ˈpoði,pje,,stəˈpalo,pje,piˈt͡ʃjor,fuːt,fuːt,kəm.bə,nɐˈɡa,närtʃäkʼutʃχi,,fʊs,vɔtkʰ
pull,pu.ˈʃa(ɹ),,trɛkə,ɔzdimu,ˈtaːɦnou̯t,libid,,tʲɐˈɦɑte,ˈci̯aɦnuc,,ˈtraːɣa,,,,t͡sʲaˈɣat͡sʲ,,mɔkʰätʃvä,tiˈɾa,,,t̪iˈrare,,,ˈt͡ɕɔŋ.ɡnɔɲt͡ɕ,,ˈtsiːən,,ˈtrɛkə(n),,tiˈɾaɾ,,,ti.ʁe,,,,,tʲɪˈnutʲ,zindäpʰi,,,kʰɑˈʃɛl
mouth,ˈbo.kɐ,ˈùːsta,mon,pʼidʒi,ˈuːsta,pʼil,ˈmulə,ˈrɔt,ˈuːsta,buko,ˈmʏnːʏr,mutɛ,ˈɡɵ̃ː.nu,,rot,ˈbiəl,pʼiri,ˈbo.kə,bʲia̯l̪ˠ,,ˈbokka,keːɡ,noːru,ˈu.sta,piaɫ̪,mʊnt,bʊrˈnɐ,mɔnt,,ˈboka,,usˈta,buʃ,,,mɵn,ˈɡɔjə,rot,pʼidʒi,mɔnt,,bɛˈɾɑn
year,ˈɐ.nu,ˈlèːtɔ,,tsʼänä,rok,zæ,iə̯r,,ˈrɔk,,auːr,,ˈblwaː,,ɣot,blʲeːnʲ,tsʼɛli,ˈaɲ,bʲlʲiənʲ,ɔaːɹ,ˈan.no,,,rɔk,,jaː(ɐ̯),,jaːr,ˈxɾonos,ˈaɲo,,ɡɔˈdinə,a.ne,an,oːr,,,ɡot,tsʼänä,jɑːr,jɔʁ,tɑˈɾi
name,ˈno.mɨ,iˈméː,,dʒɔχɔ,ˈjmɛːno,ʒäχɛ,,iˈmjɑ,ˈmɛnɔ,,napn,vàːɾds,,,jiˈmʲa,,säχɛli,ˈnɔm,ˈanʲəmʲ,naun,ˈno.me,ˈɛnʊ,,ˈi.mʲɛ,,ˈnaːmə,ˈvɐrːdɐs,naːm,ˈo̞no̞ˌma,ˈnom.bɾe,,ˈimɛ,nɔ̃,ˈnu.me,,namn,ɛməɾ,ˈimʲə,säχɛli,,nɔmɛn,ɑˈnun
where,ˈõ.d͡ʒi,ˈkjèː,,sɔ,ɡdɛ,imɛg,,ˈdɛ,ˈɡɟɛ,ˈunt,,kùɾ,,ˈonde̝,,,säd,ˈon,,,ˈdove,,,ɡd͡ʑɛ,,voː,kʊr,ʋaːr,,ˈdonde,ˈkadɛ,,u,ˈunde,,dɛːr,,ɡdʲe,sɔ,,vʊ,vɔɾˈtɛʁ
human,u.ˈmɐ.nu,tʃlɔˈʋèːʃki,,kʼɔtʃi,ˈlɪtskiː,ämswäld,,,,,,,,,,,ädämiäni,uˈma,,,,,,ˈlut͡s.kʲi,,mɛnʃlɪç,,,,uˈma.no,,,y.mɛ̃,o.meˈnesk,,²mɛnsklɪ(ɡ),,t͡ɕɪlɐˈvʲet͡ɕɪskʲɪj,kʼɔtʃi,,,mɑɾtʰkɑˈjin
at,ˈa,pri,,,u,ʒi,,,,,,,,,,,zɛ,a,ə,ʊiː,a,ʊrθ,,u,,an,pɐs,ɔp,ˈston,en,vɔ,,a,la,poː,poː,ˈnə,vɛ,,,,
ear,o(w).ˈvi.ðu,uˈxóː,øːrə,qʼudʒi,ˈuxo,ʃdim,,ˈwuxɔ,ˈu.xɔ,awˈɾeʎo,ˈeira,àws,skwaʁn,,ˈvuxa,kleːʃ,qʼuri,oˈɾə.ʎə,klˠuəsˠ,ˈɔira,ɔˈrekkjo,klɨːst,tʃeʋi,ˈu.xɔ,,oːr,ɐʊˈsʲɪs,oːr,aˈfti,oˈido,ˈuvɔ,uˈxɔ,ɔ.ʁɛj,uˈre.ke,,øːra,,ˈuxə,ʔudʒi,ʊər,ˈɔɪ.əʁ,ɑˈkɑnd͡ʒ
animal,ˌɐ.ni.ˈmaw,ʒiˈʋáːw,dyːr,häjväni,ˈʒɪvot͡ʃɪx,tsχɔwɛl,,tʋɐˈrɪnɐ,ˈʒivɔt͡ʃiːx,,tiːr,dzîunìɛks,ˈlo.ɛ̃n,,,,tsχɔvɛli,ə.niˈmal,anʲəvʲiː,t͡ʃɔuːr,aniˈmale,aˈnɪvai̯l,,ˈzvʲɛ.ʐɛ,,tiːɐ̯,ɡʲiːˈʋuːnɐs,dir,ˈzo.o,aniˈmal,ʒiˈvɔtnɔ,ʒiˈvɔtno,a.ni.mal,a.niˈmal,,jʉːr,,ʐɨˈvotnəjə,tsχɔvɛli,,,kɛntʰɑˈni
kill,ma.ˈta(ʁ),uˈbìːti,,ɔqʼvilu,ˈzabiːt,lidgæri,,,ˈzabic,,ˈtrɛːpa,nâːvɛ̂ːt,,,,,kʼvlä,məˈta,ˈmˠaɾˠə,,utˈt͡ʃi.de.re,ɬaːð,,zaˈbʲi.jat͡ɕ,maɾav,ˈtøːtən,,ˈdoːdə(n),skoˈtono,maˈtaɾ,ˈubiva,oˈbivəm,ty.e,omoˈrɨ,,ˈdøːda,,ʊbʲɪˈvatʲ,ʔviluä,,ˈtɛjtn̩,spɑˈnɛl
liver,ˈfi.ɡɐ.du,ˈjèːtra,leːvər,dʒigɛri,ˈjaːtra,qʼwiʒɛ,,,ˈpɛtʃɛɲ,,ˈlɪːvʏr,aknas,ˈɑːvy,,ˈpʲet͡ʂanʲ,eːn,ʁvidzli,ˈfe.d͡ʒə,eː,ˈliːvʊɹ,ˈfeɡato,ˈavɨ̞,,vɔnˈtrɔ.ba,,ˈleːbɐ,,ˈleːvər,,ˈiɡado,ˈd͡ʒiɡɛr,ˈtʃɛrɛn drɔp,fwa,,ˈleːʋɛr,,,ˈpʲet͡ɕɪnʲ,tʃχɔntʃχi,,,ljɑɾtʰ
squeeze,,,,ɔzdimu,,litʰlɛ,,,,,,,,espɾeˈmeɾ,,,mɔtʃʼɛrä,əsˈpɾe.mə,,,,,,ˈɕt͡ɕi.skat͡ɕ,,ˈdʁʏkŋ̩,,ˈklɛmə(n),,ekspɾiˈmiɾ,,,pʁɛ.se,,,,,ʐːɨˈmatʲ,mɔntʃʼirä,,,sɛʁˈmɛl
fight,lu.ˈtaɾ,,,ɔkʼɔkʼidinu,ˈbojovat,litsuäl,,,ˈbɔjɔvac,,,,,,,,tʃχubi,ʎujˈta,t̪ˠɾˠɪdʲ,,lɔt.ˈta.re,,,ˈval.t͡ʂɨt͡ɕ,,kɛm(p)fən,,ˈstrɛi̯də(n),,peleˈaɾ,,,batʁ,,,,,ˈdrat͡sːə,tʃχupʼi,,,kərˈvɛl
right,d͡ʒiˈɾejtu,praˈʋìːtsa,rɛt,mädzgväni,ˈpraːvo,lɛrsgwɛn,,,,,ˈrjɛhtɪntɪ,,,,ˈprava,,märdʒvɛnä,ˈdɾət,,,,hau̯l,,ˈpra.vɔ,,ʁɛçt,,rɛxt,ðiˈceoma,deˈɾet͡ʃo,,,dʁwɑ,drept,rɛtː,,,ˈpravə,märdzgväni,,,iɾɑˈvuŋkʰ
long,ˈlõ.ɡu,ˈdɔ́ːwk,lanɡ,gundzɛ,ˈdlou̯ɦiː,dʒwɛdi,,ˈdɔu̯ɦei̯,ˈdl̩ɦiː,,ˈlaŋkʏr,,,,ˈdou̯ɣʲi,,grdzɛli,ʎuˈɲa,ˈfˠɑd̪ˠə,ˈlɛŋkʊɹ,ˈlunɡo,hiːr,,ˈdwu.ɡʲi,fad̪̊ə,laŋ(k),,lɑŋ,,ˈlarɡo,,ˈdɤlək,lɔ̃,luŋɡ,,lɔŋ,,ˈdlʲinːɨj,gindzɛ,,,jɛɾˈkɑɾ
not,nɐ̃w̃,ˈnɛ́,ekə,vär,nɛ,dɛmɛ,ˈnɛt,ˈnɛ,,,ˈɛhcɪ,,,ˈnʊŋ,nʲe,,är,ˈno,n̠ʲiː,ˈɪʰtʃːɪ,non,dɪm,,ɲɛ,,nɪçt,,nit,ðe̞,no,,nɛ,nə,nu,²ɪçːə,ˈɪnˌtɛ,nʊk,nʲɪ,vär,ni,nit,t͡ʃʰ
because,poʁ.ˈke,kɛr,,ɔkʰi,ˈprotoʒɛ,läχä,,bɔ,ˈprɛtɔʒɛ,,,,,,,,rädgän,pəɾˈkə,oːɾʲ,tʊiː,perˈke,ˈaχɔs,,bɔ,ˈɔir,vaɪ̯l,nʲɛs,ɔm.ˈdɑt,,ˈporke,,,paʁ.skə,ˈpen.tru kə,,,,pətɐˈmu‿ʂtə,räχäns,,,vɔɾɔfhɛˈtɛv
ash,,pɛˈpéːw,,nɔmtʃkʰä,ˈpopɛl,kʰæm,ˈjɪskə,ˈpɔpʲil,ˈpɔpɔɫ,,ˈaska,,ˈlyːdy,,ˈpopʲeɫ,,pʰɛrpʰli,,l̪ˠuə,ˈœska,,ˈɬɨ̞dʊ,buːɖida,ˈpɔ.pʲuw,,ˈaʃə,,ɑs,,θeˈniθa,,ˈpɛpɛl,sɑ̃dʁ,,,,,ˈpʲepʲɪl,nätʃʼvi,,,moˈχiɾ
rotten,ˈpo.ðɾɨ,ˈɡníːw,rɔdən,χtsäpʰɛri,ˈzɦɲɪliː,mɛkʰwrɛ,,,ˈɦɲiliː,,,,,ˈpoðɾe̝,ɣnʲiˈɫɨ,,dämpʼäli,,ˈl̪ˠɔfˠə,,,,,ˈzɡɲi.wɨ,,faʊ̯l,,rɔt,ˈsapços,,,,puʁi,ˈpu.tred,,,,ɡnʲɪˈloj,ʔɔrädili,,,pʰəˈtɑt͡s
dull,ˈsɛ.ɣu,ˈtɔ́p,sløːv,dʒängulä,ˈtʊpiː,luwrɛ,,,ˈtupiː,,,,,,tuˈpɨ,,blägvi,,,,,,,ˈtɛm.pɨ,,ʃtʊm(p)f,,bɔt,,ˈromo,,,e.mu.se,toˈt͡ʃit,,,,tʊˈpoj,dʒärguliä,,,butʰ
breathe,ʁɨʃ.pi.ˈɾaɾ,,ɔnə,ɔʃvänu,ˈdiːxat,liχwäntʼɛ,,,ˈdiːxac,,ˈanta,,,,,,suntʰkʰvä,rəs.piˈɾa,,,respiˈrare,anˈadlɨ̞,,ɔdˈdɨ.xat͡ɕ,,ˈaːtmən,,ˈaːdəmə(n),a.naˈpne.o,,,,ʁɛs.pi.ʁe,,,,,dɨˈʂatʲ,,,,ʃənˈt͡ʃʰɛl
fat,ɡoɹ.ˈdu.ɾa,,fet,jäʁi,,mətʃχim,,,tuk,,ˈfɪːta,,,,,,tsχimi,,sˠail̠ʲ,ˈfiːtɪ,ˈɡras.so,ˈbrastɛr,koʋːu,twuʂt͡ʂ,,fɛt,rʲɪəbɐˈlɐɪ̯ˑ,vɛt,ˈli.pos,ˈɡɾasa,,,ɡʁɛs,,,fɛt,,ʐɨr,gägäbi,,,t͡ʃɑɾp
sleep,duɾ.ˈmiɾ,ˈspaːti,,ndʒiri,spaːt,uʒ,,,ˈspac,,ˈsɔːva,ɡulɛ̂ːt,,,,,dzili,duɾˈmi,ˈkɔd̪ˠɪlʲ,,dorˈmire,ˈkəsɡɨ̞,,spat͡ɕ,,ˈʃlaːfn̩,,ˈslaː.pə(n),ciˈmame,dorˈmiɾ,,spʲɤ,dɔʁ.miʁ,dorˈmi,,soːva,,spatʲ,luri,,,kʰəˈnɛl
live,viˈveɾ,ʒiˈʋeːti,leːvə,skʰidälä,ʒiːt,lidrɛ,ˈlɪbjə,,ˈʒic,,ˈlɪːva,dzîːvuôt,,,,,tsχɔvrɛbä,ˈviw.ɾə,mˠaɾʲ,,ˈvi.ve.re,bɪu̯,,ʐɨt͡ɕ,,ˈleːbən,ɡiˈʋæntɪ,ˈleːvə(n),ˈzo,biˈbiɾ,,ʒiˈvɛjə,vivʁ,trəˈi,,leːva,jɛˈtɔj,ʐɨtʲ,rinä,,,ɑpˈɾɛl
leaf,ˈfo.ʎɐ,ˈlíːst,blad,pʰävri,ˈlɪst,bälɛ,,,ˈlist,ˈfɥɛʎo,løyːv,,ˈde.ljɛ̃n,ˈfo.ʎɐ,lʲist,ˈd̪olʲaɡ,pʰɔtʰɔli,ˈfu.ʎə,ˈdʲɪloːɡ,blɛaː,ˈfɔʎʎa,ˈdei̯lɛn,aːku,lʲiɕt͡ɕ,,blat,,blɑt,ˈfilo̞,ˈoxa,,,fœj,ˈfrun.zə,,,,lʲist,pʰurtsɛli,blɑːr,blat,tɛˈɾɛv
you,tu,ˈtíː,du,tʰkʰvän,tɪ,sgæ,doː,ˈtɪ,ˈti,ty,θu,tu,,,,u,tʰkʰvɛn,ˈtu,t̪ˠuː,tʰʉuː(w),t̪u,tiː,,tɨ,hu,duː,tʊ,jɛi̯,e̞ˈsi,ˈtu,ti,ti,ty,tu,dʉː,dʉː,ti,tɨ,tʰkʰvä,jəi,,du
how,ˈko.mu,kaˈkòː,,mutʃʼɔ,jak,imʒi,,,ˈjak,,,,,,,,rɔgɔr,ˈkɔm,ˈkʊnˠəsˠ,,ˈkome,sɨ̞t,,jak,,viː,kaɪˑp,ɦu,ˈpos,ˈkomo,ˈkakɔ,,kɔ.mɑ̃,kum,ˈkʊrlæɪs,hʉːr,si,kak,mutʃʼɔ,,,int͡ʃʰˈpɛs
white,ˈbɾɐ̃.ku,ˈbéːw,,χtʃɛ,ˈbiːliː,tʰɛtʰnɛ,vit,ˈbʲilei̯,ˈbi̯ɛli,,ˈxʷiːtʏr,bālts,,ˈbɾaŋkʊ,ˈbʲeɫɨ,,tʰɛtʰri,ˈblaŋk,bˠɑːn̪ˠ,ˈkvʊiːjtʊɹ,ˈbjaŋko,ɡwɨ̞n,,ˈbʲa.wɨ,kʲaɫ̪,vaɪs,ˈbaːltɐs,ʋɪt,ˈaspro̞s,ˈblanko,,bʲal,blɑ̃,alb,kʋiːt,,baːɾð,ˈbʲelɨj,tʃɛ,vət,vajs,əspiˈtɑk
if,sɨ,tʃɛ,ves,vänä,ˈjɛstlɪʒɛ,läχ,ɔs,,ak,,ɛːv,,,,,,tʰu,ˈsi,mˠɑː,,se,ɔs,,ˈjɛɕ.lʲi,,vɛn,jæj,ɑ(l)s,,si,ˈakɔ,,si,ˈda.kə,,ɔm,,ˈjes⁽ʲ⁾lʲɪ,vär,,,jɛˈtʰɛ
husband,ma.ˈɾi.du,ˈmóːʃ,mæn,kʰɔmɔli,ˈmanʒɛl,tʃʼæʃ,,t͡ʃɔlɔˈu̯ʲik,,,ˈeiːjɪn.maːðʏr,vīːɾs,ˈɡwaː,,muʂ,,kʰmäri,məˈɾit,fʲaɾˠ,ˈmɛaːvʊɹ,maˈri.to,ɡuːr,,mɔŋʂ,,,ˈʋʲiːrɐs,mɑn,,maˈɾido,maʃ,ˈmɤʃ,ma.ʁi,sots,,ˈmɑːˌkɛ,bur,muʂ,kʰɔmɔndʒi,,,ɑmuˈsin
fire,ˈfo.ɣu,ɔ̀ːɡənʲ,il,dätʃχuri,ˈoɦɛɲ,lɛmɛsg,fjuə̯r,wɔˈɦɔnʲ,ˈɔɦɛɲ,,ˈɛltʏr,uɡuns,ˈtɑ̃ːn,ˈlu.mɪ,aˈɣonʲ,,tsɛtsχli,ˈfɔk,ˈtʲɪnʲə,,ˈfwɔko,taːn,,ˈɔ.ɡʲɛɲ,ˈtʰʲenə,ˈfɔʏər,ʊɡˈnʲɪs,vyr,foˈtça,ˈfweɡo,,ˈɔɡən,fø,fok,ɛld,ˈɛld,zjaɾm,ɐˈɡonʲ,dätʃχiri,fyːr,,kəˈɾɑk
smell,ˈʃɐj.ɾu,,loɡt,ɔʃuru,ˈvuːɲɛ,likʰwni,,,,,lɪxt,,,,pax,,qʼnɔsvä,oˈlo,,,oˈdo.re,,,ˈza.pax,,ɡəˈʁʊχ,,ɣøːr,miɾoˈðʝa,,,,ɔ.dœʁ,,,,ɛːɹ,ˈzapəx,ʃuräpʰä,,,hɔt
walk,ɐ̃.ˈdaɾ,,ɡɔː,gɔlvä,jiːt,lizɛläl,,,ˈiːsc,,ˈkauŋka,iɛ̂t,,,,,siäruli,kə.miˈna,ʃuːlʲ,,kammiˈnare,ˈkɛrðɛd,,iɕt͡ɕ,,ˈlaʊ̯fən,ˈɛjːtʲɪ,ˈloːpə(n),,kamiˈnaɾ,ˈɔdi,ˈxɔdʲə,maʁ.ʃe,ˈmer.d͡ʒe,,ɡoː,ˈɛtsi,xɐˈdʲitʲ,gilulä,lʊəp,,kʰɑjˈlɛl
push,ẽ.pu.ˈʁaɾ,,skɔbɘ,mɛkʼäntʃʼinu,ˈtlat͡ʃɪt,likʰχɛ,ˈtrjoːə,,ˈtɫat͡ʃic,,ˈr̥ɪnta,,,,,,mitsʼɛvä,əmˈpə.ɲə,,,ˈspindʒere,,,pxat͡ɕ,,ˈdʁʏkŋ̩,,ˈdyu̯ə(n),,empuˈxaɾ,,,pu.se,,,²ɧʉːta,,tɐlˈkatʲ,ɛkʼɔkʼinä,,,həˈɾɛl
